dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,-22.304878048780488,-17.732142857142858,4.57273519163763,ok
0_0_0_10_14_16,selected,center,accuracy>=90%,-22.304878048780488,-17.732142857142858,4.57273519163763,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,-19.55,-15.1,4.450000000000001,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,-20.066666666666666,-16.05,4.016666666666666,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,-21.25,-16.875,4.375,ok
0_0_0_10_14_16,multi,center,SER<=10%,-21.273809523809526,-17.732142857142858,3.541666666666668,ok
0_0_0_10_14_16,multi,center,accuracy>=90%,-21.273809523809526,-17.732142857142858,3.541666666666668,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,-19.03333333333333,-15.1,3.933333333333332,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,-19.4,-16.05,3.349999999999998,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,-20.375,-16.875,3.5,ok
0_0_0_10_14_16,selected,multi,SER<=10%,-22.304878048780488,-21.273809523809526,1.0310685249709621,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-22.304878048780488,-21.273809523809526,1.0310685249709621,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,-19.55,-19.03333333333333,0.5166666666666693,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-20.066666666666666,-19.4,0.6666666666666679,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-21.25,-20.375,0.875,ok
0_0_0_10_14_32,selected,center,SER<=10%,-19.071428571428573,-13.916666666666666,5.154761904761907,ok
0_0_0_10_14_32,selected,center,accuracy>=90%,-19.07142857142857,-13.916666666666666,5.154761904761903,ok
0_0_0_10_14_32,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=80%,-21.133333333333333,-16.2,4.933333333333334,ok
0_0_0_10_14_32,selected,center,CRC/PRR>=50%,-21.833333333333332,-17.125,4.708333333333332,ok
0_0_0_10_14_32,multi,center,SER<=10%,-17.3,-13.916666666666666,3.3833333333333346,ok
0_0_0_10_14_32,multi,center,accuracy>=90%,-17.300000000000004,-13.916666666666666,3.383333333333338,ok
0_0_0_10_14_32,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=80%,-19.4,-16.2,3.1999999999999993,ok
0_0_0_10_14_32,multi,center,CRC/PRR>=50%,-20.75,-17.125,3.625,ok
0_0_0_10_14_32,selected,multi,SER<=10%,-19.071428571428573,-17.3,1.7714285714285722,ok
0_0_0_10_14_32,selected,multi,accuracy>=90%,-19.07142857142857,-17.300000000000004,1.7714285714285651,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=80%,-21.133333333333333,-19.4,1.7333333333333343,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=50%,-21.833333333333332,-20.75,1.0833333333333321,ok
0_0_0_10_14_8,selected,center,SER<=10%,-22.076923076923077,-17.565217391304348,4.511705685618729,ok
0_0_0_10_14_8,selected,center,accuracy>=90%,-22.07692307692308,-17.565217391304348,4.5117056856187325,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=90%,-20.0,-15.333333333333334,4.666666666666666,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=80%,-20.333333333333332,-15.666666666666666,4.666666666666666,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=50%,-21.5,-17.5,4.0,ok
0_0_0_10_14_8,multi,center,SER<=10%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,accuracy>=90%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=90%,-18.0,-15.333333333333334,2.666666666666666,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=80%,-19.0,-15.666666666666666,3.333333333333334,ok
0_0_0_10_14_8,multi,center,CRC/PRR>=50%,-21.0,-17.5,3.5,ok
0_0_0_10_14_8,selected,multi,SER<=10%,-22.076923076923077,-20.633333333333333,1.4435897435897438,ok
0_0_0_10_14_8,selected,multi,accuracy>=90%,-22.07692307692308,-20.633333333333333,1.4435897435897473,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=90%,-20.0,-18.0,2.0,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=80%,-20.333333333333332,-19.0,1.3333333333333321,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=50%,-21.5,-21.0,0.5,ok
mean_of_datasets,selected,center,SER<=10%,-21.921931855772414,-17.23010193016699,4.691829925605422,ok
mean_of_datasets,selected,center,accuracy>=90%,-21.921931855772414,-17.23010193016699,4.691829925605422,ok
mean_of_datasets,selected,center,CRC/PRR>=90%,-19.314285714285713,-15.169435215946844,4.144850498338869,ok
mean_of_datasets,selected,center,CRC/PRR>=80%,-20.306122448979593,-15.93687707641196,4.369245372567633,ok
mean_of_datasets,selected,center,CRC/PRR>=50%,-21.620192307692307,-17.110983981693362,4.509208325998944,ok
mean_of_datasets,multi,center,SER<=10%,-20.612085308056873,-17.23010193016699,3.381983377889881,ok
mean_of_datasets,multi,center,accuracy>=90%,-20.612085308056873,-17.23010193016699,3.381983377889881,ok
mean_of_datasets,multi,center,CRC/PRR>=90%,-17.82312925170068,-15.169435215946844,2.653694035753837,ok
