dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-12.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9940444989203314,0.8970193739689943,0.27467595285241064
0_0_0_10_14_8,-13.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.992627667066077,0.8962319881467739,0.27381301659165963
0_0_0_10_14_8,-14.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9908363563041702,0.8863170001935791,0.2681936909639134
0_0_0_10_14_8,-15.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9885700359290974,0.8859178257736879,0.26832783859842313
0_0_0_10_14_8,-16.0,10,0.017142857142857144,0.9828571428571429,0.7,0.0,1.0,1.0,0.0,1.0,1.0,0.017142857142857144,0.30000000000000004,0.0,0.0,0.0,0.0,1.0,0.9856971798903691,0.8713092746664215,0.2750321991599797
0_0_0_10_14_8,-17.0,10,0.06285714285714286,0.9371428571428572,0.6,0.0,1.0,1.0,0.0,1.0,1.0,0.06285714285714286,0.4,0.0,0.0,0.0,0.0,1.0,0.9820281823867107,0.8040503032443878,0.2989458163809532
0_0_0_10_14_8,-18.0,10,0.12857142857142856,0.8714285714285716,0.4,0.002857142857142857,0.9971428571428571,0.9,0.0,1.0,1.0,0.12857142857142856,0.6,0.002857142857142857,0.09999999999999998,0.0,0.0,1.0,0.9773183079856249,0.780839608405113,0.3239991389909474
0_0_0_10_14_8,-19.0,10,0.22857142857142856,0.7714285714285715,0.0,0.011428571428571429,0.9885714285714287,0.8,0.002857142857142857,0.9971428571428571,0.9,0.2257142857142857,0.9,0.008571428571428572,0.09999999999999998,0.0,0.0,1.0,0.9712938145016009,0.6868944582614618,0.3413554330302787
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.6342857142857143,0.0,0.04571428571428572,0.9542857142857143,0.6,0.008571428571428572,0.9914285714285714,0.9,0.35714285714285715,0.9,0.03714285714285715,0.30000000000000004,0.0,0.0,1.0,0.9639995083947799,0.773404936714752,0.32129014444411264
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.48285714285714293,0.0,0.13142857142857142,0.8685714285714285,0.5,0.04,0.96,0.6,0.47714285714285715,0.6,0.09142857142857141,0.09999999999999998,0.0,0.0,0.9857142857142858,0.9546366218999385,0.7753543051090293,0.31559979999542287
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.33714285714285713,0.0,0.18857142857142856,0.8114285714285716,0.3,0.10285714285714284,0.8971428571428574,0.3,0.5599999999999999,0.3,0.08571428571428572,0.0,0.0,0.0,0.9542857142857143,0.9449526150270684,0.8085441932815275,0.25837298782533535
0_0_0_10_14_8,-23.0,10,0.7942857142857143,0.20571428571428568,0.0,0.33428571428571424,0.6657142857142857,0.0,0.17142857142857143,0.8285714285714286,0.2,0.6228571428571428,0.2,0.1628571428571428,0.2,0.0,0.0,0.8971428571428571,0.9342431807750637,0.7854222141025141,0.2753678896467122
0_0_0_10_14_8,-24.0,10,0.86,0.13999999999999999,0.0,0.49428571428571433,0.5057142857142857,0.0,0.3057142857142857,0.6942857142857142,0.0,0.5542857142857143,0.0,0.1885714285714286,0.0,0.0,0.0,0.8171428571428571,0.9193302387564316,0.6448118039409152,0.36858996084355666
0_0_0_10_14_8,-25.0,10,0.9200000000000002,0.08000000000000002,0.0,0.6542857142857142,0.34571428571428575,0.0,0.46571428571428564,0.5342857142857143,0.0,0.4542857142857145,0.0,0.1885714285714286,0.0,0.0,0.0,0.7228571428571428,0.909557580633235,0.6072564588057725,0.3911023825787422
0_0_0_10_14_8,-26.0,10,0.9571428571428571,0.04285714285714287,0.0,0.7857142857142858,0.21428571428571427,0.0,0.6114285714285714,0.3885714285714285,0.0,0.34571428571428564,0.0,0.17428571428571438,0.0,0.0,0.0,0.5971428571428572,0.900539149169796,0.5079269108156991,0.4563923088059976
0_0_0_10_14_16,-12.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9940806288818631,0.9688550417271824,0.21910330853361748
0_0_0_10_14_16,-13.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9927586392936175,0.9688728362402034,0.2187721112885899
0_0_0_10_14_16,-14.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9910915727770199,0.9689617892872189,0.21848233347032223
0_0_0_10_14_16,-15.0,11,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.09090909090909094,0.0,0.0,0.0,0.0,1.0,0.9889880283539779,0.965955235260677,0.2064944978778027
0_0_0_10_14_16,-16.0,11,0.01038961038961039,0.9896103896103896,0.8181818181818182,0.0,1.0,1.0,0.0,1.0,1.0,0.01038961038961039,0.18181818181818177,0.0,0.0,0.0,0.0,1.0,0.9863313404216424,0.9655796325799294,0.2066200273612161
0_0_0_10_14_16,-17.0,11,0.04675324675324675,0.9532467532467532,0.45454545454545453,0.0,1.0,1.0,0.0,1.0,1.0,0.04675324675324675,0.5454545454545454,0.0,0.0,0.0,0.0,1.0,0.9829720502608491,0.965274912969122,0.2086598463227401
0_0_0_10_14_16,-18.0,11,0.11948051948051944,0.8805194805194805,0.09090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.11948051948051944,0.9090909090909091,0.0025974025974025974,0.09090909090909094,0.0,0.0,1.0,0.9787190874927987,0.9651725450683784,0.2094083717832741
0_0_0_10_14_16,-19.0,11,0.2363636363636363,0.7636363636363637,0.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.2363636363636363,1.0,0.0025974025974025974,0.09090909090909094,0.0,0.0,1.0,0.9733328579643192,0.9650496663912108,0.2084169011379503
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.005194805194805195,0.9948051948051948,0.8181818181818182,0.35324675324675325,0.8181818181818182,0.01038961038961039,0.18181818181818188,0.0,0.0,1.0,0.9665751103540476,0.9639884510842488,0.2093752400374165
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.025974025974025972,0.9740259740259739,0.5454545454545454,0.4701298701298701,0.5454545454545454,0.04415584415584417,0.2727272727272727,0.0,0.0,0.9974025974025974,0.9584228622198981,0.9635434464127168,0.21114623417084574
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.06753246753246753,0.9324675324675326,0.36363636363636365,0.5350649350649351,0.36363636363636365,0.1116883116883117,0.36363636363636365,0.0,0.0,0.9688311688311689,0.9487993663559656,0.9010695778695754,0.23976764455354074
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.16883116883116883,0.8311688311688311,0.0,0.5636363636363637,0.0,0.1506493506493506,0.0,0.0,0.0,0.9246753246753247,0.9378644316275145,0.7335783757664923,0.3080031605408889
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.16623376623376626,0.0,0.509090909090909,0.49090909090909096,0.0,0.29610389610389604,0.7038961038961038,0.0,0.5376623376623377,0.0,0.212987012987013,0.0,0.0,0.0,0.8545454545454546,0.9260934891096693,0.668130020359849,0.3619699873614164
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.08831168831168833,0.0,0.6441558441558443,0.35584415584415585,0.0,0.4311688311688311,0.5688311688311689,0.0,0.4805194805194808,0.0,0.21298701298701317,0.0,0.0,0.0,0.7298701298701299,0.9125054166501078,0.6000824392535545,0.47415169802859986
0_0_0_10_14_16,-26.0,11,0.9506493506493506,0.04935064935064937,0.0,0.7792207792207794,0.2207792207792208,0.0,0.5844155844155844,0.41558441558441556,0.0,0.36623376623376624,0.0,0.19480519480519498,0.0,0.0,0.0,0.6103896103896104,0.9030443187531391,0.5215529458163718,0.5092383626324135
0_0_0_10_14_32,-12.0,7,0.061224489795918366,0.9387755102040816,0.8571428571428571,0.012244897959183673,0.9877551020408164,0.8571428571428571,0.0,1.0,1.0,0.061224489795918366,0.1428571428571429,0.012244897959183673,0.1428571428571429,0.0,0.0,1.0,0.9900068187310475,0.932570511617992,0.40238014055655885
0_0_0_10_14_32,-13.0,7,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.004081632653061224,0.9959183673469388,0.8571428571428571,0.07346938775510205,0.0,0.02040816326530612,0.0,0.0,0.0,0.9959183673469388,0.9873567268873599,0.9322956289181972,0.4061163627579431
0_0_0_10_14_32,-14.0,7,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.03673469387755102,0.963265306122449,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.07755102040816327,0.0,0.012244897959183671,0.0,0.0,0.0,0.9836734693877551,0.9853311534903512,0.9323458419776053,0.4014683765590248
0_0_0_10_14_32,-15.0,7,0.12653061224489795,0.873469387755102,0.8571428571428571,0.05306122448979592,0.946938775510204,0.8571428571428571,0.024489795918367346,0.9755102040816326,0.8571428571428571,0.1020408163265306,0.0,0.028571428571428577,0.0,0.0,0.0,0.9836734693877551,0.9814632615770211,0.9310480152992877,0.402834716494004
0_0_0_10_14_32,-16.0,7,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.07755102040816327,0.9224489795918368,0.8571428571428571,0.04081632653061224,0.9591836734693878,0.8571428571428571,0.09387755102040818,0.0,0.036734693877551024,0.0,0.0,0.0,0.979591836734694,0.9783342541967929,0.9076553125401895,0.4317912112303211
0_0_0_10_14_32,-17.0,7,0.15102040816326529,0.8489795918367348,0.5714285714285714,0.09387755102040816,0.9061224489795919,0.8571428571428571,0.06530612244897958,0.9346938775510204,0.8571428571428571,0.0857142857142857,0.2857142857142857,0.02857142857142858,0.0,0.0,0.0,0.946938775510204,0.9731648766205362,0.9187908319061607,0.3983000497985825
0_0_0_10_14_32,-18.0,7,0.18367346938775506,0.8163265306122449,0.0,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.08979591836734693,0.9102040816326531,0.8571428571428571,0.09387755102040812,0.8571428571428571,0.024489795918367363,0.0,0.0,0.0,0.9306122448979591,0.9692646284837396,0.7980869111129454,0.4227753090478422
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.11836734693877551,0.8816326530612244,0.8571428571428571,0.10612244897959185,0.8938775510204081,0.8571428571428571,0.15918367346938778,0.8571428571428571,0.012244897959183668,0.0,0.0,0.0,0.9224489795918368,0.964890450323382,0.790705232272835,0.4276288720520851
