variant_id,variant,output_dir,sweep,method,multi_offset_energy,top_l,locking,offset_coherence,packet_line,candidate_expansion,ser10_threshold_snr_db,ser10_gain_vs_center_db,ser10_gain_vs_multi_db,acc90_threshold_snr_db,acc90_gain_vs_center_db,acc90_gain_vs_multi_db,crc90_threshold_snr_db,crc90_gain_vs_center_db,crc90_gain_vs_multi_db,crc80_threshold_snr_db,crc80_gain_vs_center_db,crc80_gain_vs_multi_db,crc50_threshold_snr_db,crc50_gain_vs_center_db,crc50_gain_vs_multi_db,m20_ser,m20_crc_prr,m21_ser,m21_crc_prr,m22_ser,m22_crc_prr,m23_ser,m23_crc_prr,mean_locked_ratio_m20_m23,mean_false_lock_rate_m20_m23,mean_uncertain_candidate_recall_m20_m23,mean_selected_offset_coherence_m20_m23,ser_gain_over_multi_db,ser_gain_over_center_db
A0,center argmax,data/ablation_current_default,full,center,no,1,no,no,no,,-17.23,0.00,,-17.23,0.00,,-15.17,0.00,,-15.94,0.00,,-17.11,0.00,,0.373,0.000,0.519,0.000,0.646,0.000,0.767,0.000,,,,,,0.00
A1,multi-offset argmax,data/ablation_current_default,full,multi,yes,1,no,no,no,,-20.61,3.38,0.00,-20.61,3.38,0.00,-17.82,2.65,0.00,-19.27,3.33,0.00,-20.60,3.49,0.00,0.068,0.650,0.120,0.400,0.204,0.100,0.332,0.000,,,,,0.00,3.38
A2,energy-only selected Top-24,data/ablation_energy_only_top24,full,selected,yes,24,yes,no,no,,-20.61,3.38,0.00,-20.61,3.38,0.00,-17.82,2.65,0.00,-19.27,3.33,0.00,-20.60,3.49,0.00,0.068,0.650,0.120,0.400,0.204,0.100,0.332,0.000,0.487,0.002,0.924,0.872,0.00,3.38
A3,offset coherence only Top-24,data/ablation_coherence_only_top24,full,selected,yes,24,yes,yes,no,,-20.43,3.20,-0.18,-20.43,3.20,-0.18,,,,-14.12,-1.82,-5.15,-19.46,2.35,-1.14,0.078,0.380,0.129,0.130,0.203,0.064,0.297,0.000,0.487,0.002,0.924,0.955,-0.18,3.20
A4,"energy + offset coherence, no line",data/ablation_amp_coherence_no_line,full,selected,yes,24,yes,yes,no,,-21.92,4.69,1.31,-21.92,4.69,1.31,-19.31,4.14,1.49,-20.31,4.37,1.04,-21.62,4.51,1.02,0.046,0.858,0.066,0.668,0.103,0.397,0.182,0.114,0.487,0.002,0.924,0.950,1.31,4.69
A5,current default,data/ablation_current_default,full,selected,yes,24,yes,yes,small,,-21.97,4.74,1.36,-21.97,4.74,1.36,-19.31,4.14,1.49,-20.31,4.37,1.04,-21.62,4.51,1.02,0.044,0.858,0.060,0.668,0.101,0.397,0.184,0.114,0.487,0.002,0.924,0.950,1.36,4.74
A6,packet-line phase only Top-24,data/ablation_packet_line_only,full,selected,yes,24,yes,no,yes,,,,,,,,,,,,,,-13.54,-3.57,-7.06,0.272,0.064,0.398,0.000,0.576,0.000,0.702,0.000,0.487,0.002,0.924,0.738,,
A7-L8,Top-L 8 default weights,data/ablation_topL_8,full,selected,yes,8,yes,yes,small,,-21.83,4.60,1.22,-21.83,4.60,1.22,-19.20,4.03,1.38,-20.11,4.17,0.84,-21.47,4.36,0.86,0.046,0.825,0.063,0.590,0.108,0.397,0.212,0.067,0.487,0.002,0.885,0.942,1.22,4.60
A7-L16,Top-L 16 default weights,data/ablation_topL_16,full,selected,yes,16,yes,yes,small,,-21.96,4.73,1.34,-21.96,4.73,1.34,-19.31,4.14,1.49,-20.22,4.28,0.95,-21.47,4.36,0.86,0.044,0.858,0.063,0.590,0.102,0.397,0.188,0.114,0.487,0.002,0.911,0.947,1.34,4.73
A7-L24,Top-L 24 default weights,data/ablation_topL_24,full,selected,yes,24,yes,yes,small,,-21.97,4.74,1.36,-21.97,4.74,1.36,-19.31,4.14,1.49,-20.31,4.37,1.04,-21.62,4.51,1.02,0.044,0.858,0.060,0.668,0.101,0.397,0.184,0.114,0.487,0.002,0.924,0.950,1.36,4.74
A7-L32,Top-L 32 default weights,data/ablation_topL_32,full,selected,yes,32,yes,yes,small,,-21.94,4.71,1.32,-21.94,4.71,1.32,-19.31,4.14,1.49,-20.31,4.37,1.04,-21.62,4.51,1.02,0.044,0.858,0.060,0.668,0.103,0.397,0.182,0.114,0.487,0.002,0.933,0.951,1.32,4.71
A8,no high-confidence lock,data/ablation_no_high_conf_lock,full,selected,yes,24,no,yes,small,,-21.88,4.65,1.27,-21.88,4.65,1.27,-19.31,4.14,1.49,-20.25,4.31,0.97,-21.47,4.36,0.87,0.045,0.858,0.067,0.620,0.104,0.364,0.183,0.114,0.000,0.000,0.940,0.950,1.27,4.65
