dataset,method,metric,threshold_snr_db,status
0_0_0_10_14_16,center,SER<=10%,-17.732142857142858,interpolated
0_0_0_10_14_16,center,accuracy>=90%,-17.732142857142858,interpolated
0_0_0_10_14_16,center,CRC/PRR>=90%,-15.1,interpolated
0_0_0_10_14_16,center,CRC/PRR>=80%,-16.05,interpolated
0_0_0_10_14_16,center,CRC/PRR>=50%,-16.875,interpolated
0_0_0_10_14_16,multi,SER<=10%,-21.273809523809526,interpolated
0_0_0_10_14_16,multi,accuracy>=90%,-21.273809523809526,interpolated
0_0_0_10_14_16,multi,CRC/PRR>=90%,-19.03333333333333,interpolated
0_0_0_10_14_16,multi,CRC/PRR>=80%,-19.4,interpolated
0_0_0_10_14_16,multi,CRC/PRR>=50%,-20.375,interpolated
0_0_0_10_14_16,selected,SER<=10%,-18.5,interpolated
0_0_0_10_14_16,selected,accuracy>=90%,-18.5,interpolated
0_0_0_10_14_16,selected,CRC/PRR>=90%,,all_fail
0_0_0_10_14_16,selected,CRC/PRR>=80%,-13.2,interpolated
0_0_0_10_14_16,selected,CRC/PRR>=50%,-18.25,interpolated
0_0_0_10_14_32,center,SER<=10%,-13.916666666666666,interpolated
0_0_0_10_14_32,center,accuracy>=90%,-13.916666666666666,interpolated
0_0_0_10_14_32,center,CRC/PRR>=90%,,all_fail
0_0_0_10_14_32,center,CRC/PRR>=80%,-16.2,interpolated
0_0_0_10_14_32,center,CRC/PRR>=50%,-17.125,interpolated
0_0_0_10_14_32,multi,SER<=10%,-17.3,interpolated
0_0_0_10_14_32,multi,accuracy>=90%,-17.300000000000004,interpolated
0_0_0_10_14_32,multi,CRC/PRR>=90%,,all_fail
0_0_0_10_14_32,multi,CRC/PRR>=80%,-19.4,interpolated
0_0_0_10_14_32,multi,CRC/PRR>=50%,-20.75,interpolated
0_0_0_10_14_32,selected,SER<=10%,,all_fail
0_0_0_10_14_32,selected,accuracy>=90%,,all_fail
0_0_0_10_14_32,selected,CRC/PRR>=90%,,all_fail
0_0_0_10_14_32,selected,CRC/PRR>=80%,,all_fail
0_0_0_10_14_32,selected,CRC/PRR>=50%,,all_fail
0_0_0_10_14_8,center,SER<=10%,-17.565217391304348,interpolated
0_0_0_10_14_8,center,accuracy>=90%,-17.565217391304348,interpolated
0_0_0_10_14_8,center,CRC/PRR>=90%,-15.333333333333334,interpolated
0_0_0_10_14_8,center,CRC/PRR>=80%,-15.666666666666666,interpolated
0_0_0_10_14_8,center,CRC/PRR>=50%,-17.5,interpolated
0_0_0_10_14_8,multi,SER<=10%,-20.633333333333333,interpolated
0_0_0_10_14_8,multi,accuracy>=90%,-20.633333333333333,interpolated
0_0_0_10_14_8,multi,CRC/PRR>=90%,-18.0,interpolated
0_0_0_10_14_8,multi,CRC/PRR>=80%,-19.0,interpolated
0_0_0_10_14_8,multi,CRC/PRR>=50%,-21.0,interpolated
0_0_0_10_14_8,selected,SER<=10%,,all_fail
0_0_0_10_14_8,selected,accuracy>=90%,,all_fail
0_0_0_10_14_8,selected,CRC/PRR>=90%,,all_fail
0_0_0_10_14_8,selected,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,selected,CRC/PRR>=50%,-13.0,interpolated
mean_of_datasets,center,SER<=10%,-17.23010193016699,interpolated
mean_of_datasets,center,accuracy>=90%,-17.23010193016699,interpolated
mean_of_datasets,center,CRC/PRR>=90%,-15.169435215946844,interpolated
mean_of_datasets,center,CRC/PRR>=80%,-15.93687707641196,interpolated
mean_of_datasets,center,CRC/PRR>=50%,-17.110983981693362,interpolated
mean_of_datasets,multi,SER<=10%,-20.612085308056873,interpolated
mean_of_datasets,multi,accuracy>=90%,-20.612085308056873,interpolated
mean_of_datasets,multi,CRC/PRR>=90%,-17.82312925170068,interpolated
mean_of_datasets,multi,CRC/PRR>=80%,-19.270042194092827,interpolated
mean_of_datasets,multi,CRC/PRR>=50%,-20.601386481802425,interpolated
mean_of_datasets,selected,SER<=10%,,all_fail
mean_of_datasets,selected,accuracy>=90%,,all_fail
mean_of_datasets,selected,CRC/PRR>=90%,,all_fail
mean_of_datasets,selected,CRC/PRR>=80%,,all_fail
mean_of_datasets,selected,CRC/PRR>=50%,-13.54421768707483,interpolated
