dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.6342857142857143,0.0,0.04571428571428572,0.9542857142857143,0.6,0.05428571428571429,0.9457142857142857,0.5,0.31142857142857144,0.5,-0.00857142857142857,-0.09999999999999998,0.72,0.0,0.9,0.9599480652659855,0.7288661429579656,0.28017329784297984
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.48285714285714293,0.0,0.13142857142857142,0.8685714285714285,0.5,0.08,0.9200000000000002,0.5,0.4371428571428571,0.5,0.05142857142857142,0.0,0.6028571428571429,0.0,0.981304347826087,0.9509678174446842,0.8128621015972805,0.3257931961184912
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.33714285714285713,0.0,0.18857142857142856,0.8114285714285716,0.3,0.13999999999999999,0.86,0.5,0.5228571428571428,0.5,0.04857142857142857,0.2,0.4228571428571429,0.0,0.9459513546798031,0.9396277264647136,0.8950133347264572,0.2949985293909644
0_0_0_10_14_8,-23.0,10,0.7942857142857143,0.20571428571428568,0.0,0.33428571428571424,0.6657142857142857,0.0,0.21714285714285714,0.7828571428571428,0.2,0.5771428571428572,0.2,0.1171428571428571,0.2,0.29999999999999993,0.004545454545454545,0.8807691600262345,0.9267878657081935,0.7827185234387819,0.34542291690579957
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.005194805194805195,0.9948051948051948,1.0,0.35324675324675325,1.0,0.01038961038961039,0.36363636363636365,0.7688311688311689,0.0,1.0,0.9658627595650867,0.966314449523486,0.21424545578952603
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.018181818181818184,0.9818181818181819,0.5454545454545454,0.4779220779220779,0.5454545454545454,0.05194805194805195,0.2727272727272727,0.6051948051948052,0.0,0.9935064935064936,0.9582994897248053,0.9497936623408293,0.22374593477208995
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.5246753246753247,0.09090909090909091,0.10129870129870129,0.09090909090909091,0.41558441558441556,0.00505050505050505,0.9471396637067411,0.9459223469523512,0.8911492277711344,0.20290040842548765
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.1662337662337662,0.8337662337662338,0.09090909090909091,0.5662337662337663,0.09090909090909091,0.15324675324675321,0.09090909090909091,0.24675324675324675,0.009090909090909092,0.9035921685532365,0.9328018239999598,0.8618692843031442,0.2946670997092924
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.1346938775510204,0.8653061224489795,0.5714285714285714,0.2612244897959183,0.5714285714285714,0.008163265306122436,-0.1428571428571429,0.6408163265306123,0.0,0.9183673469387755,0.9585727043345785,0.8098638536252061,0.44023865822011377
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.15510204081632648,0.8448979591836735,0.42857142857142855,0.3877551020408163,0.42857142857142855,0.004081632653061246,0.0,0.5428571428571429,0.0,0.8979591836734694,0.949583369336506,0.8542244576794881,0.40536189367728565
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.18775510204081633,0.8122448979591838,0.0,0.48571428571428565,0.0,0.057142857142857134,0.0,0.36326530612244895,0.0,0.8738095238095239,0.9392128886363148,0.7486299188681659,0.41534074555123446
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.22448979591836737,0.0,0.34285714285714286,0.6571428571428573,0.0,0.24081632653061222,0.7591836734693879,0.0,0.5346938775510205,0.0,0.10204081632653064,0.0,0.22040816326530613,0.0,0.840775726736318,0.9275145783555255,0.6797616324226488,0.5437900928691449
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.0647247990105133,0.9352752009894867,0.6904761904761904,0.30863327149041436,0.6904761904761904,0.0033271490414347516,0.04025974025974025,0.709882498453927,0.0,0.9394557823129251,0.9614611763885502,0.8350148153688859,0.3115524706175399
mean_of_datasets,-21.0,28,0.5187012987012988,0.4812987012987013,0.0,0.12024737167594308,0.879752628324057,0.4004329004329004,0.08442795299938155,0.9155720470006186,0.49134199134199136,0.43427334570191717,0.49134199134199136,0.03581941867656154,0.0909090909090909,0.5836363636363636,0.0,0.95759000833535,0.9529502255019985,0.8722934072058659,0.31830034152262227
mean_of_datasets,-22.0,28,0.6463079777365492,0.3536920222634508,0.0,0.2042300556586271,0.795769944341373,0.09999999999999999,0.13522572665429808,0.8647742733457019,0.196969696969697,0.511082251082251,0.196969696969697,0.069004329004329,0.09696969696969697,0.40056895485466915,0.0016835016835016834,0.9223001807320227,0.9415876540177931,0.8449308271219191,0.3044132277892288
mean_of_datasets,-23.0,28,0.7674211502782932,0.23257884972170687,0.0,0.3322077922077922,0.6677922077922078,0.0,0.2080643166357452,0.7919356833642549,0.09696969696969697,0.5593568336425481,0.09696969696969697,0.12414347557204697,0.09696969696969697,0.25572047000618425,0.004545454545454546,0.8750456851052629,0.9290347560212263,0.7747831467215249,0.39462670316141235
