dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_in_candidates,candidate_count,gt_abs_tau_residual_rank,gt_tau_gain_rank,gt_corrected_coherence_rank,gt_abs_tau_residual_rank_pct,gt_tau_gain_rank_pct,gt_corrected_coherence_rank_pct,selected_abs_tau_residual_rank,selected_tau_gain_rank,selected_corrected_coherence_rank
0_0_0_10_14_16,-25.0,42,1,0,1,16,3,4,12,0.8666666666666667,0.8,0.2666666666666667,6,16,1
0_0_0_10_14_16,-25.0,42,1,1,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,1,2,1,4,4,1,2,0.0,1.0,0.6666666666666667,4,1,2
0_0_0_10_14_16,-25.0,42,1,3,0,16,0,0,0,0.0,0.0,0.0,3,15,7
0_0_0_10_14_16,-25.0,42,1,4,1,16,2,8,9,0.9333333333333333,0.5333333333333333,0.4666666666666667,2,8,9
0_0_0_10_14_16,-25.0,42,1,5,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,1,6,1,16,1,8,4,1.0,0.5333333333333333,0.8,1,8,4
0_0_0_10_14_16,-25.0,42,1,7,1,16,1,4,2,1.0,0.8,0.9333333333333333,8,13,3
0_0_0_10_14_16,-25.0,42,1,8,1,16,10,12,1,0.4,0.2666666666666667,1.0,10,12,1
0_0_0_10_14_16,-25.0,42,1,9,1,16,4,4,15,0.8,0.8,0.06666666666666665,1,8,10
0_0_0_10_14_16,-25.0,42,1,10,1,4,1,2,2,1.0,0.6666666666666667,0.6666666666666667,1,2,2
0_0_0_10_14_16,-25.0,42,1,11,1,4,4,2,1,0.0,0.6666666666666667,1.0,4,2,1
0_0_0_10_14_16,-25.0,42,1,12,1,16,2,5,5,0.9333333333333333,0.7333333333333334,0.7333333333333334,1,9,11
0_0_0_10_14_16,-25.0,42,1,13,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,1,14,1,16,4,16,6,0.8,0.0,0.6666666666666667,4,16,6
0_0_0_10_14_16,-25.0,42,1,15,0,16,0,0,0,0.0,0.0,0.0,6,15,4
0_0_0_10_14_16,-25.0,42,1,16,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,1,17,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,1,18,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,1,19,0,16,0,0,0,0.0,0.0,0.0,2,15,10
