dataset,packet_index,symbol_count,mean_abs_tau_residual,median_abs_tau_residual,tau_residual_std,sfo_cum_slope,gt_tau_slope,mean_tau_gain_db,mean_corrected_coherence,plot_path
0_0_0_10_14_16,1,35,0.04387906207108166,0.036303003469711825,0.06968542146979344,0.0006014265780427688,0.0017944677871148456,0.05114807462705991,0.9998122777937241,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_1_gt_sto_vs_sfo.png
0_0_0_10_14_16,2,35,0.043113702618553365,0.03917256313641615,0.048952825171778895,0.004491644551735306,0.0039040616246498587,0.09194149903620824,0.9997699748074768,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_2_gt_sto_vs_sfo.png
0_0_0_10_14_16,3,35,0.044251933997488835,0.035222371483130566,0.051811675232513725,0.004504489079210954,0.003378851540616246,0.08900124845762185,0.9998197502834125,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_3_gt_sto_vs_sfo.png
0_0_0_10_14_16,5,35,0.049791951613261304,0.044514029703242475,0.04848354197664165,-0.0028533020089063508,-7.002801120448156e-05,0.04038176761201125,0.9998065684841371,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_5_gt_sto_vs_sfo.png
0_0_0_10_14_16,6,35,0.04925924657430119,0.03654058442210828,0.06909920099444818,0.0040736947326269835,0.004140406162464985,0.08859962282090314,0.9998404069172574,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_6_gt_sto_vs_sfo.png
0_0_0_10_14_16,8,35,0.046791259271212686,0.04560616371550097,0.04387298633914059,-0.0018988671948687937,0.0003764005602240899,0.07020246922337582,0.9998182293140374,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_8_gt_sto_vs_sfo.png
0_0_0_10_14_16,9,35,0.04842024961259884,0.03260930846098775,0.04603927385284318,-0.0019096967366503206,0.0003939075630252105,0.04378044402615245,0.9998203447934326,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_9_gt_sto_vs_sfo.png
0_0_0_10_14_16,10,35,0.04585253777713921,0.039402013445069994,0.04523188153725432,0.004450388343814039,0.004009103641456581,0.10121719873243776,0.9998261641891525,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_10_gt_sto_vs_sfo.png
0_0_0_10_14_16,11,35,0.059945959214550676,0.05184366713140309,0.06000332883637326,-2.728624833671658e-05,0.0020570728291316523,0.07689730536636478,0.9998282887395541,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_11_gt_sto_vs_sfo.png
0_0_0_10_14_16,12,35,0.06640609256274936,0.058107660251487614,0.0615538938775728,-8.926049073063471e-05,0.0016631652661064423,0.10611351206191127,0.9998268317825006,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_12_gt_sto_vs_sfo.png
0_0_0_10_14_16,13,35,0.04865025425230821,0.038434147361362414,0.04416900485974125,-0.00038030410692107305,0.0009803921568627449,0.0590405344191406,0.9998292457750685,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\gt_sto_vs_sfo_curves_all\0_0_0_10_14_16_packet_13_gt_sto_vs_sfo.png
