packet_index,frame_index,event_index,payload_symbol_index,start_sample,paper_start_sample,paper_origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,center_raw_fft_bin,center_signed_fft_bin,center_symbol_value,paper_raw_fft_bin,paper_signed_fft_bin,paper_symbol_value,center_raw_hit,paper_raw_hit,center_symbol_hit,paper_symbol_hit,center_gt_rank,paper_gt_rank,center_peak_power,paper_peak_power,paper_peak_margin_db,paper_total_power
0,0,0,0,312025,312027,2,11,4,continuous,1605,-443,401,1605,-443,401,1605,-443,401,1,1,1,1,1,1,13847.39018303348,107.2604435685289,19.76517398749724,112.16161823263924
0,0,0,1,320217,320219,2,11,4,continuous,1421,-627,355,1421,-627,355,1421,-627,355,1,1,1,1,1,1,13840.097509669664,107.22949165246973,21.537791522012174,111.67327964130436
0,0,0,2,328409,328411,2,11,4,continuous,1329,-719,332,1329,-719,332,1329,-719,332,1,1,1,1,1,1,13669.456397633126,106.35092141750283,22.75257436215314,110.49815067792767
0,0,0,3,336601,336603,2,11,4,continuous,1433,-615,358,1433,-615,358,1433,-615,358,1,1,1,1,1,1,13499.035208562622,104.98108867988867,20.996763895488783,109.51123203177687
0,0,0,4,344793,344795,2,11,4,continuous,1961,-87,490,1961,-87,490,1961,-87,490,1,1,1,1,1,1,12986.639686526963,100.74568963053844,16.709377915968652,108.26689704099981
0,0,0,5,352985,352987,2,11,4,continuous,1857,-191,464,1857,-191,464,1857,-191,464,1,1,1,1,1,1,13058.36795156129,101.32015107411371,16.69131595159564,108.51812301168228
0,0,0,6,361177,361179,2,11,4,continuous,1693,-355,423,1693,-355,423,1693,-355,423,1,1,1,1,1,1,13163.775476033392,102.3121592667676,17.250740132587147,108.84079395162735
0,0,0,7,369369,369371,2,11,4,continuous,1245,-803,311,1245,-803,311,1245,-803,311,1,1,1,1,1,1,13284.336961878522,102.77489655163754,20.988718770564105,107.73736374689538
0,0,0,8,377561,377563,2,11,4,continuous,1661,-387,415,1661,-387,415,1661,-387,415,1,1,1,1,1,1,12879.397763790621,100.14619444526397,16.971621072576312,106.82154663160067
0,0,0,9,385753,385755,2,11,4,continuous,685,685,171,685,685,171,685,685,171,1,1,1,1,1,1,13075.719750084041,101.56468216389476,19.694559546672462,107.46451930844368
0,0,0,10,393945,393947,2,11,4,continuous,2017,-31,504,2017,-31,504,2017,-31,504,1,1,1,1,1,1,12610.66010247008,98.24694406620347,14.90948646917327,108.04626648358568
0,0,0,11,402137,402139,2,11,4,continuous,9,9,2,9,9,2,9,9,2,1,1,1,1,1,1,12752.845505700447,98.9472965539644,14.889205592247261,108.87249522115802
0,0,0,12,410329,410331,2,11,4,continuous,1369,-679,342,1369,-679,342,1369,-679,342,1,1,1,1,1,1,13404.251996412873,104.0788123654238,17.2424343993914,111.1652357690472
0,0,0,13,418521,418523,2,11,4,continuous,1653,-395,413,1653,-395,413,1653,-395,413,1,1,1,1,1,1,13360.149512917793,103.73672013486157,15.404140475476371,112.32362807237391
0,0,0,14,426713,426715,2,11,4,continuous,2029,-19,507,2029,-19,507,2029,-19,507,1,1,1,1,1,1,13153.87541150261,102.40146550546433,14.08855491204875,114.04387746358603
0,0,0,15,434905,434907,2,11,4,continuous,169,169,42,169,169,42,169,169,42,1,1,1,1,1,1,13454.799953514943,104.30570623373205,14.330207846542853,115.91914363491365
0,0,0,16,443097,443099,2,11,4,continuous,333,333,83,333,333,83,333,333,83,1,1,1,1,1,1,13565.83166871738,105.47633741280242,15.0856224837645,116.18437863183756
0,0,0,17,451289,451291,2,11,4,continuous,777,777,194,777,777,194,777,777,194,1,1,1,1,1,1,13484.521261931455,104.60161891789176,15.983403044830837,114.39587044366182
0,0,0,18,459481,459483,2,11,4,continuous,1649,-399,412,1649,-399,412,1649,-399,412,1,1,1,1,1,1,13248.887806593499,103.0857110060615,14.105732102583332,113.91950397443024
