dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,selected_raw_bin,savaux_top1_raw_bin,gt_symbol,selected_symbol,savaux_top1_symbol,selected_energy,gt_energy,delta_energy_selected_minus_gt,selected_coherence,gt_coherence,delta_coherence_selected_minus_gt,selected_rank,gt_rank,delta_rank_selected_minus_gt,selected_phase_local,gt_phase_local,delta_phase_local_selected_minus_gt,selected_local_score,gt_local_score,delta_local_score_selected_minus_gt,selected_transition_penalty,gt_transition_penalty,delta_transition_penalty_selected_minus_gt,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,candidate_count,gt_rank_position,selected_rank_position,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi
0_0_0_10_14_16,-26.0,42,1,0,222,664,265,221,663,264,0.9858424363342182,0.6309156526628039,0.3549267836714143,0.9731506019514236,0.8261530894531988,0.1469975124982248,0.9333333333333333,0.4666666666666667,0.4666666666666667,0.2460017951873221,0.7389995565444479,-0.4929977613571258,0.9240801130542089,0.7251115038017142,0.1989686092524947,0.006378686892571558,0.004640096075790934,0.001738590816780624,0.06192491244072341,10.578451650419021,0.9047489621851404,16,9,2,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,7,713,998,998,712,997,997,1.0,0.7014561635380885,0.2985438364619115,0.9346312809658903,0.9445512209406676,-0.009919939974777248,1.0,0.8,0.19999999999999996,0.7080474893993681,0.9957439205329787,-0.28769643113361054,1.000213854497077,0.839248585950072,0.16096526854700488,0.013997687490370827,0.02237443089542867,-0.008376743405057842,0.677677277088627,10.543652627648623,0.9346312809658903,16,4,1,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,12,597,157,157,596,156,156,1.0,0.6747272943572362,0.3252727056427638,0.8365483974598287,0.9313835918327485,-0.09483519437291987,1.0,0.6,0.4,0.9999794545194535,0.9985118925082997,0.0014675620111537224,1.0273063922150782,0.818347727217943,0.20895866499713522,4.250738157313305e-05,8.37355970199764e-05,-4.122821544684335e-05,0.5552832042832074,9.875682328643244,0.8365483974598287,16,7,1,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,20,860,173,173,859,172,172,1.0,0.8569476485530453,0.14305235144695472,0.8458737760844756,0.7435607424041129,0.10231303368036271,1.0,0.9333333333333333,0.06666666666666665,0.26079808005531474,0.8771461230432563,-0.6163480429879415,0.9109024480257455,0.8889188821548752,0.021983565870870247,0.01623711361054486,0.0010919474434770158,0.015145166167067844,0.6704570857737847,10.065099804750881,0.8458737760844756,16,2,1,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,21,553,940,843,552,939,842,0.9126290519723289,0.7962879676542194,0.11634108431810952,0.914152511195833,0.9251340305003031,-0.010981519304470111,0.8666666666666667,0.4,0.4666666666666667,0.9595002087693191,0.9082852057884255,0.05121500298089354,0.9751908720228879,0.8877540163841622,0.08743685563872572,0.0099473943751476,0.02104144707857431,-0.011094052703426711,0.12815638674766328,9.12643476581123,0.9017294067981717,16,10,3,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,24,874,744,744,873,743,743,1.0,0.6950257352244079,0.3049742647755921,0.9104924279577415,0.8314383040005036,0.07905412395723799,1.0,0.6666666666666667,0.33333333333333326,0.5072034118087383,0.9353131828073326,-0.42810977099859426,0.9632510314809464,0.8024557847063595,0.1607952467745869,0.007485099520737955,0.0025451799707624646,0.00493991954997549,1.5799911417387882,11.597397514715288,0.9104924279577415,4,2,1,0,1,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,26,314,194,712,313,193,711,0.8946647414264083,0.81874485777595,0.07591988365045832,0.9474449926740044,0.8128156114812987,0.13462938119270573,0.8666666666666667,0.6,0.2666666666666667,0.9241423154362584,0.9752188684544749,-0.051076553018216564,0.963617088003088,0.8917195416921406,0.07189754631094736,0.0071808088883580905,0.005325396912964185,0.0018554119753939058,0.20898486800844715,9.136151599429516,0.9704478709391346,16,7,3,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,33,584,808,808,583,807,807,1.0,0.8708878656533243,0.12911213434667568,0.9210355916658136,0.8455996520303538,0.0754359396354598,1.0,0.8666666666666667,0.1333333333333333,0.8865183863606247,0.19690263167363234,0.6896157546869924,1.0260500601508626,0.8102458574311789,0.2158042027196837,0.003963659620895243,0.02854305515365756,-0.024579395532762317,0.13241412987744614,10.249164682733756,0.9210355916658136,16,3,1,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,1,34,934,52,473,933,51,472,0.8997501009946842,0.7818008535416376,0.11794924745304658,0.8857912081443391,0.8071146408789158,0.07867656726542327,0.6666666666666667,0.2666666666666667,0.4,0.7667098517120601,0.31777174188040297,0.4489381098316571,0.9296568885990764,0.759527004355794,0.17012988424328235,0.003741293600613566,0.005503090958118798,-0.0017617973575052323,0.17218775115840468,9.620547623659064,0.9433127988991484,16,12,6,0,0,2,3.6039356410736343e-16
0_0_0_10_14_16,-26.0,42,2,0,803,830,830,802,829,829,1.0,0.7134285156372884,0.2865714843627116,0.8426568383598152,0.9476900909581284,-0.1050332525983132,1.0,0.8666666666666667,0.1333333333333333,0.5160436811331284,0.9993473301481266,-0.4833036490149982,0.9510983566532636,0.8488335519614277,0.10226480469183585,0.0039469597888815025,7.67862878667322e-05,0.0038701735010147702,0.3785664602360883,11.687218414078293,0.8426568383598152,16,3,1,0,0,2,4.9977595182166055e-17
