dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_raw_bin,savaux_top1_raw_bin,phase_line_raw_bin,gt_symbol,savaux_top1_symbol,phase_line_symbol,gt_in_stage1_top40_raw,gt_in_actual_viterbi_candidates_raw,stage1_topk_size,actual_viterbi_candidate_count,effective_top_l,hard_anchor,high_confidence,pre_hard_anchor_count,hard_anchor_rmse_pi,category,gt_local_score,selected_local_score,local_score_delta_gt_minus_selected,lock_active
0_0_0_10_14_16,-26.0,42,1,0,222,265,664,221,264,663,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.7251115038017142,0.9240801130542089,-0.1989686092524947,0
0_0_0_10_14_16,-26.0,42,1,1,826,826,826,825,825,825,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0488133235538721,1.0488133235538721,0.0,1
0_0_0_10_14_16,-26.0,42,1,2,922,922,922,921,921,921,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.014844117553216,1.014844117553216,0.0,1
0_0_0_10_14_16,-26.0,42,1,3,718,474,683,717,473,682,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,1.0124679822188618,,0
0_0_0_10_14_16,-26.0,42,1,4,107,624,624,106,623,623,1,0,40,4,16,0,1,2,3.6039356410736343e-16,E3_lock_or_high_conf_removed_gt,,0.8981178643156721,,1
0_0_0_10_14_16,-26.0,42,1,5,468,468,468,467,467,467,1,1,40,4,16,1,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.8884987429424948,0.8884987429424948,0.0,1
0_0_0_10_14_16,-26.0,42,1,6,89,237,89,88,236,88,1,1,40,16,16,0,0,2,3.6039356410736343e-16,B_savaux_wrong_phase_rescue,0.9975246961346944,0.9975246961346944,0.0,0
0_0_0_10_14_16,-26.0,42,1,7,713,998,998,712,997,997,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.839248585950072,1.000213854497077,-0.16096526854700488,0
0_0_0_10_14_16,-26.0,42,1,8,865,448,448,864,447,447,1,0,40,16,16,0,0,2,3.6039356410736343e-16,E0_gt_in_top40_but_not_actual_candidates,,0.8949334312016685,,0
0_0_0_10_14_16,-26.0,42,1,9,492,740,740,491,739,739,1,0,40,16,16,0,0,2,3.6039356410736343e-16,E0_gt_in_top40_but_not_actual_candidates,,0.90172664404525,,0
0_0_0_10_14_16,-26.0,42,1,10,765,765,765,764,764,764,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0123328027387468,1.0123328027387468,0.0,0
0_0_0_10_14_16,-26.0,42,1,11,1023,1023,1023,1022,1022,1022,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0484108240431709,1.0484108240431709,0.0,1
0_0_0_10_14_16,-26.0,42,1,12,597,157,157,596,156,156,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.818347727217943,1.0273063922150782,-0.20895866499713522,0
0_0_0_10_14_16,-26.0,42,1,13,562,562,562,561,561,561,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.044590926200054,1.044590926200054,0.0,0
0_0_0_10_14_16,-26.0,42,1,14,478,478,478,477,477,477,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0235116533109134,1.0235116533109134,0.0,0
0_0_0_10_14_16,-26.0,42,1,15,267,728,587,266,727,586,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,1.0354586077544392,,0
0_0_0_10_14_16,-26.0,42,1,16,917,917,917,916,916,916,1,1,40,4,16,1,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,0.889757710390018,0.889757710390018,0.0,1
0_0_0_10_14_16,-26.0,42,1,17,656,656,656,655,655,655,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0508105342076537,1.0508105342076537,0.0,1
0_0_0_10_14_16,-26.0,42,1,18,889,889,889,888,888,888,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0344796039561728,1.0344796039561728,0.0,0
0_0_0_10_14_16,-26.0,42,1,19,510,641,547,509,640,546,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,0.9481384665442315,,0
0_0_0_10_14_16,-26.0,42,1,20,860,173,173,859,172,172,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.8889188821548752,0.9109024480257455,-0.021983565870870247,0
0_0_0_10_14_16,-26.0,42,1,21,553,843,940,552,842,939,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.8877540163841622,0.9751908720228879,-0.08743685563872572,0
0_0_0_10_14_16,-26.0,42,1,22,629,629,629,628,628,628,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.010051408830454,1.010051408830454,0.0,1
0_0_0_10_14_16,-26.0,42,1,23,759,725,725,758,724,724,0,0,40,16,16,0,0,2,3.6039356410736343e-16,D_stage1_top40_miss,,1.0354442175510923,,0
0_0_0_10_14_16,-26.0,42,1,24,874,744,744,873,743,743,1,1,40,4,16,0,1,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.8024557847063595,0.9632510314809464,-0.1607952467745869,1
0_0_0_10_14_16,-26.0,42,1,25,720,720,720,719,719,719,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.034731605646747,1.034731605646747,0.0,1
0_0_0_10_14_16,-26.0,42,1,26,314,712,194,313,711,193,1,1,40,16,16,0,0,2,3.6039356410736343e-16,E1_gt_in_candidates_local_score_loss,0.8917195416921406,0.963617088003088,-0.07189754631094736,0
0_0_0_10_14_16,-26.0,42,1,27,602,602,602,601,601,601,1,1,40,16,16,0,0,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0163431796033238,1.0163431796033238,0.0,0
0_0_0_10_14_16,-26.0,42,1,28,7,7,7,6,6,6,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0474933257618928,1.0474933257618928,0.0,1
0_0_0_10_14_16,-26.0,42,1,29,610,610,610,609,609,609,1,1,40,4,16,0,1,2,3.6039356410736343e-16,A_savaux_ok_phase_ok,1.0309640337687689,1.0309640337687689,0.0,1
0_0_0_10_14_16,-26.0,42,1,30,807,342,807,806,341,806,1,1,40,16,16,0,0,2,3.6039356410736343e-16,B_savaux_wrong_phase_rescue,0.9384959259978655,0.9384959259978655,0.0,0
0_0_0_10_14_16,-26.0,42,1,31,897,114,961,896,113,960,1,0,40,16,16,0,0,2,3.6039356410736343e-16,E0_gt_in_top40_but_not_actual_candidates,,0.8864126456418673,,0
