packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,multi_raw_ser,multi_symbol_ser,pure_raw_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid,pure_payload_hex,pure_decode_error,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,reference_line_slope_pi,reference_line_anchor_count,refinement_count,selection_mode,error,dataset,target_snr_db,noise_seed
1,0,1,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.9142857142857143,0.9142857142857143,-0.05714285714285716,-0.19999999999999996,0,40a493795b79030e96d01df44aedcf4cae64f4662e516466f6a115540348103528,,0.9656283575518785,0.9029418740845956,32.0,-0.49741577475609333,-0.21673093829733586,0.998902538497192,0.0717077287894004,28,-0.2136113602192397,28,0,path,,0_0_0_10_14_16,-24.0,42
2,1,2,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.6,0.6,1.0,1.0,-0.11428571428571432,-0.4,0,40e464768207d8da49655b696af8f1d04c35e12ca7fa847484d5e2b86e3ad02c12,,0.9709035690559731,0.8811128665121911,32.0,-0.616920778476177,0.20049447922201685,0.9960321833899588,0.12333651380675478,28,0.2040622902341991,28,0,path,,0_0_0_10_14_16,-24.0,42
3,2,3,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.6571428571428571,0.6571428571428571,0.8857142857142857,0.8857142857142857,0.08571428571428574,-0.22857142857142854,0,4014d8a64d22a0a484f69f400ceba7e4cdcd59962275b93f3e105543536946846d,,0.9722355743938697,0.8694331222553011,32.0,-0.6617681725924953,-0.16506546069861308,0.9950503342896855,0.1067923442358042,28,-0.16201759135003416,28,0,path,,0_0_0_10_14_16,-24.0,42
5,3,5,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.5428571428571428,0.5428571428571428,0.8857142857142857,0.8857142857142857,-0.02857142857142858,-0.34285714285714286,0,4064d5a8fd47bd21cb1a314a3231113393766863482d876040255752536a543764,,0.9638085279316977,0.8835239293978436,32.0,-0.604586890915117,-0.4073668738272344,0.9972087221157823,0.22401011655657632,28,-0.09162518827742522,28,0,path,,0_0_0_10_14_16,-24.0,42
6,4,6,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.42857142857142855,0.42857142857142855,0.9428571428571428,0.9428571428571428,-0.05714285714285716,-0.5142857142857142,0,401466654721b53171bcdd99ba440e6bff321bc732699cb2b5134554b42d064fb9,,0.9752547604504329,0.8902431249707929,32.0,-0.539976320587484,-0.28950378474821414,0.9991885382482194,0.08370758496749796,28,-0.2784688078331339,28,0,path,,0_0_0_10_14_16,-24.0,42
8,5,8,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.5714285714285714,0.5714285714285714,0.9428571428571428,0.9428571428571428,-0.02857142857142858,-0.37142857142857144,0,40d462038dc9e93177a841977e6dda1461f4392fb22db90592df5afe004f1676a0,,0.9740048708938427,0.8707722201825887,32.0,-0.681175948472813,0.0741776127052139,0.9914507927980112,0.07268075522743028,28,0.07645944157289743,28,0,path,,0_0_0_10_14_16,-24.0,42
9,6,9,33,1,1,0,35,35,0.8,0.8,0.5714285714285714,0.5714285714285714,0.8857142857142857,0.8857142857142857,-0.08571428571428563,-0.3142857142857143,0,40443e3e98dc0a9ce699467f764322a9d8ba17f055a87ff32655c520075096eee5,,0.956196365850326,0.9004471362220369,32.0,-0.5080016392920133,0.2998066787779876,0.9962976737122515,0.1663037089304857,28,0.03422786398808095,28,0,path,,0_0_0_10_14_16,-24.0,42
10,7,10,33,1,1,0,35,35,0.8,0.8,0.6,0.6,0.8857142857142857,0.8857142857142857,-0.08571428571428563,-0.2857142857142857,0,40b44eb75086e34546fc153031141534e749f59bdb99a7d9fb2dcfc4855e16983d,,0.9608207970646907,0.9122637998634924,32.0,-0.44739959049717576,-0.0066751808322877025,0.058613705885254386,0.25821509257418984,28,0.0521326497897008,28,0,path,,0_0_0_10_14_16,-24.0,42
11,8,11,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.4,0.4,0.8857142857142857,0.8857142857142857,-0.05714285714285705,-0.48571428571428565,0,40d43112c82c0c2e20b4cb11bd7cbbd0a183807010080f59f0a2368765be586347,,0.9681710002937229,0.8947057579199521,32.0,-0.5577361328165941,-0.47203506644277593,0.9996027520058124,0.09366005903580675,28,-0.3286582443855043,28,0,path,,0_0_0_10_14_16,-24.0,42
12,9,12,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.2857142857142857,0.2857142857142857,0.8,0.8,-0.17142857142857149,-0.5142857142857143,0,40741b0ab8bb94d980a17c9fb114bdbc177ce816b1831cbd8e89db6e33a543d073,,0.9663174348408496,0.8509973123269863,32.0,-0.7896033154001915,0.11076237833422266,0.9829720704720502,0.14181913116158912,28,-0.14622041675178393,28,0,path,,0_0_0_10_14_16,-24.0,42
13,10,13,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.5142857142857142,0.5142857142857142,0.22857142857142865,-0.19999999999999996,0,40d43ab291913738701a293a3334353637b0b39ab13eb5bebf48f1f140d2d40491,,0.9743336973402035,0.8930407322875339,32.0,-0.532311303111478,-0.13070953506896227,0.9892607322704985,0.13016260096071344,28,-0.1575149400361281,28,0,path,,0_0_0_10_14_16,-24.0,42
