window_index,start_sample,end_sample,peak_bin,peak_signed_bin,peak_power,second_power,total_power,confidence_db,peak_share,valid
0,0,65536,2006,2006,0.023389168411085848,0.022651435632724315,88.00532916716375,0.13919048471425544,0.0002657699099864595,1
1,16384,81920,1457,1457,0.021909135692112613,0.020750005322042853,80.004844648192,0.2360703269262576,0.00027384761245965035,1
2,32768,98304,1457,1457,0.021831975573149975,0.021603205474093556,84.005086670639,0.045748403930920035,0.00025988873339000514,1
3,49152,114688,3463,3463,0.0192517242348913,0.017651224392466247,59.0035725095575,0.37694796157209853,0.0003262806541378977,1
4,65536,131072,8133,8133,0.01008262597315479,0.008898226195015013,35.00211927310944,0.5427021540356312,0.00028805758572741106,1
5,81920,147456,12571,-3813,0.007247975067002699,0.0071053008432500064,27.001635036647066,0.08634219725230464,0.00026842726587355273,1
6,98304,163840,14164,-2220,0.007034763504634611,0.006890480552101508,27.001635572473468,0.08999990571405407,0.0002605310143436691,1
7,114688,180224,14983,-1401,0.00955634715501219,0.008922218810766935,37.00224143796899,0.29819048267563847,0.00025826400735838036,1
8,131072,196608,14983,-1401,0.01774468453368172,0.014873059655656107,55.00333145939197,0.7666796294018989,0.0003226110866899457,1
9,147456,212992,3694,3694,0.03234375891042873,0.02838207360036904,94.00569272576325,0.5674636918910357,0.000344061704909543,1
10,163840,229376,3694,3694,0.031205249048070982,0.02789459770428948,93.00563194050966,0.487075506214747,0.0003355199937572725,1
11,180224,245760,3694,3694,0.03037930875143502,0.028397943038726225,100.00605527700102,0.29291004000132165,0.0003037746931152231,1
12,196608,262144,8031,8031,0.029841225943528116,0.02790704244398512,85.00514688590133,0.29102848042997487,0.00035105198963520035,1
13,212992,278528,10508,-5876,0.013163017283659428,0.012287986755836755,50.00302764976457,0.2987471694678811,0.0002632444054359457,1
14,229376,294912,14474,-1910,0.016303997428622097,0.015480392983590718,60.00363313529943,0.22512116727983777,0.0002717168374098109,1
15,245760,311296,15012,-1372,0.013775478670140728,0.013344441482331604,47.00284615462454,0.1380629708290732,0.00029307754310927786,1
16,262144,327680,15012,-1372,0.014036137727089226,0.013394949462963268,42.00254322622537,0.20306541578577342,0.00033417352019592475,1
17,278528,344064,3385,3385,0.013964409881737083,0.013034044241067022,40.002422293612796,0.29943396915550763,0.00034908910713556433,1
18,294912,360448,347,347,0.0043406290642451495,0.004233285391819663,19.001150674003686,0.10875126134620793,0.00022844032652105412,1
19,311296,376832,6214,6214,0.0030579942249460146,0.0028895971408928744,13.000787323714345,0.24599361985752,0.00023521607951912415,1
20,327680,393216,12416,-3968,0.004531855811364949,0.004312411823775619,18.001090039569355,0.21555855481227126,0.0002517545216097017,1
21,344064,409600,5691,5691,0.004316309103160165,0.0041960086091421545,14.000847680979968,0.12276167602268845,0.0003082891265950871,1
22,360448,425984,5691,5691,0.004316309103160165,0.0041960086091421545,14.00084771276135,0.12276167602268845,0.00030828912589528275,1
23,376832,442368,5691,5691,0.004357167490525171,0.004266366187948734,15.000908293942203,0.09146125844075004,0.0002904602444829771,1
24,393216,458752,3358,3358,0.0009134551946772262,0.0009126063669100404,7.00042397081952,0.004037555465613805,0.000130485696078532,1
25,409600,475136,3425,3425,0.0015884528984315693,0.0015855570818530396,9.000545134333631,0.007924597070699767,0.00017648407676688717,1
26,425984,491520,3425,3425,0.0015274140459951013,0.0015245182294165716,8.000484573104156,0.008241582214737985,0.00019091519170350338,1
27,442368,507904,14349,-2035,0.0010973388561978936,0.0010946505499305204,6.000363486862967,0.0106525803426025,0.0001828787303636484,1
28,458752,524288,9406,-6978,0.0012719477526843548,0.0012574414868140593,7.000424013818522,0.04981487384330844,0.0001816958158782364,1
29,475136,540672,16091,-293,0.006842807531938888,0.0068103058147244155,17.00102947230514,0.0206771052783406,0.000402493716223826,1
30,491520,557056,6947,6947,0.007743779875454493,0.007474083133274689,23.001392720119313,0.15395075086086457,0.0003366656954072616,1
31,507904,573440,7800,7800,0.009639662770496216,0.009379493276355788,33.00199818148626,0.11882464596725889,0.0002920933065169356,1
32,524288,589824,7800,7800,0.009756747123901732,0.009540645725792274,33.00199824934905,0.09727279631944098,0.00029564110179583383,1
33,540672,606208,10744,-5640,0.008543430958525278,0.008363147282807404,32.001937636782,0.09262568963633483,0.0002669660523525842,1
34,557056,622592,12496,-3888,3559.9277412951324,3540.1839397229683,77224.68079714324,0.024153552962489288,0.04609831603767307,1
35,573440,638976,208,208,1365751.137879459,41524.824964618514,1656329.595594512,15.170637605306329,0.8245648339026661,1
36,589824,655360,208,208,2666275.637662408,120538.66068500871,3227658.8947921647,13.447786827737257,0.8260710702622418,1
37,606208,671744,208,208,3939416.512636028,218778.76176709682,4799856.15632561,12.554267409801366,0.820736368827297,1
38,622592,688128,208,208,5148523.125,329995.7890625,6240931.279752741,11.93174269686316,0.8249607140689393,1
39,638976,704512,208,208,4970303.875,405820.4375,6175180.878882772,10.880490267623344,0.8048839333592507,1
40,655360,720896,208,208,4856490.625,455260.921875,6129902.991271094,10.280621812334065,0.7922622318682012,1
41,671744,737280,208,208,4754721.875,480818.8359375,6064850.217146554,9.951436454975598,0.7839800992211552,1
42,688128,753664,208,208,4721116.75,491865.7265625,6055099.878307867,9.821981786028458,0.7796926301601063,1
43,704512,770048,208,208,4717411.0,499537.25,6060147.471298238,9.751358367120126,0.7784317167762602,1
44,720896,786432,208,208,4709799.625,482041.65625,6027476.692292652,9.899178608019795,0.7813882766270057,1
45,737280,802816,208,208,4725634.875,468242.015625,6019140.951345999,10.039897823354021,0.7851012151398872,1
46,753664,819200,208,208,4771061.25,441902.46875,6021275.943612317,10.332885641707882,0.7923671485379092,1
47,770048,835584,208,208,4820443.75,401231.8125,6008682.967076768,10.79691659766448,0.80224631194765,1
48,786432,851968,208,208,4874070.0,363324.7265625,6004338.600580571,11.275968067316562,0.8117580176988547,1
49,802816,868352,208,208,4931116.0,321232.1171875,5998247.340384113,11.86126258951218,0.8220928081442243,1
50,819200,884736,208,208,4985907.625,283744.62109375,5996079.258664413,12.448165905527738,0.8315279718484871,1
51,835584,901120,208,208,3753029.5463256836,1262940.6932525635,5986780.925986152,4.72999026588227,0.6268860666064006,1
52,851968,917504,208,208,2520310.6670918465,1279118.0927124023,5988947.718535416,2.9454343562811687,0.42082696085184446,1
