window_index,start_sample,end_sample,peak_bin,peak_signed_bin,peak_power,second_power,total_power,confidence_db,peak_share,valid
0,0,65536,12525,-3859,0.5728990938514471,0.5656486796215177,1523.0922257116022,0.05531357630510379,0.00037614209053150644,1
1,32768,98304,13425,-2959,0.6052229378838092,0.604317749850452,1624.0983419960498,0.00650028966117051,0.0003726516567586529,1
2,65536,131072,15940,-444,0.2872656024992466,0.2827163734473288,910.0551067648028,0.06932664930796426,0.00031565737103598097,1
3,98304,163840,2863,2863,0.23617942305281758,0.23414476367179304,754.0456599940248,0.037576075361275774,0.00031321634163996,1
4,131072,196608,11184,-5200,0.2102834526449442,0.20997058413922787,831.0503203258709,0.006466426437524872,0.0002530333573092036,1
5,163840,229376,1070,1070,0.312097359681502,0.2881670817732811,1104.0668501575292,0.34645726089730666,0.0002826797667523227,1
6,196608,262144,1070,1070,0.34631888568401337,0.25931486347690225,882.0534088933089,1.2564876493394894,0.00039262802251230036,1
7,229376,294912,12701,-3683,0.19080068543553352,0.1880657598376274,675.0408760021598,0.06270197545257296,0.0002826505656450396,1
8,262144,327680,12701,-3683,0.16625121654942632,0.16216047282796353,506.030640966352,0.10819829948832171,0.00032853982168340874,1
9,294912,360448,730,730,0.07046150951646268,0.06985369464382529,297.01798576749763,0.03762561553915021,0.00023722977359229405,1
10,327680,393216,780,780,0.1966237067244947,0.17967320512980223,502.03040049863176,0.3915256400017928,0.00039165697242478164,1
11,360448,425984,780,780,0.21917199657764286,0.19018846889957786,622.0376658293115,0.616008817293485,0.00035234521736788866,1
12,393216,458752,11926,-4458,0.2817584415897727,0.2780707539059222,931.0563770192095,0.05721622200525506,0.0003026223207791417,1
13,425984,491520,717,717,0.29605601355433464,0.28701845137402415,840.0508668449438,0.13464070145189058,0.00035242629373892487,1
14,458752,524288,174,174,0.1376244057319127,0.13142973836511374,441.0267070049236,0.20001813325402132,0.0003120545843278744,1
15,491520,557056,14420,-1964,0.1033715452067554,0.10121694626286626,342.020711905289,0.09147777781267574,0.00030223767628254235,1
16,524288,589824,5479,5479,0.06823395565152168,0.064274683711119,234.01416977386768,0.25960600679388357,0.00029158044454084743,1
17,557056,622592,7217,7217,0.06222739105578512,0.05984562449157238,251.01520020695676,0.16949189925586503,0.0002479028800028044,1
18,589824,655360,8918,-7466,0.058036243775859475,0.05590862315148115,236.01429174054482,0.16220499127819393,0.00024590139583436694,1
19,622592,688128,13909,-2475,2236.5684950887226,2138.397556391312,17988.08931088083,0.19493753547613704,0.12433607908183127,1
20,655360,720896,1621,1621,6349.710773020983,5434.260660229484,43590.63971384152,0.6761347780016573,0.1456668407416084,1
21,688128,753664,1621,1621,8281.235717773438,7607.8646240234375,51407.11280483668,0.36832370543059667,0.16109124333071456,1
22,720896,786432,1621,1621,8441.543579101562,8105.359619140625,52322.168060673874,0.17649578419237574,0.16133780177672633,1
23,753664,819200,1621,1621,8975.1201171875,8364.592041015625,53635.24805413908,0.3059550525769248,0.16733622837220907,1
24,786432,851968,1621,1621,8763.7080078125,7882.3187255859375,52375.17188972292,0.4603390735532456,0.16732561806698565,1
25,819200,884736,1621,1621,8100.051513671875,6934.1201171875,49747.011588413545,0.674964203503914,0.16282488646128923,1
26,851968,917504,1621,1621,7983.9378662109375,6416.5174560546875,48992.965128852586,0.9491776836487541,0.16296090357489088,1
27,884736,950272,1621,1621,6261.684470653534,4844.47996711731,50450.05443716141,1.1144401516851012,0.12411650573049114,1
28,917504,983040,1653,1653,2408.9202791154385,2291.3646216392517,51395.112597266314,0.21728224320228698,0.046870610012897766,1
29,950272,1015808,1653,1653,2392.3682445455343,2092.14955329895,49897.02181765488,0.5823530309303706,0.047946112962177864,1
30,983040,1048576,15586,-798,2636.6172974407673,2216.5105801075697,48111.913616936756,0.7537728826048844,0.054801754892422394,1
31,1015808,1081344,16262,-122,4107.02023781836,3392.475750262849,48037.90923658325,0.830100909304484,0.085495399426973,1
32,1048576,1114112,16262,-122,4106.645281344652,3983.7823868989944,49318.98667598191,0.1319158435582687,0.08326702469222805,1
33,1081344,1146880,818,818,4769.840990975499,3830.2883734703064,51695.13124191243,0.9527242927716049,0.09226866972548267,1
34,1114112,1179648,794,794,4920.723242677748,4770.042164325714,53964.26861660625,0.13506721639568106,0.09118484079970483,1
35,1146880,1212416,794,794,4919.718842998147,4111.022523900261,54464.297273986405,0.779904277371938,0.09032924483077716,1
36,1179648,1245184,130,130,5540.560935676098,3924.5739859715104,53086.21392948291,1.4976121485031295,0.1043691106515131,1
37,1212416,1277952,130,130,5436.9713747333735,2998.6344411298633,49652.00588478451,2.584335216579752,0.10950154536253073,1
38,1245184,1310720,106,106,4428.264639347792,2999.3141108825803,46520.816611241804,1.6921161628604695,0.0951888845020338,1
39,1277952,1343488,16382,-2,4407.021372541785,4339.524786829948,45590.76187889434,0.06702983347050624,0.09666478889404038,1
40,1310720,1376256,16382,-2,4407.958428919315,2719.036573126912,46911.841238878675,2.0982244084816215,0.09396259691606762,1
41,1343488,1409024,330,330,5564.563409485389,4899.256234794855,50218.03941694857,0.5530094168357772,0.11080805770380893,1
42,1376256,1441792,330,330,5522.947086643893,4899.442626684904,52880.199574543265,0.5202420605478625,0.10444262939776539,1
43,1409024,1474560,1242,1242,3995.252348780632,3945.195110872388,53652.247713705394,0.054757292476967034,0.0744657030978415,1
44,1441792,1507328,16350,-34,5444.147421389818,3492.4919671416283,52587.18453994942,1.927944610024134,0.10352612464457019,1
45,1474560,1540096,16350,-34,5444.427930466831,2535.198845475912,49922.02285108244,3.319402248885262,0.10905864024596074,1
46,1507328,1572864,1306,1306,2841.1348332371563,2535.804944932461,47233.86063593,0.493760003547583,0.06015038353811699,1
47,1540096,1605632,1306,1306,2841.7845861371607,1672.4301062580198,45462.75335029952,2.302431774072879,0.06250797359853345,1
