event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,57344,237568,7,25,19,336,336,336,336,460634.84689478314,6.007033551966759,0.6215997086275183,11,125000.0,500000.0,4,8192,4,8192,13,2
1,2555904,2736128,312,330,19,8037,-155,8037,8037,650232.8001702339,12.8953347287655,0.8551149784711336,11,125000.0,500000.0,4,8192,4,8192,13,2
2,5054464,5234688,617,635,19,7574,-618,7574,7574,313952.7381439437,2.3461051783275373,0.5268160769648893,11,125000.0,500000.0,4,8192,4,8192,13,2
3,7585792,7733248,926,940,15,938,938,938,938,277996.1308011373,1.484964357723843,0.27820508714609204,11,125000.0,500000.0,4,8192,4,8192,13,2
4,10059776,10240000,1228,1246,19,492,492,492,492,157915.39319367247,4.098529452069151,0.5001615770917534,11,125000.0,500000.0,4,8192,4,8192,13,2
5,12558336,12738560,1533,1551,19,28,28,28,28,703993.3611241459,24.02503058598476,0.9679008836316312,11,125000.0,500000.0,4,8192,4,8192,13,2
6,15056896,15228928,1838,1855,18,7701,-491,7701,7701,229861.29130988196,3.7366205082935875,0.5831272261649469,11,125000.0,500000.0,4,8192,4,8192,13,2
7,17555456,17711104,2143,2158,16,7223,-969,7223,7223,211937.8533094423,0.7018350709047952,0.46476604496411383,11,125000.0,500000.0,4,8192,4,8192,13,2
8,20062208,20242432,2449,2467,19,621,621,621,621,242372.0474652448,1.741994959973251,0.3811419227902852,11,125000.0,500000.0,4,8192,4,8192,13,2
9,22560768,22740992,2754,2772,19,143,143,143,143,572225.7489110867,14.713375242155607,0.8545382604221489,11,125000.0,500000.0,4,8192,4,8192,13,2
10,25059328,25231360,3059,3076,18,7944,-248,7944,7944,417225.6881296378,3.308422715882292,0.5527993906642019,11,125000.0,500000.0,4,8192,4,8192,13,2
11,27557888,27729920,3364,3381,18,7484,-708,7484,7484,460309.4874655087,3.4635672204788364,0.6132814155987159,11,125000.0,500000.0,4,8192,4,8192,13,2
