window_index,start_sample,end_sample,peak_bin,peak_signed_bin,peak_power,second_power,total_power,confidence_db,peak_share,valid
0,0,65536,15118,-1266,4669185.029785156,4646338.123291016,52432161.284165084,0.021302733406135182,0.08905192758466902,1
1,32768,98304,15150,-1234,4592692.137817383,3680827.574645996,52599335.150953636,0.9612186055418375,0.0873146423740323,1
2,65536,131072,59,59,5288689.891795874,5206481.703716278,52549915.16525334,0.0680375586639196,0.10064126412315925,1
3,98304,163840,411,411,4551111.084063411,4448403.237586021,52432761.33692855,0.09913287786843145,0.08679899681076018,1
4,131072,196608,914,914,3809725.18343246,3679164.8390111923,52633336.21600638,0.15144402613679675,0.07238236177538523,1
5,163840,229376,614,614,4321395.904802322,4028324.789067745,52776875.144334026,0.30499577168551656,0.08188048066476432,1
6,196608,262144,558,558,4464292.685517244,4027125.1781668663,52506217.05714689,0.44757530520481104,0.08502407782793382,1
7,229376,294912,602,602,4420965.069742262,3799700.025078416,52197424.64286789,0.6576777181458054,0.0846969960681064,1
8,262144,327680,16246,-138,5336553.758690357,4440301.950844765,52194744.88803832,0.7984838457215371,0.10224312371173896,1
9,294912,360448,1338,1338,3649552.5474128127,3103506.1740258336,52232156.597549126,0.7038700744572567,0.06987175688594982,1
10,327680,393216,1314,1314,3710640.6460385323,2815653.3752959967,52081829.6177795,1.1986970812243771,0.0712463573816502,1
11,360448,425984,522,522,4823717.229315966,3710674.9718008637,52093008.86077061,1.1392892617158508,0.09259816882930208,1
12,393216,458752,1206,1206,3867314.651529312,3599096.681578964,52077531.87487802,0.31215995327304785,0.07426071306184324,1
13,425984,491520,234,234,5484620.652846098,3912370.4485940933,52022569.82748767,1.4670662482590484,0.10542771475983749,1
14,458752,524288,886,886,4308783.787119865,3709180.7856696695,52105981.298786774,0.650767005478188,0.08269269054568579,1
15,491520,557056,138,138,5835238.791448116,3844004.7374586463,51988429.75665696,1.8127471884479587,0.11224110477583585,1
16,524288,589824,138,138,5835245.661089659,4201594.286064148,51952411.310503475,1.4264503056577151,0.11231905341629289,1
17,557056,622592,15670,-714,4201612.14735651,4040210.256434262,51938911.27832283,0.1701199320582083,0.08089526799746552,1
18,589824,655360,1174,1174,3733065.7525182962,3679227.3479685783,51996061.21051644,0.0630901473775181,0.07179516420300057,1
19,622592,688128,15538,-846,3990698.6625213623,3679283.841686249,52196395.73273342,0.35285642300134035,0.07645544498810507,1
20,655360,720896,15634,-750,4163509.6028442383,4023362.3076171875,52189188.75072512,0.14870427700376765,0.07977724318978593,1
21,688128,753664,806,806,4615783.621802211,3931868.7488904,51825131.75828023,0.6964642975236607,0.08906458054618907,1
22,720896,786432,798,798,4666226.854434252,3870582.67316705,51431124.424701646,0.8118950059473923,0.09072768496955375,1
23,753664,819200,798,798,3879099.79936781,3710768.4577413686,32966503.541455105,0.1926709668281089,0.11766791690510564,1
24,786432,851968,15250,-1134,1032761.8129012312,1005923.1883670049,7293501.965879318,0.11435351664480849,0.14160026524058386,1
25,819200,884736,8677,-7707,0.004289922886528075,0.004170003900071606,20.00121129261031,0.12313024442445518,0.0002144831542334158,1
26,851968,917504,5041,5041,0.002850868215318769,0.0027957533166045323,16.000968924294213,0.0847829323388902,0.00017816847397224216,1
27,884736,950272,9917,-6467,0.005754996623295483,0.0056739330175332725,20.001211009759615,0.06160868632022155,0.0002877324088270118,1
28,917504,983040,14927,-1457,0.007427432400618272,0.006615529739065096,29.001756066519086,0.5027408176318392,0.00025610285058541094,1
29,950272,1015808,11174,-5210,0.0065085552632808685,0.006245385680813342,28.001695559156897,0.1792533355062994,0.00023243432704033137,1
30,983040,1048576,4039,4039,0.006498351343907416,0.006445776627515443,27.001634724001317,0.035279371198180934,0.00024066510825476565,1
31,1015808,1081344,13821,-2563,0.00925121339969337,0.00834080203094345,33.001998117420236,0.4499088570273608,0.00028032282672030333,1
32,1048576,1114112,9082,-7302,0.007418882712954655,0.00714979999611387,29.00175624126865,0.1604461196314621,0.00025580805007931906,1
33,1081344,1146880,3154,3154,0.00607799703720957,0.005752826560637914,27.00163477675187,0.23879203166815463,0.00022509737234290212,1
34,1114112,1179648,13230,-3154,0.006654142634943128,0.006323351673927391,26.001574213456074,0.22144770134201522,0.00025591306819798407,1
35,1146880,1212416,12601,-3783,0.009949980321835028,0.00994798455212731,31.001877617915326,0.0008711964058721617,0.00032094766789496473,1
36,1179648,1245184,41,41,0.010056773666292429,0.009804614295717329,35.00211976248252,0.11028162576820918,0.00028731898909368093,1
37,1212416,1277952,13444,-2940,0.005062451778940158,0.004947594890836626,24.00145325270961,0.09966767111543556,0.00021092271895530493,1
38,1245184,1310720,4474,4474,0.004681707859177209,0.004360909842944238,21.001271859802745,0.30827201820103933,0.000222924968089108,1
39,1277952,1343488,881,881,0.00614791784028057,0.0058287033753003925,27.001635547895035,0.231561005418028,0.000227686868426007,1
40,1310720,1376256,2103,2103,0.008488107414450496,0.007758676634693984,31.001877320198012,0.3902321502863237,0.0002737933360222807,1
41,1343488,1409024,2093,2093,0.008428257220657542,0.008233590022427961,31.001877339205315,0.10148543056517478,0.00027186280135361594,1
42,1376256,1441792,8098,8098,0.010597203741781414,0.009437409797101282,38.00230150746086,0.5033847049488837,0.00027885689343580685,1
43,1409024,1474560,8129,8129,0.00978651595505653,0.009534148499369621,41.00248292966272,0.1134619646516587,0.00023868105675075107,1
44,1441792,1507328,445,445,0.0096035776368808,0.009110065904678777,34.00205853082715,0.2291153284629122,0.00028244106538943657,1
45,1474560,1540096,1889,1889,0.010830564293428324,0.01070856099249795,30.00181642100608,0.049199701784010424,0.00036099695236603053,1
46,1507328,1572864,13782,-2602,0.13701576816674788,0.11105926662276033,334.02022566491837,0.9121574859181354,0.00041020201065368727,1
47,1540096,1605632,13782,-2602,0.1378548995089659,0.11188216615119018,335.0202863741221,0.9066133984285135,0.00041148224485433485,1
48,1572864,1638400,10098,-6286,0.0058627612015698105,0.005823353218147531,26.001574690358908,0.029290718888573812,0.00022547715941772007,1
49,1605632,1671168,14335,-2049,0.005070478073321283,0.005041531016104273,23.001392602747742,0.024864656362085787,0.00022044222108167331,1
50,1638400,1703936,14062,-2322,0.00452157847576018,0.004313989120419137,20.00121087987993,0.20411027277658714,0.00022606523689566352,1
51,1671168,1736704,3523,3523,0.019987170438980684,0.018490754409867804,43.00260363199703,0.33796685460911513,0.0004647897743593551,1
52,1703936,1769472,2928,2928,0.0285077974840533,0.025147529595415108,77.00466268821484,0.5446833703068933,0.0003702087183925327,1
53,1736704,1802240,3911,3911,0.019833085401842254,0.017712378423311748,53.00320962317677,0.49113399674479763,0.00037418649819217397,1
54,1769472,1835008,14429,-1955,0.022717994725098833,0.01888529022107832,62.003754624433384,0.8024633110211639,0.0003663970813171774,1
55,1802240,1867776,7768,7768,0.04761761143163312,0.04692927026189864,128.0077505148459,0.06323805677573609,0.00037199006497743743,1
56,1835008,1900544,353,353,0.08501565241022035,0.08460377295705257,258.0156231868731,0.02109160845374674,0.00032949807984552175,1
57,1867776,1933312,1371,1371,0.09197205386590213,0.09139537968439981,295.01786509124486,0.027316436263006248,0.00031175079460851117,1
58,1900544,1966080,6469,6469,0.05878902102995198,0.05804844395242981,135.00817536031656,0.05505645739381577,0.00043544785990220895,1
59,1933312,1998848,12505,-3879,0.012234422552864999,0.011251402112975484,44.002664130455045,0.36376829917680487,0.0002780382232446997,1
60,1966080,2031616,5746,5746,0.011199515458429232,0.010786050916067325,40.00242208334657,0.16336767473033864,0.0002799709336373336,1
61,1998848,2064384,9820,-6564,0.008500185867887922,0.00848956502704823,28.00169537721478,0.0054298302538095325,0.00030355968641829434,1
62,2031616,2097152,11753,-4631,0.004487291327677667,0.004357634985353798,22.001331940480863,0.12733417057259255,0.0002039554395986988,1
63,2064384,2129920,14435,-1949,0.003544616454746574,0.0035225110623287037,19.00115013302556,0.027168835523539908,0.00018654746843906777,1
