event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,884736,1245184,54,72,19,1316,1316,1316,1316,1524.6222327783287,4.889314288882439,0.09757860928748259,12,125000.0,500000.0,4,16384,4,16384,13,2
1,3375104,3719168,206,223,18,15174,-1210,15174,15174,1618.2136888882249,4.540386733423734,0.12608915695496184,12,125000.0,500000.0,4,16384,4,16384,13,2
2,5881856,6242304,359,377,19,409,409,409,409,2207.221129813556,3.9751968302875045,0.14059541409055806,12,125000.0,500000.0,4,16384,4,16384,13,2
3,8372224,8683520,511,526,16,14277,-2107,14277,14277,1380.90988823917,0.9397395828687867,0.09409478761561695,12,125000.0,500000.0,4,16384,4,16384,13,2
4,10878976,11223040,664,681,18,15933,-451,15933,15933,2559.648515520525,10.792789555268113,0.16902002712942804,12,125000.0,500000.0,4,16384,4,16384,13,2
5,13385728,13746176,817,835,19,1124,1124,1124,1124,1785.7652003028381,6.415388589318039,0.11721216779241321,12,125000.0,500000.0,4,16384,4,16384,13,2
6,15876096,16220160,969,986,18,14889,-1495,14889,14889,2066.162971244538,2.101791691852503,0.1235169869486322,12,125000.0,500000.0,4,16384,4,16384,13,2
7,18382848,18743296,1122,1140,19,101,101,101,101,2918.0273489829056,16.363114232677916,0.20071464250937537,12,125000.0,500000.0,4,16384,4,16384,13,2
8,20905984,21233664,1276,1292,17,1612,1612,1612,1612,1534.1691531236013,1.9442093877776894,0.07782527830403964,12,125000.0,500000.0,4,16384,4,16384,13,2
9,23379968,23740416,1427,1445,19,15512,-872,15512,15512,993.6435439120488,9.73022398981466,0.14939158074595868,12,125000.0,500000.0,4,16384,4,16384,13,2
10,25886720,26230784,1580,1597,18,729,729,729,729,982.8785250209751,1.7729461545780303,0.09216246279241169,12,125000.0,500000.0,4,16384,4,16384,13,2
