packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,884736,1245184,19,1316,1316,4.889314288882439,895888,11152,8,8,25.270792132587005,0.20630815272107197,1,928600,1223512,1260376,434.55720459824744,16378,-6,16,18,26,24,32,0,0,19,19,0,23.758405348159208,1.9166744767519777,1,6,24,928624,1223536,1260400,928625,1260421,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.16724412143230438,-0.2920663305844533,-0.3017838435264738,-0.3017838435264738,-1,6,13,5.832755878567696,178.00158320824266,0.001494965111381919,0.005979860445527676,3.6498171664597634e-07,124999.95437728542,-0.2778644017443631,-0.27151080002098993,-1,25,33,1,1,-0.02151080002098993,1.0,1,0,12,,,,,,
1,1,3375104,3719168,18,15174,-1210,4.540386733423734,3391488,16384,15174,-1210,5.518854818928515,0.11681397141441233,1,3426304,3721216,3758080,307.52853990447056,15686,-698,16,15710,15718,24,32,0,0,711,711,0,6.785339023529068,4.85574752701808,1,698,2792,3429096,3724008,3760872,3429097,3760892,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.1553729623556137,-0.12129548771522214,-0.13047079613459633,-0.13047079613459633,-1,6,13,5.844627037644386,178.36386223279987,0.0014980077500626374,0.00599203100025055,3.657245483551361e-07,124999.95428443146,-0.1065026721335941,-0.10013613919582792,0,25,33,1,1,-0.10013613919582792,1.0,1,0,12,,,,,,
2,2,5881856,6242304,19,409,409,3.9751968302875045,5896632,14776,7,7,4.376100012920415,0.12701015782890027,1,5929400,6224312,6261176,327.71416927882564,7,7,16,31,39,24,32,0,0,7,7,0,5.5291023722372685,11.63985189399827,1,-7,-28,5929372,6224284,6261148,5929371,6261175,0.0,0,16,16,24,32,24,32,0,0,14,14,14.0,12,-0.17545849084854126,0.3391131013580726,0.3294749208282008,0.3294749208282008,1,7,14,6.824541509151459,208.26847867283504,0.0017491648321589755,0.006996659328635902,4.270421953513124e-07,124999.94661972558,0.3574615581427444,0.3648955086794201,1,24,32,0,1,0.11489550867942011,0.0,0,12,12,,,,,,
3,3,8372224,8683520,16,14277,-2107,0.9397395828687867,8380688,8464,9,9,18.50663445150165,0.2082543357879237,0,8413416,8708328,8745192,58.69299658260712,16383,-1,15,16383,23,24,32,24,8,63,15,48,21.985322393050872,0.543865136948634,0,1,4,8413420,8708332,8745196,8413422,8745221,-51.125,818,15,16,0,24,24,32,24,8,62,14,38.0,12,-0.1678209751844406,-0.3653990663012865,-0.37549091094736375,-0.37549091094736375,-2,6,13,5.832179024815559,177.98397902879515,0.0014948172608200633,0.005979269043280253,3.6494562031739827e-07,124999.95438179746,-0.35157383477424275,-0.3452208614157575,-1,1,25,-23,0,-0.09522086141575747,50.25,592,0,12,,,,,,
4,4,10878976,11223040,18,15933,-451,10.792789555268113,10895352,16376,15931,-453,10.363302372033704,0.1342822972722576,1,10929960,11224872,11261736,379.2794714331075,7,7,16,31,39,24,32,0,0,7,7,0,17.169853182027456,1.4407149161157073,1,-7,-28,10929932,11224844,11261708,10929934,11261730,0.0,0,16,16,24,32,24,32,0,0,14,14,14.0,12,-0.19250580668449402,-0.4178802122165832,-0.4275099267140329,-0.4275099267140329,-2,6,13,5.807494193315506,177.2306577549898,0.0014884904124757806,0.0059539616499031224,3.634009796083449e-07,124999.95457487754,-0.4036940801144204,-0.3973679958613983,-2,25,33,1,1,0.10263200413860168,1.0,1,0,12,,,,,,
5,5,13385728,13746176,19,1124,1124,6.415388589318039,13397656,11928,10,10,16.711512350933862,0.2076007522659659,1,13430408,13725320,13762184,404.2341425250052,6,6,16,30,38,24,32,0,0,7,7,0,19.233625456818487,3.424391745105735,1,-6,-24,13430384,13725296,13762160,13430385,13762181,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.24437429010868073,-0.34250698271029023,-0.3513299791753417,-0.3513299791753417,-1,6,13,5.755625709891319,175.64775725986692,0.0014751962553545518,0.005900785021418207,3.6015533577991986e-07,124999.95498058303,-0.3277268390896689,-0.321457255004412,-1,25,33,1,1,-0.07145725500441202,1.0,1,0,12,,,,,,
6,6,15876096,16220160,18,14889,-1495,2.101791691852503,15892480,16384,14889,-1495,2.532168898075673,0.11305173938783622,1,15927296,16222208,16259072,286.74787565462185,15401,-983,16,15425,15433,24,32,0,0,996,996,0,3.1122033067329236,6.821976486570452,1,983,3932,15931228,16226140,16263004,15931227,16263023,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.3078760504722595,0.15483646977966758,0.14678507526941487,0.14678507526941487,1,6,13,5.6921239495277405,173.70983732689638,0.0014589204299589246,0.0058356817198356985,3.561817455954406e-07,124999.95547728181,0.17012780214875767,0.17632821397608311,1,25,33,1,1,-0.07367178602391689,1.0,1,0,12,,,,,,
7,7,18382848,18743296,19,101,101,16.363114232677916,18398856,16008,7,7,16.53598346991535,0.18295137551544513,1,18431624,18726536,18763400,452.08830119092767,7,7,16,31,39,24,32,0,0,6,6,0,20.497750463025028,12.45514817954103,1,-7,-28,18431596,18726508,18763372,18431597,18763393,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.3410966694355011,-0.22806635407420373,-0.2376752641877382,-0.2376752641877382,-1,6,13,5.658903330564499,172.6960244923248,0.00145040581570753,0.00580162326283012,3.541029823504712e-07,124999.95573712721,-0.2144687711364177,-0.20830454641966073,-1,25,33,1,1,0.04169545358033927,1.0,1,0,12,,,,,,
8,8,20905984,21233664,17,1612,1612,1.9442093877776894,20915952,9968,8,8,7.508888791225283,0.18517047705324854,1,20932336,21227248,21264112,347.49115292096445,8,8,16,32,40,24,32,0,0,5,5,0,7.053777590956901,13.010230840910527,1,-8,-32,20932304,21227216,21264080,20932303,21264099,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.3397793173789978,0.1640913344872048,0.15613273520937976,0.15613273520937976,1,6,13,5.660220682621002,172.73622688662726,0.0014507434597654813,0.005802973839061925,3.5418541498180696e-07,124999.95572682313,0.17934463056562744,0.18551029026963073,1,25,33,1,1,-0.06448970973036927,1.0,1,0,12,,,,,,
9,9,23379968,23740416,19,15512,-872,9.73022398981466,23396352,16384,15512,-872,10.210437782768517,0.05441529196348421,1,23431168,23726080,23762944,413.39896178979365,16024,-360,16,16048,16056,24,32,0,0,373,373,0,15.393499282687536,14.173915630308604,1,360,1440,23432608,23727520,23764384,23432609,23764405,0.0,0,16,16,24,32,24,32,0,0,13,13,13.0,12,-0.31587734818458557,-0.15428021203699005,-0.16458908490136137,-0.16458908490136137,-1,6,13,5.684122651815414,173.46565709885908,0.0014568696565038482,0.005827478626015393,3.556810684823848e-07,124999.95553986644,-0.1412791703972998,-0.13508747435715845,-1,25,33,1,1,0.11491252564284155,1.0,1,0,12,,,,,,
