window_index,start_sample,end_sample,peak_bin,peak_signed_bin,peak_power,second_power,total_power,confidence_db,peak_share,valid
0,0,32768,1616,1616,18.341149581043283,18.247907762386603,12549.260076808681,0.022134757178207065,0.0014615323508147021,1
1,8192,40960,1884,1884,0.012952358432812616,0.01177176643977873,14.000847815999045,0.41507217414949477,0.0009251124362634455,1
2,16384,49152,41,41,0.00012207773397676647,0.00012207773397676647,1.0000605566310696,0.0,0.00012207034180811304,1
3,24576,57344,41,41,0.00012207773397676647,0.00012207773397676647,1.0000605566310696,0.0,0.00012207034180811304,1
4,32768,65536,1459,1459,0.010660704196197912,0.010580494970781729,13.00078730008147,0.032799080025713134,0.0008200045081986001,1
5,40960,73728,1459,1459,0.011904018552741036,0.011774444807088003,21.50130218418353,0.047531567902018186,0.0005536417492656651,1
6,49152,81920,4772,-3420,0.05580208309402224,0.05562480377557222,64.50390569338785,0.01381919514816962,0.0008650961905976863,1
7,57344,90112,4772,-3420,0.05601276362722274,0.05585761986731086,68.50414783466115,0.012045747931135355,0.0008176550675794535,1
8,65536,98304,4771,-3421,0.05418398063920904,0.053618729012669064,59.5036027974295,0.04554392238313974,0.0009105999988550229,1
9,73728,106496,4771,-3421,0.054009613988455385,0.05341447368846275,51.00308791332744,0.048121198555411165,0.001058947922530438,1
10,81920,114688,1083,1083,0.0038693015230819583,0.0037815176183357835,7.500454127641122,0.09966446165552983,0.0005158756332929998,1
11,90112,122880,468,468,0.0025492961722193286,0.002548892705817707,4.5002725203936045,0.0006873940390024482,0.0005664759546598216,1
12,98304,131072,2767,2767,0.000244155409745872,0.000244155409745872,1.0000605340257727,0.0,0.00024414063093062714,1
13,106496,139264,2553,2553,4.4623640280015024,4.447841025074013,5295.820751143259,0.014157397231480075,0.0008426199143991362,1
14,114688,147456,2553,2553,4.46364179547254,4.44855931942584,5304.321265867292,0.014699494074266815,0.0008415104537870982,1
15,122880,155648,2553,2553,4.463628612807952,4.4483177053625695,5303.321205333266,0.014922552091833064,0.000841666653778979,1
16,131072,163840,2553,2553,4.464784544543363,4.450866195780691,5317.822083487539,0.013559676464081712,0.0008395889284086886,1
17,139264,172032,3218,3218,0.015494226216105744,0.015131195425055921,24.001453412723535,0.10296652005207711,0.0006455536650081374,1
18,147456,180224,3218,3218,0.01476503032608889,0.014675862417789176,15.500938688691718,0.026307115945529026,0.0009525249162400926,1
19,155648,188416,3218,3218,0.015288668480934575,0.015193024213658646,19.001150533599453,0.027254335407996585,0.0008046180389918941,1
20,163840,196608,3603,3603,0.002393396367551759,0.0023921432730276138,4.5002723793267485,0.0022744020129419583,0.0005318336682345029,1
21,172032,204800,3602,3602,0.0021577198058366776,0.0021570585668087006,3.500211844907737,0.0013311110723011554,0.0006164540609094343,1
22,180224,212992,3320,3320,0.0022504614607896656,0.0022490408446174115,6.000363198555069,0.0027423734588222903,0.0003750542069406053,1
23,188416,221184,6567,-1625,0.005537935780012049,0.005193562712520361,7.500454135517863,0.2788253508112886,0.0007383467294050304,1
24,196608,229376,6567,-1625,0.0061738360818708315,0.005838565499288961,11.500696392686773,0.24248937929801748,0.0005368228036866305,1
25,204800,237568,2381,2381,0.018873940876801498,0.01719686643627938,28.001695373613618,0.4041327205316625,0.0006740285052378175,1
26,212992,245760,2381,2381,0.019534536942956038,0.018158307066187263,29.501786255239562,0.31727764971147626,0.0006621475992656775,1
27,221184,253952,2381,2381,0.019375914824195206,0.017122784978710115,24.50148347336903,0.536878136490295,0.0007908057830561619,1
28,229376,262144,2381,2381,0.018793228417052887,0.016720547544537112,21.001271502926663,0.50750897209224,0.0008948614570519661,1
29,237568,270336,4200,-3992,0.01602584499050863,0.01581511085078091,19.0011506192414,0.057486974196260435,0.0008434144495586576,1
30,245760,278528,7849,-343,0.015813635633094236,0.015126393147511408,15.000908383968124,0.19296343981503009,0.0010541785356141962,1
31,253952,286720,7849,-343,0.016530647611944005,0.01524558944220189,19.501180899305325,0.3514564780707425,0.0008476741843122363,1
32,262144,294912,7849,-343,0.016469608759507537,0.015184550589765422,19.001150612578783,0.35281339668382455,0.0008667690233771757,1
33,270336,303104,6642,-1550,0.0030789277516305447,0.0030788204167038202,4.500272515337201,0.0001514026398035086,0.0006841647347215913,1
34,278528,311296,6642,-1550,0.0030789277516305447,0.0030788204167038202,4.500272515337201,0.0001514026398035086,0.0006841647347215913,1
35,286720,319488,610,610,0.0009763173293322325,0.0009763173293322325,2.000121046680832,0.0,0.00048812912146113104,1
36,294912,327680,610,610,0.0010373561817687005,0.0010373561817687005,2.5001512894023823,0.0,0.0004149173636674853,1
37,303104,335872,4882,-3310,0.0027563681651372463,0.0025980622885981575,5.500333026289244,0.2568766627658731,0.000501127504818887,1
38,311296,344064,4882,-3310,0.0028174070175737143,0.0026591011410346255,6.000363311502387,0.2511473562135366,0.0004695394047511907,1
39,319488,352256,2979,2979,0.0025180851807817817,0.002423990299575962,5.5003330907885895,0.16539539640742149,0.00045780594360709175,1
40,327680,360448,952,952,0.00673084294248838,0.006074874239857309,11.000666236267513,0.44532165110939886,0.0006118577546056093,1
41,335872,368640,6340,-1852,0.013437973695545224,0.012898124907223973,20.00121105398681,0.17807208245874964,0.0006718580019616689,1
42,344064,376832,6340,-1852,0.013380312342178513,0.012840527330808982,21.001271599685644,0.17883391895612835,0.0006371191515078923,1
