event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,65536,409600,4,21,18,1675,1675,1675,1675,1955.439253755791,2.2082667222016776,0.1326679469858881,12,125000.0,500000.0,4,16384,4,16384,13,2
1,2555904,2899968,156,173,18,15460,-924,15460,15460,1251.6630231984714,3.266067170798239,0.2440689246173364,12,125000.0,500000.0,4,16384,4,16384,13,2
2,5062656,5423104,309,327,19,583,583,583,583,35490.84055124097,5.262247785145882,0.55409212667407,12,125000.0,500000.0,4,16384,4,16384,13,2
3,7553024,7880704,461,477,17,14540,-1844,14540,14540,24563.97388351314,1.9347036020050572,0.48700551471359954,12,125000.0,500000.0,4,16384,4,16384,13,2
4,10059776,10420224,614,632,19,16163,-221,16163,16163,36910.48423032713,9.60110713297134,0.6962083934141955,12,125000.0,500000.0,4,16384,4,16384,13,2
5,12566528,12926976,767,785,19,1355,1355,1355,1355,7634.55422141893,1.7843526270341048,0.27252343040904037,12,125000.0,500000.0,4,16384,4,16384,13,2
6,15056896,15417344,919,937,19,15208,-1176,15208,15208,11406.115671168645,1.5815582662329515,0.423121197688717,12,125000.0,500000.0,4,16384,4,16384,13,2
7,17563648,17924096,1072,1090,19,329,329,329,329,40085.336353554325,15.56489812966708,0.7064048275798116,12,125000.0,500000.0,4,16384,4,16384,13,2
8,20119552,20430848,1228,1243,16,1902,1902,1902,1902,10872.276089541614,1.3194348601310129,0.22831246206354994,12,125000.0,500000.0,4,16384,4,16384,13,2
9,22560768,22904832,1377,1394,18,15765,-619,15765,15766,8933.047804175136,1.079709108015809,0.39647632199479027,12,125000.0,500000.0,4,16384,4,16384,13,2
10,25067520,25427968,1530,1548,19,884,884,884,884,27230.424142921467,6.439388614887086,0.47083165588580944,12,125000.0,500000.0,4,16384,4,16384,13,2
11,30064640,30425088,1835,1853,19,16375,-9,16375,16375,38116.6721489768,16.084992630223923,0.7735061367604983,12,125000.0,500000.0,4,16384,4,16384,13,2
12,32571392,32915456,1988,2005,18,1600,1600,1600,1600,6327.509252254727,1.518550832889929,0.2020067520659774,12,125000.0,500000.0,4,16384,4,16384,13,2
13,37568512,37896192,2293,2309,17,678,678,678,678,637.8455785918854,11.30014527986252,0.05965464766697427,12,125000.0,500000.0,4,16384,4,16384,13,2
