packet_index,event_index,detected_start_sample,detected_end_sample,detected_window_count,detected_reference_bin,detected_reference_signed_bin,detected_mean_confidence_db,aligned_start_sample,align_offset_samples,align_peak_bin,align_peak_signed_bin,align_confidence_db,align_peak_share,frame_valid,located_preamble_start_sample,located_sfd_start_sample,located_payload_start_sample,locator_score,preamble_ref_bin,preamble_ref_signed_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_expected_bin,sync2_expected_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,grlora_framesync_valid,grlora_coarse_offset_chips,grlora_coarse_offset_samples,grlora_synced_preamble_start_sample,grlora_synced_sfd_start_sample,grlora_synced_payload_start_sample,grlora_fine_preamble_start_sample,grlora_fine_payload_start_sample,grlora_preamble_peak_mean_signed_bin,grlora_preamble_peak_max_abs_signed_bin,grlora_preamble_bin0_count,grlora_preamble_peak_count,grlora_sync1_peak_signed_bin,grlora_sync2_peak_signed_bin,grlora_sync1_expected_signed_bin,grlora_sync2_expected_signed_bin,grlora_sync1_distance,grlora_sync2_distance,grlora_sfd1_peak_signed_bin,grlora_sfd2_peak_signed_bin,grlora_sfd_mean_signed_bin,grlora_up_symbols_used,grlora_cfo_frac_est,grlora_sto_frac_initial,grlora_sto_frac_refined,grlora_sto_frac_used,grlora_sto_sample_correction,grlora_cfo_int_est,grlora_down_val_signed_bin,grlora_cfo_total_est,grlora_cfo_hz_est,grlora_sfo_hat,grlora_sfo_samples_per_symbol,grlora_clk_off,grlora_fs_p,grlora_netid_sto_frac_est,grlora_payload_sto_frac_est,grlora_payload_sto_sample_correction,grlora_netid1_est,grlora_netid2_est,grlora_netid_offset,grlora_netid_valid,grlora_sfo_cum_initial,grlora_fine_preamble_peak_mean_signed_bin,grlora_fine_preamble_peak_max_abs_signed_bin,grlora_fine_preamble_bin0_count,grlora_fine_preamble_peak_count,grlora_spectrum_chirps,grlora_spectrum_raw_peak_signed_bin,grlora_spectrum_peak_signed_bin,grlora_spectrum_peak_relative_db,grlora_spectrum_bin0_relative_db,grlora_spectrum_bin0_is_peak
0,0,1802240,2113536,16,14409,-1975,0.87360839325881,1810200,7960,15,15,29.6045340554068,0.7303282439993876,0,1843040,2137952,2174816,130.26303199575898,33,33,15,33,57,24,32,24,8,22,16380,26,20.78817127571928,3.5283126134580782,0,-33,-132,1842908,2137820,2174684,1842909,2174741,92.375,1478,15,16,0,24,24,32,24,8,-342,29,-156.5,12,-0.18156349658966064,-0.23328320384343848,-0.25671382434568935,-0.25671382434568935,-1,14,29,13.81843650341034,421.70521555817686,0.003541735827201748,0.014166943308806992,8.646815984379267e-07,124999.8919148002,-0.20004605111046136,-0.18499367384485393,-1,1,25,-23,0,0.06500632615514607,140.16666666666666,1671,0,12,,,,,,
1,1,4308992,4669440,19,16061,-323,4.238829520024501,4325376,16384,16061,-323,3.3552380059603415,0.3046417032128658,1,4359496,4654408,4691272,303.01988965609553,15,15,16,39,47,24,32,0,0,14,14,0,5.786893566402981,1.1760758764601835,1,-15,-60,4359436,4654348,4691212,4359434,4691270,0.0,0,16,16,24,32,24,32,0,0,29,29,29.0,12,-0.3192271292209625,0.48592025703899383,0.46341461510831594,0.46341461510831594,2,15,30,14.680772870779037,448.0216330193798,0.0037627570409009222,0.015051028163603689,9.186418556887017e-07,124999.88516976804,-0.47638127223726934,-0.46038955481344024,-2,25,33,1,1,0.03961044518655976,0.0,0,12,12,,,,,,
2,2,6815744,7176192,19,1264,1264,5.69637132286622,6827128,11384,14,14,15.494407758918252,0.4936696726790161,1,6859904,7154816,7191680,551.3496351243652,16,16,16,40,48,24,32,0,0,13,13,0,19.00131424466145,31.272065395452966,1,-16,-64,6859840,7154752,7191616,6859841,7191668,0.0,0,16,16,24,32,24,32,0,0,29,29,29.0,12,-0.43907251954078674,-0.15903229281955356,-0.1824143910693301,-0.1824143910693301,-1,14,29,13.560927480459213,413.84666383237345,0.003475734949881898,0.013902939799527591,8.485681029985102e-07,124999.89392898712,-0.12680263187121976,-0.11203075833422166,0,25,33,1,1,-0.11203075833422166,1.0,1,0,12,,,,,,
3,3,9306112,9650176,18,15151,-1233,0.662866895661375,9322496,16384,15151,-1233,1.4104237141659628,0.3293673764807525,1,9357312,9652224,9689088,283.38628519344127,15663,-721,16,15687,15695,24,32,0,0,749,749,0,0.8334302828616753,6.422025378381191,1,721,2884,9360196,9655108,9691972,9360198,9692022,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.4633263647556305,-0.48956904070504925,0.4894437559707994,-0.48956904070504925,-2,13,27,13.46332636475563,410.8681141588022,0.0034507192856150374,0.01380287714246015,8.424607630896087e-07,124999.89469240462,-0.43435753213520867,-0.4196919751713447,-2,25,33,1,1,0.08030802482865529,1.0,1,0,12,,,,,,
4,4,11812864,12173312,19,403,403,9.622027344970972,11827696,14832,15,15,12.353844146332689,0.6937114372754836,1,11860464,12155376,12192240,416.8123508791021,15,15,16,39,47,24,32,0,0,14,14,0,14.943996252104352,6.75836045587285,1,-15,-60,11860404,12155316,12192180,11860404,12192236,0.0,0,16,16,24,32,24,32,0,0,29,29,29.0,12,0.37577295303344727,-0.026014610852154806,-0.04851533988019275,-0.04851533988019275,0,14,28,14.375772953033447,438.7137742014602,0.0036845840047758475,0.01473833601910339,8.995566417909784e-07,124999.88755541977,0.010438004196220763,0.026097486216518195,0,24,32,0,1,0.026097486216518195,0.0,0,12,12,,,,,,
5,5,14368768,14680064,16,1966,1966,0.8135157844889331,14360960,-7808,14,14,6.883434896478645,0.547813670967891,1,14361088,14656000,14692864,426.7913612208485,46,46,16,70,78,24,32,0,0,16366,16366,0,6.333844771916148,26.24274811632774,1,-46,-184,14360904,14655816,14692680,14360906,14692729,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.2581751048564911,-0.41962438634283794,-0.4407636776284394,-0.4407636776284394,-2,13,27,13.258175104856491,404.60739455738803,0.003398137970283087,0.013592551881132347,8.296235279011442e-07,124999.89629705902,-0.38639347010391,-0.37195138373020686,-1,25,33,1,1,-0.12195138373020686,1.0,1,0,12,,,,,,
6,6,16809984,17154048,18,15753,-631,11.350866765156365,16826368,16384,15753,-631,13.717124814211166,0.278670514051533,1,16861184,17156096,17192960,521.3489037079502,16265,-119,16,16289,16297,24,32,0,0,147,147,0,20.275931309558793,24.55738788287851,1,119,476,16861660,17156572,17193436,16861658,17193490,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.13932795822620392,0.4303484622134513,0.40506146652218467,0.40506146652218467,2,14,28,14.139327958226204,431.4980456001649,0.0036239819454137287,0.014495927781654915,8.847612171420236e-07,124999.88940484785,0.46304517764880426,0.47844710091681264,2,24,32,0,1,-0.02155289908318736,0.0,0,12,12,,,,,,
7,7,19316736,19660800,18,971,971,2.366631227753232,19329264,12528,7,7,2.709824724521625,0.32290401748368797,1,19362056,19656968,19693832,323.31093042197693,13,13,16,37,45,24,32,0,0,15,15,0,4.550546321748474,8.59501352009244,1,-13,-52,19362004,19656916,19693780,19362004,19693835,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.05955820530653,0.07650475088072507,0.0559752917850567,0.0559752917850567,0,14,28,14.05955820530653,429.0636659334268,0.003603536550468149,0.014414146201872596,8.797696656416379e-07,124999.8900287918,0.11363187659254703,0.1289469069320367,1,24,32,0,1,-0.1210530930679633,0.0,0,12,12,,,,,,
8,8,21807104,22167552,19,14870,-1514,2.4003048317773996,21813224,6120,16,16,10.982093437275196,0.3532576560424077,0,21812616,22107528,22144392,-57.571075734369686,16248,-136,13,16248,16248,24,32,24,32,16314,16314,0,5.486357811020062,0.37495864320111105,0,136,544,21813160,22108072,22144936,21813158,22145750,-815.8125,5932,13,16,0,0,24,32,24,32,-2206,-1509,-1857.5,12,0.011955530382692814,-0.20649117065172007,0.4387523190839947,0.4387523190839947,2,204,409,204.0119555303827,6225.95079133248,0.05228930580540873,0.2091572232216349,1.2765943800148615e-05,124998.40425702497,0.27538121197053433,0.49761076164352147,2,1,1,-23,0,-0.002389238356478529,148.33333333333334,1524,10,12,,,,,,
9,9,24313856,24657920,18,115,115,11.682946465491511,24329840,15984,15,15,16.176695480421234,0.7459872007422719,1,24362608,24657520,24694384,396.6812542031511,15,15,16,39,47,24,32,0,0,13,13,0,13.746684297449661,5.614934029511063,1,-15,-60,24362548,24657460,24694324,24362549,24694373,0.0,0,16,16,24,32,24,32,0,0,28,28,28.0,12,0.028166741132736206,-0.3390094237622503,-0.3599607510394053,-0.3599607510394053,-1,13,27,13.028166741132736,397.5880963480449,0.003339185652330515,0.01335674260932206,8.152308721510046e-07,124999.89809614098,-0.30653378060211706,-0.29234224157971234,-1,25,33,1,1,-0.042342241579712336,1.0,1,0,12,,,,,,
