dataset,target_snr_db,packet_index,frame_index,event_index,payload_symbol_index,start_sample,loratrimmer_start_sample,origin_shift,sf,os_factor,cfo_correction_mode,gt_raw_fft_bin,gt_signed_fft_bin,gt_symbol_value,loratrimmer_raw_fft_bin,loratrimmer_signed_fft_bin,loratrimmer_symbol_value,loratrimmer_raw_hit,loratrimmer_symbol_hit,loratrimmer_gt_rank,loratrimmer_peak_power,loratrimmer_front_power,loratrimmer_tail_power,loratrimmer_peak_margin_db,loratrimmer_split_sample
0_0_0_10_14_16,-23,1,0,1,0,2550960,2550962,2,10,4,continuous,222,222,221,222,222,221,1,1,1,592.3300603486277,539.5717074149325,52.75832431270833,0.7471671955882903,3208
0_0_0_10_14_16,-23,1,0,1,1,2555056,2555058,2,10,4,continuous,826,-198,825,826,-198,825,1,1,1,353.182766549237,14.365414620311755,338.81741107532457,1.092883033717509,792
0_0_0_10_14_16,-23,1,0,1,2,2559152,2559154,2,10,4,continuous,922,-102,921,922,-102,921,1,1,1,850.1373050148595,2.26804903617581,847.8691747451667,3.468326067048457,408
0_0_0_10_14_16,-23,1,0,1,3,2563248,2563250,2,10,4,continuous,718,-306,717,718,-306,717,1,1,1,749.9409200738919,148.0440430548624,601.8968613988336,2.792419549498524,1224
0_0_0_10_14_16,-23,1,0,1,4,2567344,2567346,2,10,4,continuous,107,107,106,107,107,106,1,1,1,1048.3777700151122,1039.796879339426,8.580738893208263,4.279095982148618,3668
0_0_0_10_14_16,-23,1,0,1,5,2571440,2571442,2,10,4,continuous,468,468,467,468,468,467,1,1,1,511.28776890740846,314.9266958658927,196.3610842648341,1.6791639098874458,2224
0_0_0_10_14_16,-23,1,0,1,6,2575536,2575538,2,10,4,continuous,89,89,88,89,89,88,1,1,1,523.9317364955571,502.40409023508624,21.527691254982813,2.0876347062775755,3740
0_0_0_10_14_16,-23,1,0,1,7,2579633,2579635,2,10,4,continuous,713,-311,712,713,-311,712,1,1,1,614.1317853254805,256.8107772389457,357.3210653012538,2.7556091144369654,1244
0_0_0_10_14_16,-23,1,0,1,8,2583729,2583731,2,10,4,continuous,865,-159,864,865,-159,864,1,1,1,1005.4550816846581,8.30818223199823,997.1469129017225,4.460689497625959,636
0_0_0_10_14_16,-23,1,0,1,9,2587825,2587827,2,10,4,continuous,492,492,491,188,188,187,0,0,2,409.4368403451938,402.8443785343415,6.592445201489,0.07809838314909869,3344
0_0_0_10_14_16,-23,1,0,1,10,2591921,2591923,2,10,4,continuous,765,-259,764,765,-259,764,1,1,1,575.5624971361613,178.4925114976295,397.0699672264054,2.45742744937506,1036
0_0_0_10_14_16,-23,1,0,1,11,2596017,2596019,2,10,4,continuous,1023,-1,1022,1023,-1,1022,1,1,1,1037.1035989972427,0.09255892090938643,1037.0110842875113,4.650226620110201,4
0_0_0_10_14_16,-23,1,0,1,12,2600113,2600115,2,10,4,continuous,597,-427,596,829,-195,828,0,0,3,301.47586606305435,17.98224858537697,283.49361897806557,0.10266464951156398,780
0_0_0_10_14_16,-23,1,0,1,13,2604209,2604211,2,10,4,continuous,562,-462,561,562,-462,561,1,1,1,415.7963386628053,163.6702717209846,252.12606513296214,0.1719114511696418,1848
0_0_0_10_14_16,-23,1,0,1,14,2608305,2608307,2,10,4,continuous,478,478,477,478,478,477,1,1,1,416.56857498284444,280.43492115563276,136.13365462902584,1.7145804906040811,2184
0_0_0_10_14_16,-23,1,0,1,15,2612401,2612403,2,10,4,continuous,267,267,266,267,267,266,1,1,1,486.95369508355816,377.8777221124301,109.07596257673099,1.4816444581359036,3028
0_0_0_10_14_16,-23,1,0,1,16,2616497,2616499,2,10,4,continuous,917,-107,916,917,-107,916,1,1,1,841.8998805962829,5.974039428902846,835.9258629592259,3.777801604138637,428
