dataset,target_snr_db,packet_index,frame_index,event_index,sf,bw,os_factor,payload_len,cr,has_crc,ldro,cfo_correction_mode,origin_shift,symbol_count,gt_compared_symbols,loratrimmer_raw_ser,loratrimmer_symbol_ser,loratrimmer_crc_valid,loratrimmer_payload_hex,loratrimmer_crc_computed,loratrimmer_crc_received,loratrimmer_decode_error
0_0_0_10_14_16,-27,1,0,1,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7142857142857143,0.7142857142857143,0,40740110302370173e4225e73b75f07622bd757f7bcc68c072150260053a525034,0x3597,0x0f34,
0_0_0_10_14_16,-27,2,1,2,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5428571428571428,0.5428571428571428,0,4064b920b32a53114c21617673356022571e7f785fde34be933f7e73f35bc73e12,0x0940,0x09a0,
0_0_0_10_14_16,-27,3,2,3,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7142857142857143,0.7142857142857143,0,40649b02138c1c81582020538bb1e86d660d3b4e49182d1e2d43f2f1c1d0edae32,0xe09f,0xe1bc,
0_0_0_10_14_16,-27,5,3,5,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5714285714285714,0.5714285714285714,0,40749310a9a35f14096124f7bb30f176e34cc988ab60697236556544055e5616ba,0xff14,0xe3ed,
0_0_0_10_14_16,-27,6,4,6,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.7714285714285715,0.7714285714285715,0,40a411d93ee9eea0fef2f9faf2e03deb6669a0b66ef850f8ee070342473a707216,0x6109,0x0c71,
0_0_0_10_14_16,-27,8,5,8,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6,0.6,0,4044321030311b815039a173267061323338393a3b7c282f3e2013c40b94b61278,0x477a,0x08c8,
0_0_0_10_14_16,-27,9,6,9,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.6857142857142857,0.6857142857142857,0,40443b66dd009210482128627671716356495f492e6d3f283a1227955862256e0b,0xefae,0x557a,
0_0_0_10_14_16,-27,10,7,10,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.8,0.8,0,4064a9230b1ad89580a4a4bebaf874efbabb12a319b6b4af8478a2df5c67e6f20a,0xebbf,0x4442,
0_0_0_10_14_16,-27,11,8,11,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5428571428571428,0.5428571428571428,0,404433aa11088c0040b5a563772435637638793a7fa8a4f7afc15803027a07911a,0x84c1,0x6f6d,
0_0_0_10_14_16,-27,12,9,12,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5428571428571428,0.5428571428571428,0,4054231221211e242d452672bf3c39fe3b383b3a1b5c1b097e40e6cacb52dc7416,0xc4b3,0x8cdb,
0_0_0_10_14_16,-27,13,10,13,10,125000.0,4,33,1,1,0,continuous,2,35,35,0.5428571428571428,0.5428571428571428,0,40c4190ab120968051b8697b677035673729382a3a1c0c6c2f6330562469663212,0xbe7d,0x4607,
