input_file,frame_count,symbol_index,is_header,sf,cr,ldro,samples_per_symbol,top_k,hard_bin,hard_symbol,confidence_db,total_power,noise_power_est,cfo_int,cfo_frac,top1_bin,top1_symbol,top1_real,top1_imag,top1_power,top1_phase,top2_bin,top2_symbol,top2_real,top2_imag,top2_power,top2_phase,top3_bin,top3_symbol,top3_real,top3_imag,top3_power,top3_phase,top4_bin,top4_symbol,top4_real,top4_imag,top4_power,top4_phase,top5_bin,top5_symbol,top5_real,top5_imag,top5_power,top5_phase,top6_bin,top6_symbol,top6_real,top6_imag,top6_power,top6_phase,top7_bin,top7_symbol,top7_real,top7_imag,top7_power,top7_phase,top8_bin,top8_symbol,top8_real,top8_imag,top8_power,top8_phase,top9_bin,top9_symbol,top9_real,top9_imag,top9_power,top9_phase,top10_bin,top10_symbol,top10_real,top10_imag,top10_power,top10_phase,top11_bin,top11_symbol,top11_real,top11_imag,top11_power,top11_phase,top12_bin,top12_symbol,top12_real,top12_imag,top12_power,top12_phase,top13_bin,top13_symbol,top13_real,top13_imag,top13_power,top13_phase,top14_bin,top14_symbol,top14_real,top14_imag,top14_power,top14_phase,top15_bin,top15_symbol,top15_real,top15_imag,top15_power,top15_phase,top16_bin,top16_symbol,top16_real,top16_imag,top16_power,top16_phase
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,0,1,10,0,0,1024,16,301,75,5.3304877281188965,8090.220703125,7.726565837860107,-21,-0.4512436091899872,301,75,-6.661820411682129,-11.898061752319336,185.9437255859375,-2.081214666366577,279,69,-0.005789637565612793,-7.381867408752441,54.492000579833984,-1.5715806484222412,153,38,1.497730016708374,-6.967675685882568,50.79169845581055,-1.3590641021728516,132,32,-3.468491315841675,6.162029266357422,50.00103759765625,2.083475351333618,741,185,-3.967170476913452,5.657275199890137,47.74320602416992,2.182361364364624,518,129,3.2723238468170166,-5.890283584594727,45.40354537963867,-1.0637050867080688,596,148,-6.208672046661377,-2.3812596797943115,44.2180061340332,-2.775357961654663,777,194,5.08914852142334,-4.269783020019531,44.13047790527344,-0.6980717778205872,481,120,-6.2334370613098145,-0.3767161965370178,38.997650146484375,-3.0812313556671143,793,198,6.198008060455322,0.030115485191345215,38.41621017456055,0.004858859349042177,585,146,-5.735685348510742,2.247767448425293,37.95054626464844,2.7680957317352295,350,87,-4.6407318115234375,3.998244285583496,37.5223503112793,2.4304285049438477,628,156,-6.055039405822754,0.38626912236213684,36.812705993652344,3.077885866165161,603,150,5.482073783874512,2.5923681259155273,36.77350616455078,0.4417179524898529,946,236,-3.629652261734009,4.711073398590088,35.368587493896484,2.2272582054138184,182,45,4.145297527313232,-4.198887825012207,34.81414794921875,-0.7918205261230469
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,1,1,10,0,0,1024,16,653,163,0.5401846170425415,8127.18310546875,7.880252838134766,-21,-0.4512436091899872,653,163,-1.7171909809112549,7.920580863952637,65.68434143066406,1.7842934131622314,656,163,-7.530653476715088,1.1363604068756104,58.00205612182617,2.9918246269226074,180,44,6.832828044891357,1.6632204055786133,49.45384216308594,0.23877252638339996,554,138,-1.6265558004379272,6.503734588623047,44.94424819946289,1.8158650398254395,35,8,6.56149435043335,1.0947468280792236,44.251678466796875,0.16532133519649506,364,90,5.161628246307373,-3.8636107444763184,41.56989288330078,-0.6425567865371704,613,153,-5.550431251525879,-3.1797287464141846,40.91796112060547,-2.6213533878326416,286,71,-5.020346641540527,3.8289575576782227,39.86479568481445,2.490020513534546,24,5,-2.0357484817504883,5.91098690032959,39.08403778076172,1.902474284172058,251,62,5.8301801681518555,1.7884360551834106,37.18950653076172,0.297642320394516,815,203,-2.480642318725586,5.542729377746582,36.87543487548828,1.991610050201416,965,241,-5.802385330200195,-1.507197380065918,35.9393196105957,-2.8874542713165283,839,209,-2.5774085521698,5.404695987701416,35.85377502441406,2.015779972076416,701,175,2.236154079437256,-5.437641620635986,34.568328857421875,-1.1806414127349854,183,45,-1.7506269216537476,5.516053676605225,33.49154281616211,1.8781112432479858,596,148,5.556004524230957,-1.3381626605987549,32.65986633300781,-0.23634836077690125
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,2,1,10,0,0,1024,16,61,15,3.5026912689208984,8048.25146484375,7.71759557723999,-21,-0.4512436091899872,61,15,6.061819076538086,-10.789134979248047,153.15109252929688,-1.058904767036438,683,170,-8.267810821533203,0.10490596294403076,68.3676986694336,3.1289048194885254,319,79,-7.337285041809082,-1.643672227859497,56.537410736083984,-2.9212145805358887,1001,250,-7.081418991088867,-1.753624677658081,53.22169494628906,-2.898838758468628,248,61,-1.0492453575134277,-7.038572311401367,50.64241409301758,-1.7187774181365967,325,81,3.30930495262146,-5.978605270385742,46.695220947265625,-1.065251111984253,512,127,-6.097524642944336,-1.6451971530914307,39.886478424072266,-2.878054141998291,842,210,-1.825785517692566,5.740847587585449,36.29082489013672,1.8787150382995605,194,48,4.754447937011719,-3.4842875003814697,34.745033264160156,-0.6324331164360046,202,50,1.0777373313903809,-5.780282020568848,34.573177337646484,-1.3864623308181763,556,138,5.692793846130371,-1.3459258079528809,34.219417572021484,-0.23216311633586884,132,32,-4.744943141937256,-3.3826770782470703,33.95698928833008,-2.5222604274749756,43,10,-4.920432090759277,3.0883054733276367,33.74828338623047,2.5810904502868652,800,199,3.2582554817199707,4.710559844970703,32.80560302734375,0.9656681418418884,83,20,5.137614727020264,-2.032398223876953,30.525726318359375,-0.37670043110847473,652,162,-3.6664974689483643,-4.013736724853516,29.553287506103516,-2.3110132217407227
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,3,1,10,0,0,1024,16,81,20,2.5284526348114014,8260.6826171875,7.966855049133301,-21,-0.4512436091899872,81,20,-7.157508850097656,7.704573631286621,110.59039306640625,2.319401741027832,196,48,5.603959083557129,-5.511723041534424,61.783447265625,-0.7771005034446716,314,78,4.895578861236572,-5.232879638671875,51.34972381591797,-0.818688154220581,628,156,4.231801509857178,5.179818153381348,44.73866271972656,0.885787844657898,728,181,6.6863813400268555,0.13176971673965454,44.725059509277344,0.019704628735780716,130,32,-1.163338303565979,-6.294258117675781,40.971038818359375,-1.7535592317581177,100,24,-5.425902843475342,3.237372875213623,39.92100524902344,2.6036388874053955,187,46,-5.8366804122924805,-2.0868992805480957,38.4219856262207,-2.798208475112915,627,156,-6.055831432342529,-0.5463050007820129,36.9715461730957,-3.0516247749328613,799,199,-4.569308280944824,-4.00783109664917,36.941287994384766,-2.4215633869171143,848,211,5.076982498168945,-3.2417423725128174,36.284645080566406,-0.5682607889175415,770,192,5.272368431091309,2.866262912750244,36.01333236694336,0.4979460835456848,63,15,-5.273146629333496,2.828446865081787,35.80618667602539,2.649260997772217,7,1,-1.8583450317382812,-5.672365188598633,35.629173278808594,-1.8873904943466187,421,105,-5.503519058227539,2.08487606048584,34.63542938232422,2.7794718742370605,720,179,-5.633403778076172,1.6904014348983765,34.59269714355469,2.85007381439209
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,4,1,10,0,0,1024,16,845,211,2.910832643508911,8231.7958984375,7.953442573547363,-21,-0.4512436091899872,845,211,9.71784782409668,0.993776798248291,95.42416381835938,0.10190879553556442,236,58,-5.240121364593506,4.62153434753418,48.81745147705078,2.4188389778137207,62,15,1.6159605979919434,-6.649906158447266,46.83258056640625,-1.3324118852615356,984,245,4.299020290374756,-5.236598968505859,45.903541564941406,-0.8834069967269897,570,142,-6.594649314880371,1.2541606426239014,45.06231689453125,2.95365834236145,111,27,-1.2962367534637451,6.573975086212158,44.897377014160156,1.7654759883880615,868,216,-0.045127272605895996,-6.641075611114502,44.10592269897461,-1.5775914192199707,898,224,-1.4624693393707275,-6.342641830444336,42.367923736572266,-1.7974129915237427,552,137,6.493585586547852,-0.10092496871948242,42.17683792114258,-0.015541004948318005,695,173,-5.865474700927734,2.731510639190674,41.86494445800781,2.7057652473449707,136,33,-3.757394552230835,-5.132010459899902,40.455543518066406,-2.2027742862701416,871,217,-3.7242274284362793,-5.054891586303711,39.42179870605469,-2.205767869949341,214,53,-6.071562767028809,-0.2916221022605896,36.948917388916016,-3.0935988426208496,856,213,4.147235870361328,4.39639949798584,36.52789306640625,0.8145535588264465,320,79,-4.679775238037109,3.688986301422119,35.50891876220703,2.4740374088287354,35,8,4.072329044342041,-4.224945545196533,34.43402862548828,-0.8037896752357483
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,5,1,10,0,0,1024,16,825,206,2.793316125869751,7990.94873046875,7.7152276039123535,-21,-0.4512436091899872,825,206,-7.92772912979126,-5.951641082763672,98.27091979980469,-2.497619867324829,719,179,3.7904398441314697,-6.106169700622559,51.65274429321289,-1.0152548551559448,431,107,-4.173159122467041,-5.485208988189697,47.50277328491211,-2.221175193786621,1017,254,-1.3395785093307495,6.725867748260498,47.031768798828125,1.7673919200897217,885,221,5.510800361633301,3.938101291656494,45.8775634765625,0.6204676032066345,991,247,6.1454057693481445,-2.191408395767212,42.56828308105469,-0.34253615140914917,929,232,6.170215606689453,1.5649844408035278,40.52073669433594,0.24839717149734497,54,13,-5.632145881652832,-2.910825490951538,40.193973541259766,-2.664577007293701,74,18,-5.300929069519043,-3.351778030395508,39.334266662597656,-2.577760934829712,612,152,5.046450614929199,3.34637451171875,36.664886474609375,0.5855393409729004,563,140,2.0477471351623535,-5.692150592803955,36.59384536743164,-1.2254626750946045,971,242,2.6892080307006836,5.273002624511719,35.03639602661133,1.099184274673462,681,170,2.83347225189209,-5.086737632751465,33.903465270996094,-1.0625708103179932,993,248,-5.585474967956543,1.192943811416626,32.62064743041992,2.9311745166778564,640,159,-5.69915771484375,0.11368680000305176,32.493324279785156,3.121647357940674,12,2,-1.9010968208312988,5.357357025146484,32.31544494628906,1.9117916822433472
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,6,1,10,0,0,1024,16,729,182,6.380279541015625,8236.8076171875,7.838499546051025,-21,-0.4512436091899872,729,182,8.450833320617676,12.108098983764648,218.02264404296875,0.9614483118057251,527,131,-6.858649253845215,1.769842267036438,50.17341232299805,2.889056444168091,596,148,-0.9441280364990234,6.981436729431152,49.6318359375,1.7052149772644043,662,165,-5.282497882843018,4.339743614196777,46.7381591796875,2.453859329223633,58,14,-6.788468360900879,0.6580238342285156,46.51629638671875,3.044961929321289,300,74,4.5968804359436035,-4.792440414428711,44.098793029785156,-0.8062230944633484,440,109,0.7173580527305603,6.460612773895264,42.254119873046875,1.4602136611938477,757,189,-5.426610469818115,3.4264652729034424,41.18876647949219,2.578390598297119,515,128,1.912135362625122,6.021112442016602,39.910057067871094,1.2632975578308105,810,202,-6.1854963302612305,-0.06222975254058838,38.26423645019531,-3.1315324306488037,1017,254,-5.31631326675415,3.077425003051758,37.733734130859375,2.616858959197998,345,86,4.476441383361816,4.020837783813477,36.205665588378906,0.7318318486213684,561,140,5.030285835266113,3.2073192596435547,35.59067153930664,0.5676100254058838,634,158,-5.962645530700684,0.1888858675956726,35.58882141113281,3.1099250316619873,341,85,2.885050058364868,-5.154987335205078,34.89740753173828,-1.06056547164917,679,169,-0.6885455846786499,-5.852788925170898,34.72923278808594,-1.6879020929336548
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,7,1,10,0,0,1024,16,345,86,5.04571533203125,8169.25732421875,7.800173759460449,-21,-0.4512436091899872,345,86,-2.4949593544006348,-13.544549942016602,189.67965698242188,-1.7529582977294922,321,80,1.8726284503936768,-7.473095893859863,59.35389709472656,-1.325269341468811,265,66,7.3040289878845215,-1.3409724235534668,55.14704513549805,-0.18157149851322174,525,131,1.5588268041610718,-6.781984329223633,48.42525100708008,-1.3448721170425415,468,116,-4.502249717712402,-4.729991912841797,42.64307403564453,-2.331531286239624,691,172,-5.41596794128418,-3.5009045600891113,41.58904266357422,-2.567749261856079,370,92,-2.9934287071228027,5.441368103027344,38.56909942626953,2.073734998703003,315,78,6.013868808746338,-1.5205295085906982,38.47863006591797,-0.24764713644981384,881,220,3.8835043907165527,4.814213752746582,38.258262634277344,0.8919987082481384,288,71,-3.204040050506592,5.220046043395996,37.51475524902344,2.121297836303711,46,11,-5.321203708648682,-2.956049919128418,37.05344009399414,-2.634519100189209,761,190,5.592030048370361,-2.0544352531433105,35.49150466918945,-0.35207900404930115,3,0,1.3205255270004272,-5.781102657318115,35.16493225097656,-1.3462281227111816,161,40,5.775396347045898,-1.1437129974365234,34.66328048706055,-0.19550248980522156,124,30,-3.0343213081359863,-5.015242576599121,34.359764099121094,-2.114898681640625,622,155,3.2940261363983154,4.84307336807251,34.30596923828125,0.9735157489776611
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,8,0,10,1,0,1024,16,222,221,2.4339089393615723,7747.5615234375,7.469730377197266,-21,-0.4512436091899872,222,221,-3.508634567260742,9.680736541748047,106.02717590332031,1.9185055494308472,211,210,-4.0553083419799805,6.64019775390625,60.53775405883789,2.1190617084503174,100,99,5.524785995483398,3.9463727474212646,46.09711837768555,0.6202611327171326,171,170,-0.43939411640167236,6.734729766845703,45.549652099609375,1.6359469890594482,956,955,2.986745834350586,-5.686070442199707,41.25204849243164,-1.0871344804763794,208,207,-6.078736782073975,-1.0369373559951782,38.02627944946289,-2.9726345539093018,96,95,-4.189623832702637,-4.387582778930664,36.8038330078125,-2.3331189155578613,335,334,3.842927932739258,4.576054573059082,35.708370208740234,0.872259259223938,949,948,-0.4085019826889038,-5.878259658813477,34.72080993652344,-1.6401784420013428,1022,1021,4.553330898284912,3.679116725921631,34.26872253417969,0.6796033382415771,746,745,-2.118095874786377,-5.388739109039307,33.52484130859375,-1.945305347442627,79,78,3.47275972366333,-4.562454700469971,32.87605285644531,-0.9201907515525818,316,315,4.637488842010498,3.157806873321533,31.478046417236328,0.5978125333786011,94,93,-2.6634674072265625,4.930054664611816,31.399497985839844,2.0661239624023438,564,563,-1.6300771236419678,5.291375160217285,30.655803680419922,1.8696339130401611,860,859,-2.4909164905548096,4.900198936462402,30.21661376953125,2.0410854816436768
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\noisy_iq\0_0_0_10_14_8\0_0_0_10_14_8_noise_rel_30p0dB.bin,1,9,0,10,1,0,1024,16,826,825,4.036417484283447,7931.75048828125,7.6255950927734375,-21,-0.4512436091899872,826,825,6.65507698059082,-9.299272537231445,130.7665252685547,-0.9496403336524963,674,673,-6.028966903686523,3.9084441661834717,51.6243782043457,2.5664291381835938,222,221,-6.661746025085449,2.6790456771850586,51.55614471435547,2.7592310905456543,840,839,6.796724796295166,2.190816879272461,50.995147705078125,0.3118188977241516,1013,1012,-6.536643981933594,2.7798726558685303,50.455406188964844,2.7394888401031494,306,305,-2.646106481552124,6.487601280212402,49.090850830078125,1.9580698013305664,626,625,-5.230096817016602,-4.474890232086182,47.37855529785156,-2.433854341506958,692,691,1.4848968982696533,6.59678316116333,45.72246551513672,1.349392294883728,733,732,6.011916637420654,-2.4654741287231445,42.22170639038086,-0.389180988073349,25,24,-0.8551732301712036,6.433225631713867,42.11771011352539,1.702952265739441,985,984,0.5714637637138367,6.250265121459961,39.39238739013672,1.4796195030212402,1015,1014,5.3422722816467285,-3.2596921920776367,39.16546630859375,-0.5478636026382446,512,511,-1.8430469036102295,5.846002578735352,37.57257080078125,1.8761992454528809,96,95,-5.226670265197754,-2.904977321624756,35.75697708129883,-2.634308338165283,693,692,5.170496463775635,-2.9979867935180664,35.72195816040039,-0.5254533886909485,481,480,4.813878536224365,3.3414337635040283,34.33860397338867,0.6067721843719482
