method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.2511935999900743,3.588479999858204,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,22,0.3142857142857143,3,0,0.09484379999048542,1.354911428435506,13,0.18571428571428572,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,25,0.35714285714285715,0,0,0.08963700000094832,1.2805285714421188,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,23,0.32857142857142857,3,1,0.10966700001154095,1.5666714287362993,16,0.22857142857142856,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,29,0.4142857142857143,0,0,0.12748100001408602,1.8211571430583717,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,25,0.35714285714285715,4,0,0.16472359999534092,2.3531942856477275,17,0.24285714285714285,19,0.2714285714285714,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,17,0.24285714285714285,0,0,0.12640010000177426,1.805715714311061,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,2,0,0.18867250002585934,2.6953214289408476,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,21,0.3,0,0,0.086665400001948,1.2380771428849715,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,5,0,0.11839700002383324,1.6913857146261893,18,0.2571428571428571,18,0.2571428571428571,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,22,0.3142857142857143,0,0,0.09515860000465182,1.359408571495026,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,1,0.13110010003583739,1.8728585719405342,19,0.2714285714285714,20,0.2857142857142857,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,21,0.3,0,0,0.08135039998524007,1.1621485712177153,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,18,0.2571428571428571,3,0,0.09513309999238118,1.3590442856054454,14,0.2,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,23,0.32857142857142857,0,0,0.08428590000403346,1.2040842857719067,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,3,0,0.08505550001427764,1.2150785716325376,13,0.18571428571428572,14,0.2,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,24,0.34285714285714286,0,0,0.08940630002325634,1.2772328574750904,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_conditional_lora,8,70,20,0.2857142857142857,4,0,0.10979470002348535,1.5684957146212193,16,0.22857142857142856,16,0.22857142857142856,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
