selection_method,pattern_count,selection_rank,candidate_index,pattern_name,marginal_information,lora_leakage_weight
information,12,1,106,block_w32_s2_b1,119.71922425184201,100.0
information,12,2,128,block_w64_s2_b0,111.31755390859344,100.0
information,12,3,132,block_w64_s2_b2,81.12430197884936,100.0
information,12,4,110,block_w32_s2_b3,63.15496289054074,100.0
information,12,5,48,block_w8_s1_b0,16.57939759020478,100.0
information,12,6,155,multiscale_w128_s2_b1,18.923085132324065,100.0
information,12,7,163,multiscale_w128_s3_b1,15.640753729455524,100.0
information,12,8,22,block_w2_s3_b3,13.664236556623711,100.0
information,12,9,99,multiscale_w32_s1_b1,16.019138117618468,100.0
information,12,10,23,multiscale_w2_s3_b3,15.013688079456402,100.0
information,12,11,102,block_w32_s1_b3,17.451163699076854,100.0
information,12,12,146,block_w128_s1_b1,14.224088643375442,100.0
lora_information,12,1,113,multiscale_w32_s3_b0,11.689442752110075,100.0
lora_information,12,2,96,block_w32_s1_b0,7.695024463752048,100.0
lora_information,12,3,81,multiscale_w16_s2_b0,11.84864636499788,100.0
lora_information,12,4,89,multiscale_w16_s3_b0,4.855452683929918,100.0
lora_information,12,5,105,multiscale_w32_s2_b0,13.92936625183007,100.0
lora_information,12,6,72,block_w16_s1_b0,6.0710831239568925,100.0
lora_information,12,7,88,block_w16_s3_b0,6.629847097170626,100.0
lora_information,12,8,48,block_w8_s1_b0,5.064802388212862,100.0
lora_information,12,9,64,block_w8_s3_b0,5.431063565937206,100.0
lora_information,12,10,40,block_w4_s3_b0,3.06333661933595,100.0
lora_information,12,11,74,block_w16_s1_b1,2.800464127037972,100.0
lora_information,12,12,70,block_w8_s3_b3,10.733737925170727,100.0
