selection_method,pattern_count,selection_rank,candidate_index,pattern_name,marginal_information,lora_leakage_weight
information,12,1,106,block_w32_s2_b1,119.71922425184201,1000.0
information,12,2,128,block_w64_s2_b0,111.31755390859344,1000.0
information,12,3,132,block_w64_s2_b2,81.12430197884936,1000.0
information,12,4,110,block_w32_s2_b3,63.15496289054074,1000.0
information,12,5,48,block_w8_s1_b0,16.57939759020478,1000.0
information,12,6,155,multiscale_w128_s2_b1,18.923085132324065,1000.0
information,12,7,163,multiscale_w128_s3_b1,15.640753729455524,1000.0
information,12,8,22,block_w2_s3_b3,13.664236556623711,1000.0
information,12,9,99,multiscale_w32_s1_b1,16.019138117618468,1000.0
information,12,10,23,multiscale_w2_s3_b3,15.013688079456402,1000.0
information,12,11,102,block_w32_s1_b3,17.451163699076854,1000.0
information,12,12,146,block_w128_s1_b1,14.224088643375442,1000.0
lora_information,12,1,113,multiscale_w32_s3_b0,1.2979329341761612,1000.0
lora_information,12,2,96,block_w32_s1_b0,0.9451293072462058,1000.0
lora_information,12,3,81,multiscale_w16_s2_b0,1.494316603913651,1000.0
lora_information,12,4,89,multiscale_w16_s3_b0,0.6375543842316257,1000.0
lora_information,12,5,105,multiscale_w32_s2_b0,1.944467679459706,1000.0
lora_information,12,6,72,block_w16_s1_b0,0.7902207166669682,1000.0
lora_information,12,7,88,block_w16_s3_b0,1.0827029640288794,1000.0
lora_information,12,8,48,block_w8_s1_b0,0.8044657667544506,1000.0
lora_information,12,9,64,block_w8_s3_b0,0.9782095700598658,1000.0
lora_information,12,10,40,block_w4_s3_b0,0.5752691968944849,1000.0
lora_information,12,11,24,block_w4_s1_b0,0.5081329451677581,1000.0
lora_information,12,12,129,multiscale_w64_s2_b0,0.7588620260413477,1000.0
