method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.3195235999992292,4.5646228571318455,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,23,0.32857142857142857,4,2,0.49314520000189077,7.0449314285984395,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,23,0.32857142857142857,3,1,0.5276183999994828,7.537405714278326,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,23,0.32857142857142857,3,1,0.5779788999934681,8.256841428478115,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,23,0.32857142857142857,3,1,0.18078559999048593,2.5826514284355135,18,0.2571428571428571,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,24,0.34285714285714286,1,0,0.20309199999610428,2.9013142856586325,18,0.2571428571428571,3,10,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,21,0.3,0,0,0.13420769998629112,1.917252856947016,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,18,0.2571428571428571,3,0,0.5562299999946845,7.9461428570669215,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,17,0.24285714285714285,5,1,0.5411684999999125,7.730978571427321,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,16,0.22857142857142856,5,0,0.5942738999838184,8.489627142625977,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,16,0.22857142857142856,5,0,0.15472719997706008,2.210388571100858,18,0.2571428571428571,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,16,0.22857142857142856,5,0,0.1741168999869842,2.487384285528346,18,0.2571428571428571,7,4,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,23,0.32857142857142857,0,0,0.12616519998118747,1.8023599997312496,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,20,0.2857142857142857,3,0,0.5054302000353346,7.220431429076208,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,19,0.2714285714285714,4,0,0.5067479999779607,7.239257142542296,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,19,0.2714285714285714,4,0,0.5575918999711575,7.965598571016536,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,20,0.2857142857142857,3,0,0.11039249999885214,1.5770357142693163,14,0.2,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,21,0.3,2,0,0.12411909999718773,1.7731299999598247,14,0.2,6,3,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
