method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.2489126999898872,3.5558957141412457,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,23,0.32857142857142857,4,2,0.3954288999957498,5.648984285653569,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,23,0.32857142857142857,3,1,0.3992219999890949,5.703171428415642,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,23,0.32857142857142857,3,1,0.4394307999864395,6.277582856949136,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,23,0.32857142857142857,3,1,0.11551149999650079,1.650164285664297,18,0.2571428571428571,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,24,0.34285714285714286,1,0,0.1372912000042561,1.9613028572036586,18,0.2571428571428571,3,10,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,21,0.3,0,0,0.10317349998877035,1.4739071426967192,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,18,0.2571428571428571,3,0,0.38518899997507106,5.502699999643872,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,17,0.24285714285714285,5,1,0.38256039997941116,5.465148571134445,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,16,0.22857142857142856,5,0,0.42330529996252153,6.047218570893165,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,16,0.22857142857142856,5,0,0.10768309999548364,1.5383299999354807,18,0.2571428571428571,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,16,0.22857142857142856,5,0,0.12703189999592723,1.8147414285132462,18,0.2571428571428571,7,4,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,23,0.32857142857142857,0,0,0.10731009998562513,1.5330014283660733,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,20,0.2857142857142857,3,0,0.39262570001665154,5.60893857166645,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,19,0.2714285714285714,4,0,0.396224699983577,5.660352856908243,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,19,0.2714285714285714,4,0,0.4382727999764029,6.2610399996628985,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,20,0.2857142857142857,3,0,0.08904989999427926,1.2721414284897037,14,0.2,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,21,0.3,2,0,0.10574099999212194,1.5105857141731707,14,0.2,6,3,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
