method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight
savaux,0,70,25,0.35714285714285715,0,0,0.5503874999885738,7.862678571265341,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
hamming_12,12,70,23,0.32857142857142857,4,2,1.3614065000074334,19.448664285820477,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
information_12,12,70,21,0.3,4,0,1.373125499994785,19.616078571354073,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
lora_information_12,12,70,23,0.32857142857142857,4,2,1.3917946000037773,19.882780000053963,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
savaux,0,70,21,0.3,0,0,0.20308730001124786,2.9012471430178266,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
hamming_12,12,70,18,0.2571428571428571,3,0,1.2975082000084512,18.53583142869216,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
information_12,12,70,15,0.21428571428571427,6,0,1.3007612000365043,18.58230285766435,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
lora_information_12,12,70,19,0.2714285714285714,3,1,1.3047509000061837,18.63929857151691,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
savaux,0,70,23,0.32857142857142857,0,0,0.20702020000317134,2.9574314286167334,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
hamming_12,12,70,19,0.2714285714285714,4,0,1.3547473999897193,19.353534285567417,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
information_12,12,70,17,0.24285714285714285,6,0,1.3613072999942233,19.447247142774618,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
lora_information_12,12,70,18,0.2571428571428571,5,0,1.3668141000089236,19.525915714413195,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
