method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,1,0.014285714285714285,0,0,0.2798890999983996,3.9984157142628516,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,1,0.014285714285714285,0,0,0.4031684000037785,5.75954857148255,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,2,0.02857142857142857,0,1,0.4333427999954438,6.190611428506339,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,2,0.02857142857142857,0,1,0.6627474000051734,9.467820000073905,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,3,0.04285714285714286,0,2,0.6321205000094778,9.030292857278255,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,2,0.02857142857142857,0,1,0.4742733999810298,6.775334285443283,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,2,0.02857142857142857,0,1,0.677486200009298,9.678374285847115,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,8,0.11428571428571428,0,0,0.11676839999199728,1.6681199998856755,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,8,0.11428571428571428,0,0,0.43787489997339435,6.255355713905634,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,8,0.11428571428571428,0,0,0.49494519998916076,7.070645714130868,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,8,0.11428571428571428,0,0,0.6995263999742747,9.993234285346782,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,8,0.11428571428571428,2,2,0.6833732000050077,9.762474285785824,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,10,0.14285714285714285,0,2,0.5380444999973406,7.686349999962009,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,9,0.12857142857142856,1,2,0.7296897000233002,10.424138571761432,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,16,0.22857142857142856,0,0,0.11868030002369778,1.6954328574813968,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,17,0.24285714285714285,2,3,0.40644159999283147,5.806308571326164,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,18,0.2571428571428571,1,3,0.4367755000021134,6.239650000030191,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,16,0.22857142857142856,1,1,0.6762126999892644,9.660181428418062,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,14,0.2,2,0,0.6565413999778684,9.379162856826692,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,20,0.2857142857142857,1,5,0.4787964000061038,6.839948571515769,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
