method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,25,0.35714285714285715,0,0,0.2890349000226706,4.129070000323866,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,21,0.3,4,0,0.4043440000023111,5.776342857175872,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,20,0.2857142857142857,5,0,0.40997710000374354,5.856815714339193,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,20,0.2857142857142857,6,1,0.6733223000010184,9.618890000014549,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,19,0.2714285714285714,6,0,0.6462524999733432,9.23217857104776,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,20,0.2857142857142857,5,0,0.4506936999714526,6.438481428163608,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,19,0.2714285714285714,6,0,0.6889478999764833,9.842112856806905,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,25,0.35714285714285715,0,0,0.11945480000213138,1.706497142887591,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,23,0.32857142857142857,4,2,0.4156774999755726,5.9382499996510365,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,23,0.32857142857142857,3,1,0.4054794999974547,5.7925642856779245,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,23,0.32857142857142857,4,2,0.6981669000051625,9.973812857216606,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,22,0.3142857142857143,4,1,0.6895166000031168,9.850237142901667,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,23,0.32857142857142857,3,1,0.4478665999995428,6.398094285707755,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,21,0.3,5,1,0.7325720000080764,10.465314285829663,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,29,0.4142857142857143,0,0,0.1211998999970092,1.731427142814417,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,24,0.34285714285714286,5,0,0.4151374999892141,5.93053571413163,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,25,0.35714285714285715,4,0,0.420245099994645,6.003501428494928,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,24,0.34285714285714286,5,0,0.6934302000008756,9.906145714298223,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,23,0.32857142857142857,6,0,0.6660834999966028,9.51547857138004,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,25,0.35714285714285715,4,0,0.4630514999771549,6.61502142824507,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,23,0.32857142857142857,6,0,0.7113636999856681,10.16233857122383,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,17,0.24285714285714285,0,0,0.12084960001084255,1.7264228572977507,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,16,0.22857142857142856,1,0,0.4029410999974061,5.756301428534373,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,15,0.21428571428571427,2,0,0.4347774999841931,6.21110714263133,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,16,0.22857142857142856,1,0,0.6653652000240982,9.505217143201403,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,14,0.2,3,0,0.6542516000081378,9.346451428687683,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,15,0.21428571428571427,2,0,0.4760017999687989,6.800025713839984,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,15,0.21428571428571427,2,0,0.6964867000097001,9.949810000138573,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,21,0.3,0,0,0.11888369998996495,1.6983385712852137,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,18,0.2571428571428571,3,0,0.40396930000861175,5.770990000123025,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,17,0.24285714285714285,5,1,0.40192020003451034,5.741717143350148,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,18,0.2571428571428571,3,0,0.6501703000067209,9.288147142953155,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,15,0.21428571428571427,6,0,0.6348085999925388,9.068694285607696,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,16,0.22857142857142856,5,0,0.44296070002747,6.328010000392429,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,15,0.21428571428571427,6,0,0.6762765999919793,9.661094285599704,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,22,0.3142857142857143,0,0,0.1262300000162213,1.8032857145174472,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,20,0.2857142857142857,3,1,0.4485988000051293,6.408554285787561,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,21,0.3,3,2,0.4298762999860628,6.141089999800897,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,20,0.2857142857142857,4,2,0.7238357000242104,10.340510000345862,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,18,0.2571428571428571,4,0,0.6815920000044571,9.737028571492244,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,21,0.3,3,2,0.4727468999917619,6.753527142739456,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,17,0.24285714285714285,5,0,0.7297495000202616,10.42499285743231,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,21,0.3,0,0,0.1201597999970545,1.7165685713864929,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,17,0.24285714285714285,4,0,0.42624390000855783,6.089198571550826,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,17,0.24285714285714285,4,0,0.4074230000078387,5.820328571540553,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,15,0.21428571428571427,6,0,0.6933254999930796,9.904649999901137,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,16,0.22857142857142856,5,0,0.6373879000238958,9.105541428912797,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,17,0.24285714285714285,4,0,0.4493221000120684,6.418887143029549,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,16,0.22857142857142856,5,0,0.6810035000307835,9.728621429011193,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,23,0.32857142857142857,0,0,0.12232709999443614,1.7475299999205163,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,20,0.2857142857142857,3,0,0.4116275999986101,5.88039428569443,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,19,0.2714285714285714,4,0,0.42412279999552993,6.058897142793285,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,19,0.2714285714285714,4,0,0.6960008999849379,9.942869999784827,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,19,0.2714285714285714,4,0,0.6892501000256743,9.846430000366777,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,19,0.2714285714285714,4,0,0.466641700022592,6.666310000322743,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,19,0.2714285714285714,4,0,0.7345116000360576,10.493022857657966,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,24,0.34285714285714286,0,0,0.11645280001539504,1.6636114287913577,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_8,8,70,21,0.3,3,0,0.41405549998307833,5.915078571186833,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_8,8,70,20,0.2857142857142857,4,0,0.43226600001435145,6.175228571633592,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,19,0.2714285714285714,5,0,0.689459800007171,9.849425714388158,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,19,0.2714285714285714,5,0,0.6369014999945648,9.098592857065212,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_8_wrap,8,70,20,0.2857142857142857,5,1,0.47433810003713006,6.7762585719590005,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,20,0.2857142857142857,5,1,0.6801403000063146,9.71629000009021,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5
