method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,8,0.11428571428571428,0,0,0.38568569998824387,5.50979571411777,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
hamming_12,12,70,8,0.11428571428571428,0,0,0.8879588000236254,12.68512571462322,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
information_12,12,70,8,0.11428571428571428,2,2,0.9109731000135071,13.013901428764386,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
information_12_wrap,12,70,10,0.14285714285714285,1,3,0.9339530000106606,13.342185714438008,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
savaux,0,70,8,0.11428571428571428,0,0,0.16229879999809782,2.3185542856871115,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
hamming_12,12,70,10,0.14285714285714285,0,2,0.9392032000068866,13.417188571526951,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
information_12,12,70,8,0.11428571428571428,1,1,0.963324599997577,13.761779999965386,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
information_12_wrap,12,70,9,0.12857142857142856,3,4,0.9864312000136124,14.091874285908748,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
savaux,0,70,5,0.07142857142857142,0,0,0.1277202999808651,1.8245757140123584,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
hamming_12,12,70,6,0.08571428571428572,0,1,0.7078073999946355,10.11153428563765,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
information_12,12,70,7,0.1,0,2,0.7027294000108668,10.03899142872667,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
information_12_wrap,12,70,6,0.08571428571428572,2,3,0.7168747000177973,10.24106714311139,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
