method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,25,0.35714285714285715,0,0,0.3416330000036396,4.880471428623423,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
hamming_12,12,70,23,0.32857142857142857,4,2,0.9240501999993285,13.20071714284755,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
information_12,12,70,22,0.3142857142857143,4,1,0.9588854000030551,13.6983628571865,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
information_12_wrap,12,70,22,0.3142857142857143,5,2,0.979384599988407,13.991208571262957,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,1.0
savaux,0,70,21,0.3,0,0,0.15440349999335012,2.2057642856192876,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
hamming_12,12,70,18,0.2571428571428571,3,0,0.9236658999798237,13.19522714256891,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
information_12,12,70,15,0.21428571428571427,6,0,0.9374453999953403,13.392077142790574,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
information_12_wrap,12,70,16,0.22857142857142856,5,0,0.9562708999801544,13.661012856859347,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,1.0
savaux,0,70,23,0.32857142857142857,0,0,0.14816519998566946,2.1166457140809922,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
hamming_12,12,70,19,0.2714285714285714,4,0,0.848706000000675,12.124371428581071,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
information_12,12,70,19,0.2714285714285714,4,0,0.8218147999905341,11.7402114284362,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
information_12_wrap,12,70,19,0.2714285714285714,4,0,0.8397524999891175,11.99646428555882,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,1.0
