payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index,packet_timing_tau0,packet_timing_slope
0,803,803,803,1,1,0,1,1,1,1,1,0.09555331556231575,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
1,826,826,826,1,1,0,1,1,1,1,1,0.04920187987088784,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
2,922,922,922,1,1,0,1,1,1,1,1,0.10318256242059165,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
3,718,718,718,1,1,0,1,1,1,1,1,0.05483649555714413,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
4,86,86,86,1,1,0,1,1,1,1,1,0.08917829605868403,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
5,467,467,467,1,1,0,1,1,1,1,1,0.04482067642001528,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
6,89,89,89,1,1,0,1,1,1,1,1,0.08431527112891928,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
7,713,713,713,1,1,0,1,1,1,1,1,0.09317357207144496,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
8,865,865,865,1,1,0,1,1,1,1,1,0.03889204347541387,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
9,405,405,405,1,1,0,1,1,1,1,1,0.06703102264732373,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
10,765,765,765,1,1,0,1,1,1,1,1,0.06810612640044286,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
11,1023,1023,482,1,59,-58,1,0,1,0,1,0.011744672730360454,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
12,597,597,597,1,1,0,1,1,1,1,1,0.07555377959202979,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
13,562,562,562,1,1,0,1,1,1,1,1,0.09256402078615393,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
14,478,677,677,4,34,-30,1,0,0,0,1,0.055526319153705456,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
15,267,267,267,1,1,0,1,1,1,1,1,0.06263796830050551,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
16,917,917,917,1,1,0,1,1,1,1,1,0.08132665030547784,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
17,656,656,656,1,1,0,1,1,1,1,1,0.06184837592265607,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
18,889,889,889,1,1,0,1,1,1,1,1,0.07416394828601311,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
19,510,510,510,1,1,0,1,1,1,1,1,0.08253238913328327,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
20,860,860,860,1,1,0,1,1,1,1,1,0.05017930018184215,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
21,553,553,553,1,1,0,1,1,1,1,1,0.04979963360127219,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
22,629,629,154,1,9,-8,1,0,1,0,1,0.023028393700042928,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
23,759,759,759,1,1,0,1,1,1,1,1,0.06185186169041987,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
24,874,874,874,1,1,0,1,1,1,1,1,0.05440385092711339,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
25,720,720,720,1,1,0,1,1,1,1,1,0.07005455638650045,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
26,314,314,314,1,1,0,1,1,1,1,1,0.03822067048764655,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
27,602,602,602,1,1,0,1,1,1,1,1,0.06937307382431544,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
28,7,7,7,1,1,0,1,1,1,1,1,0.0558046051128298,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
29,610,610,610,1,1,0,1,1,1,1,1,0.07198815345655292,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
30,839,839,839,1,1,0,1,1,1,1,1,0.06498861151543253,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
31,913,913,793,1,30,-29,1,0,1,0,1,0.013883276784076637,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
32,764,764,764,1,1,0,1,1,1,1,1,0.06848697937281065,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
33,577,577,577,1,1,0,1,1,1,1,1,0.053962393876609116,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
34,936,936,936,1,1,0,1,1,1,1,1,0.043777192826860815,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-24.0,0,0.5,-0.5
0,222,222,222,1,1,0,1,1,1,1,1,0.062168051851724186,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
1,711,711,711,1,1,0,1,1,1,1,1,0.0629762898053373,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
2,871,871,871,1,1,0,1,1,1,1,1,0.08993939609422583,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
3,718,718,718,1,1,0,1,1,1,1,1,0.04933307570129456,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
4,107,107,107,1,1,0,1,1,1,1,1,0.08829837011183846,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
5,467,467,467,1,1,0,1,1,1,1,1,0.048832841372984714,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
6,89,89,89,1,1,0,1,1,1,1,1,0.07412869419200044,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
7,713,713,713,1,1,0,1,1,1,1,1,0.024698954382819143,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
8,865,865,865,1,1,0,1,1,1,1,1,0.06267865819987004,packet_tau0.5_slope0.5,packet_timing,0_0_0_10_14_8,-24.0,1,0.5,0.5
