packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
1,0,222,222,1,1,1,1,0.4110649301436,6.634263173904165,0.9253769396314355,222,1,hit,222,1,hit,222,1,hit,222,1,hit,222,1,hit,222,1,hit,0_0_0_10_14_16,-22.0
1,1,826,228,0,0,0,0,0.3046885928779606,5.257316297314835,0.40146281096703723,228,0,gt_missing_top_l,242,0,gt_missing_top_l,228,0,gt_missing_top_l,242,0,gt_missing_top_l,1015,0,gt_missing_top_l,1015,0,gt_missing_top_l,0_0_0_10_14_16,-22.0
1,2,922,922,1,1,1,1,0.8785064988732476,6.835719326534666,0.9655456936603403,922,1,hit,922,1,hit,922,1,hit,922,1,hit,922,1,hit,922,1,hit,0_0_0_10_14_16,-22.0
1,3,718,718,1,1,1,1,1.3816232245915403,6.889745655149037,0.99431064670159,718,1,hit,718,1,hit,718,1,hit,718,1,hit,718,1,hit,718,1,hit,0_0_0_10_14_16,-22.0
1,4,107,107,1,1,1,1,1.8070887346210587,7.567985421921852,0.9546259562179912,107,1,hit,107,1,hit,107,1,hit,107,1,hit,107,1,hit,107,1,hit,0_0_0_10_14_16,-22.0
1,5,468,468,1,1,1,1,1.3721006564038003,6.962212471213403,0.9317325838542234,468,1,hit,468,1,hit,468,1,hit,468,1,hit,468,1,hit,468,1,hit,0_0_0_10_14_16,-22.0
1,6,89,921,1,2,1,2,0.47678584106556704,6.29268423020674,0.4564582255087562,921,0,selectable_miss,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,0_0_0_10_14_16,-22.0
1,7,713,713,1,1,1,1,1.1675165042458815,7.256718551453641,0.9209678715154409,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-22.0
1,8,865,865,1,1,1,1,2.8784643866171318,7.967012361099014,0.8976961204390074,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,865,1,hit,0_0_0_10_14_16,-22.0
1,9,492,492,1,1,1,1,0.6107233692886975,5.768638563723987,0.9700891970771693,492,1,hit,492,1,hit,994,0,selectable_miss,492,1,hit,492,1,hit,492,1,hit,0_0_0_10_14_16,-22.0
