packet_index,payload_symbol_index,gt_bin,top1_bin,gt_in_stage1_top_l,gt_stage1_rank,gt_in_viterbi_candidates,gt_viterbi_rank,top1_margin_db,top1_peak_to_median_db,top1_coherence,multi_bin,multi_hit,multi_error_type,v3_bin,v3_hit,v3_error_type,phase_line_bin,phase_line_hit,phase_line_error_type,phase_dp_first_bin,phase_dp_first_hit,phase_dp_first_error_type,phase_dp_second_bin,phase_dp_second_hit,phase_dp_second_error_type,phase_dp_second_anchor_bin,phase_dp_second_anchor_hit,phase_dp_second_anchor_error_type,dataset,target_snr_db
3,0,222,447,0,0,0,0,0.3449675822244327,6.028790800128615,0.7794658553012201,447,0,gt_missing_top_l,497,0,gt_missing_top_l,447,0,gt_missing_top_l,497,0,gt_missing_top_l,497,0,gt_missing_top_l,497,0,gt_missing_top_l,0_0_0_10_14_16,-24.0
3,1,711,83,0,0,0,0,0.4800744380464666,5.85891313385792,0.811856295805259,83,0,gt_missing_top_l,83,0,gt_missing_top_l,83,0,gt_missing_top_l,83,0,gt_missing_top_l,83,0,gt_missing_top_l,83,0,gt_missing_top_l,0_0_0_10_14_16,-24.0
3,2,871,626,0,0,0,0,0.4387293606816999,6.147913123219646,0.27670617093573313,626,0,gt_missing_top_l,858,0,gt_missing_top_l,626,0,gt_missing_top_l,858,0,gt_missing_top_l,858,0,gt_missing_top_l,858,0,gt_missing_top_l,0_0_0_10_14_16,-24.0
3,3,718,116,1,17,1,17,0.5922249892766368,5.715983628569727,0.20688792157032138,116,0,selectable_miss,718,1,hit,116,0,selectable_miss,718,1,hit,718,1,hit,718,1,hit,0_0_0_10_14_16,-24.0
3,4,107,697,0,0,0,0,0.3550364925198745,5.381951017817421,0.5706910763016717,697,0,gt_missing_top_l,483,0,gt_missing_top_l,697,0,gt_missing_top_l,432,0,gt_missing_top_l,432,0,gt_missing_top_l,432,0,gt_missing_top_l,0_0_0_10_14_16,-24.0
3,5,468,468,1,1,1,1,0.9955032354810439,6.611700327523961,0.9606608574486845,468,1,hit,468,1,hit,468,1,hit,468,1,hit,468,1,hit,468,1,hit,0_0_0_10_14_16,-24.0
3,6,89,89,1,1,1,1,0.4322469211879716,5.155746004595332,0.8696193693561408,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,89,1,hit,0_0_0_10_14_16,-24.0
3,7,713,713,1,1,1,1,0.02693284119675355,5.202625612300366,0.9390144543616361,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,713,1,hit,0_0_0_10_14_16,-24.0
3,8,865,877,1,5,1,5,0.2640593329429236,5.703025248173318,0.4571395513635612,877,0,selectable_miss,160,0,selectable_miss,877,0,selectable_miss,865,1,hit,865,1,hit,865,1,hit,0_0_0_10_14_16,-24.0
3,9,492,1001,1,8,1,8,0.3543299246835119,5.041270892639712,0.643420739022333,1001,0,selectable_miss,868,0,selectable_miss,1001,0,selectable_miss,868,0,selectable_miss,868,0,selectable_miss,868,0,selectable_miss,0_0_0_10_14_16,-24.0
3,10,765,769,1,2,1,2,0.6722334744791527,6.492311636187443,0.6032854567932262,769,0,selectable_miss,765,1,hit,769,0,selectable_miss,765,1,hit,765,1,hit,765,1,hit,0_0_0_10_14_16,-24.0
3,11,1023,638,0,0,0,0,0.48485927849672567,6.390418861919286,0.8128943094919815,638,0,gt_missing_top_l,638,0,gt_missing_top_l,638,0,gt_missing_top_l,125,0,gt_missing_top_l,125,0,gt_missing_top_l,125,0,gt_missing_top_l,0_0_0_10_14_16,-24.0
3,12,597,597,1,1,1,1,0.09709058376659113,5.386142230200771,0.8252855522176452,597,1,hit,597,1,hit,597,1,hit,597,1,hit,597,1,hit,597,1,hit,0_0_0_10_14_16,-24.0
