packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
1,1,0,222,222,221,-0.315695,-0.364393,0.048698,0.998992,0.505924,0.7209,10.495588,0.014248,222,1,0,222,1
1,1,1,1007,-17,1006,-1.872446,-0.333564,-1.587580,1.000000,0.098504,0.5092,7.343472,0.007108,1007,1,0,826,0
1,1,2,637,-387,636,-0.241038,-0.302735,0.061696,0.998383,0.108057,0.5209,8.241009,0.008546,637,1,0,922,0
1,1,3,101,101,100,-0.208931,-0.271905,0.062975,0.894417,0.367221,0.6785,5.298749,0.012416,718,0,0,718,0
1,1,4,989,-35,988,-1.440855,-0.241076,-0.208688,0.978304,0.021248,0.4244,7.847733,0.007856,989,1,0,107,0
1,1,5,880,-144,879,1.028233,-0.210247,2.964653,1.000000,0.107705,0.5190,7.558462,0.007539,880,1,0,468,0
1,1,6,549,-475,548,-0.216516,-0.179417,-0.037099,0.928828,-0.167151,0.2881,5.404521,0.007413,921,0,0,89,0
1,1,7,713,-311,712,-0.947766,-0.148588,-2.596566,1.000000,0.027235,0.4371,7.232691,0.006569,713,1,0,713,1
1,1,8,732,-292,731,-0.039684,-0.117759,0.078075,0.888694,0.125721,0.4441,4.708404,0.011032,865,0,0,865,0
1,1,9,46,46,45,-0.032698,-0.086929,0.054231,0.947800,-0.212904,0.2606,5.496525,0.006203,615,0,0,492,0
1,1,10,765,-259,764,-1.107517,-0.056100,2.839677,1.000000,0.065819,0.4778,7.725065,0.008002,765,1,0,765,1
1,1,11,975,-49,974,2.337643,-0.025271,-2.432456,1.000000,0.221407,0.6322,7.214942,0.007220,975,1,0,1023,0
1,1,12,607,-417,606,0.313229,0.005559,0.307670,0.960086,-0.189680,0.3095,7.340689,0.007195,607,1,0,597,0
1,1,13,562,-462,561,-1.667137,0.036388,0.044048,0.999030,0.122998,0.5334,7.493604,0.007203,562,1,0,562,1
1,1,14,1000,-24,999,0.181504,0.067217,0.114287,0.911565,0.045075,0.4547,4.638298,0.006430,288,0,0,478,0
1,1,15,267,267,266,-1.410981,0.098047,2.312634,1.000000,0.013878,0.4249,7.404016,0.007337,267,1,0,267,1
1,1,16,917,-107,916,-1.822885,0.128876,-0.335793,0.944149,0.379553,0.6951,9.645422,0.011614,917,1,0,917,1
1,1,17,656,-368,655,-2.117249,0.159705,-0.218253,0.976277,0.455711,0.7137,10.843803,0.015473,656,1,0,656,1
1,1,18,112,112,111,0.086272,0.190535,-0.104263,0.923486,0.205056,0.5845,5.520249,0.007587,811,0,0,889,0
1,1,19,71,71,70,0.317719,0.221364,0.096355,0.927127,-0.502109,0.1922,5.586706,0.007613,510,0,0,510,0
1,1,20,544,-480,543,2.337872,0.252193,-1.526742,1.000000,0.099664,0.5104,7.456033,0.007171,544,1,0,860,0
1,1,21,553,-471,552,-2.138576,0.283023,2.503615,1.000000,0.297805,0.7102,7.921896,0.008291,553,1,0,553,1
1,1,22,629,-395,628,-2.784651,0.313852,-1.335995,1.000000,0.078256,0.4901,7.824002,0.007863,629,1,0,629,1
1,1,23,949,-75,948,0.972375,0.344681,-1.880084,1.000000,0.113554,0.5249,7.603613,0.007542,949,1,0,759,0
1,1,24,300,300,299,0.459998,0.375510,0.084487,0.918152,0.067398,0.4812,5.889909,0.009234,874,0,0,874,0
1,1,25,496,496,495,0.488291,0.406340,0.081952,0.975232,-0.491329,0.2000,6.736905,0.006579,243,0,0,720,0
1,1,26,314,314,313,2.399770,0.437169,-3.104905,1.000000,0.458716,0.7183,9.839432,0.012183,314,1,0,314,1
1,1,27,879,-145,878,1.484701,0.467998,-2.371907,1.000000,0.112162,0.5233,7.440650,0.007420,879,1,0,602,0
1,1,28,400,400,399,0.430105,0.498828,-0.068723,0.913922,-0.465681,0.1801,5.130557,0.007700,13,0,0,7,0
1,1,29,547,-477,546,1.984781,0.529657,0.058501,0.998289,0.113865,0.5258,8.097362,0.008442,547,1,0,610,0
1,1,30,997,-27,996,0.526773,0.560486,-0.033713,0.922268,0.235833,0.5957,6.129392,0.009716,807,0,0,807,0
1,1,31,897,-127,896,1.030107,0.591316,0.438791,0.919476,0.020277,0.2981,10.046298,0.012703,897,1,0,897,1
1,1,32,293,293,292,0.758781,0.622145,0.136636,0.978374,0.089535,0.4977,6.250614,0.005414,568,0,0,749,0
1,1,33,584,-440,583,0.881654,0.652974,0.228680,0.977872,0.423466,0.7204,10.144727,0.013608,584,1,0,584,1
1,1,34,934,-90,933,0.081685,0.683804,-0.153659,0.988218,0.523656,0.7187,10.660434,0.015630,934,1,0,934,1
2,2,0,961,-63,960,-3.015295,-3.033442,0.018147,0.964681,-0.029902,0.3737,7.554537,0.009459,803,0,0,803,0
2,2,1,826,-198,825,-3.126965,-3.142110,0.015145,0.999903,0.000832,0.3854,10.860657,0.014969,826,1,0,826,1
2,2,2,860,-164,859,2.845639,-3.250778,-0.186768,0.898533,0.002582,0.3714,6.442478,0.007953,48,0,2,922,0
2,2,3,718,-306,717,2.947518,-3.359447,0.023780,0.999760,-0.575803,0.1467,8.552179,0.009458,718,1,0,718,1
2,2,4,724,-300,723,2.819429,-3.468115,0.004359,0.999564,0.013053,0.3985,7.215659,0.004427,820,0,15,86,0
2,2,5,720,-304,719,2.868200,-3.576783,0.161798,0.944870,0.003719,0.3756,6.246076,0.003785,75,0,17,468,0
2,2,6,35,35,34,2.711540,-3.685452,0.113806,0.964403,-0.084566,0.3434,7.182723,0.008409,503,0,0,89,0
2,2,7,786,-238,785,1.953315,-3.794120,-0.055735,0.932737,0.021421,0.4019,6.241433,0.004932,376,0,6,713,0
2,2,8,946,-78,945,2.416046,-3.902788,0.035649,0.990622,0.025877,0.4274,7.031715,0.006992,865,0,0,865,0
2,2,9,461,461,460,2.330737,-4.011457,0.059008,0.963586,0.027681,0.4044,6.873617,0.004515,1000,0,10,492,0
2,2,10,849,-175,848,1.977278,-4.120125,-0.185783,0.909374,0.002927,0.3723,5.919330,0.004391,985,0,16,765,0
2,2,11,953,-71,952,2.187073,-4.228794,0.132681,0.896426,-0.115346,0.3292,5.576025,0.011170,1023,0,0,1023,0
2,2,12,484,484,483,2.259443,-4.337462,0.313719,0.942506,0.023219,0.4144,6.651110,0.005101,894,0,8,597,0
2,2,13,562,-462,561,1.081291,-4.446130,-0.290058,0.958227,0.038314,0.4390,9.485578,0.011599,562,1,0,562,1
2,2,14,478,478,477,0.569428,-4.554799,-0.254771,0.967721,0.017457,0.4221,9.862340,0.011733,478,1,0,478,1
2,2,15,400,400,399,1.357881,-4.663467,-0.261837,0.915177,-0.200705,0.3116,5.982243,0.007298,906,0,0,267,0
2,2,16,826,-198,825,1.360092,-4.772135,-0.150958,0.874486,-0.085350,0.3441,4.910690,0.012863,917,0,0,917,0
2,2,17,656,-368,655,-0.129709,-4.880804,0.229669,0.973742,0.031179,0.4372,9.400400,0.011034,656,1,0,656,1
2,2,18,889,-135,888,-0.311651,-4.989472,0.100253,0.994979,0.042238,0.4591,9.684801,0.012551,889,1,0,889,1
2,2,19,414,414,413,1.220762,-5.098140,0.035717,0.927170,-0.088208,0.3362,5.675191,0.008274,510,0,0,510,0
2,2,20,940,-84,939,-1.679774,-5.206809,-0.176143,0.984527,0.039824,0.4443,7.530368,0.007143,940,1,0,860,0
2,2,21,930,-94,929,0.970869,-5.315477,0.003160,0.892147,-0.286556,0.2635,4.729173,0.010152,553,0,0,553,0
2,2,22,369,369,368,-1.757395,-5.424145,-0.062052,0.965649,0.047496,0.4412,6.231037,0.004943,752,0,5,629,0
2,2,23,759,-265,758,-2.213226,-5.532814,0.002506,0.972864,0.020710,0.4202,7.114977,0.006928,980,0,3,759,1
2,2,24,874,-150,873,-2.599695,-5.641482,0.069361,0.997595,0.098497,0.5131,8.909551,0.010388,874,1,0,874,1
2,2,25,720,-304,719,-2.866136,-5.750150,0.189391,0.982119,-0.002682,0.4048,7.865627,0.007984,720,1,0,720,1
2,2,26,913,-111,912,0.427602,-5.858819,0.003236,0.918397,0.027419,0.4269,4.776521,0.005739,166,0,2,314,0
2,2,27,276,276,275,0.289473,-5.967487,-0.026225,0.927961,-0.223719,0.2861,5.954118,0.008664,602,0,0,602,0
2,2,28,676,-348,675,0.366068,-6.076156,0.159039,0.989273,0.001589,0.3642,8.733076,0.002924,676,1,46,7,0
2,2,29,332,332,331,0.114231,-6.184824,0.015870,0.953386,0.005317,0.3824,6.074509,0.003553,885,0,28,610,0
2,2,30,123,123,122,-0.204414,-6.293492,-0.194107,0.951459,0.054448,0.4341,6.250746,0.003689,259,0,30,775,0
2,2,31,268,268,267,0.081469,-6.402161,0.200444,0.981748,0.001458,0.3815,7.660523,0.007463,912,0,0,912,0
2,2,32,768,-256,767,0.081207,-6.510829,0.308850,0.959781,0.101085,0.5184,9.425021,0.011845,768,1,0,768,1
2,2,33,138,138,137,-0.340745,-6.619497,-0.004433,0.926096,-0.207443,0.2947,5.817307,0.008993,581,0,0,581,0
2,2,34,93,93,92,-0.965947,-6.728166,-0.520966,0.887238,-0.183315,0.2967,9.716901,0.011832,93,1,0,93,1
3,3,0,258,258,257,-2.968759,1.864963,1.449464,1.000000,0.156593,0.5685,7.804935,0.007939,258,1,0,222,0
3,3,1,306,306,305,-2.903530,1.830405,0.099786,0.995025,0.143073,0.5510,7.114029,0.006607,306,1,0,711,0
3,3,2,65,65,64,0.106861,1.795848,2.945162,1.000000,0.047301,0.4560,6.779213,0.005796,65,1,0,871,0
3,3,3,50,50,49,2.198528,1.761290,0.437238,0.896655,-0.000693,0.3592,6.895900,0.007263,718,0,0,718,0
3,3,4,834,-190,833,1.241218,1.726732,-0.485515,0.901770,-0.162629,0.2457,7.592823,0.007466,834,1,0,107,0
3,3,5,468,468,467,0.517003,1.692174,-1.763518,1.000000,0.278223,0.6914,8.584724,0.008785,468,1,0,468,1
3,3,6,89,89,88,0.558732,1.657617,-0.053325,0.998579,0.475219,0.7169,9.421202,0.011650,89,1,0,89,1
3,3,7,713,-311,712,0.388221,1.623059,-0.212240,0.977562,0.259349,0.6651,8.790604,0.009799,713,1,0,713,1
3,3,8,432,432,431,1.358202,1.588501,-0.230299,0.956120,0.032675,0.4166,6.752374,0.007147,865,0,0,865,0
3,3,9,80,80,79,1.493905,1.553943,-0.060039,0.903707,-0.038626,0.3084,4.882784,0.008219,492,0,0,492,0
3,3,10,472,472,471,1.635898,1.519386,0.116512,0.916865,0.388764,0.6879,6.245547,0.010287,765,0,0,765,0
3,3,11,796,-228,795,2.571854,1.484828,2.282097,1.000000,0.228559,0.6410,7.943303,0.008301,796,1,0,1023,0
3,3,12,815,-209,814,-1.435222,1.450270,2.073603,1.000000,0.153070,0.5654,7.892840,0.008235,815,1,0,597,0
3,3,13,375,375,374,1.324297,1.415713,-0.091415,0.957546,0.036770,0.4481,6.597054,0.007522,264,0,0,562,0
3,3,14,528,-496,527,1.333797,1.381155,-0.047358,0.911789,0.345224,0.6884,5.733782,0.010575,478,0,0,478,0
3,3,15,638,-386,637,1.652147,1.346597,0.305550,0.960630,-0.330645,0.2786,7.475790,0.007396,638,1,0,267,0
3,3,16,654,-370,653,1.602315,1.312039,0.290276,0.900543,-0.051425,0.2278,7.584370,0.012496,917,0,0,917,0
3,3,17,656,-368,655,-2.203684,1.277482,3.044258,1.000000,0.535128,0.7194,9.846253,0.012919,656,1,0,656,1
3,3,18,447,447,446,1.220965,1.242924,-0.021959,0.923306,0.383512,0.7183,6.806324,0.012195,889,0,0,889,0
3,3,19,635,-389,634,1.357971,1.208366,0.149605,0.904622,0.434480,0.6693,7.386553,0.016370,510,0,0,510,0
3,3,20,860,-164,859,2.974614,1.173808,0.178536,0.984105,0.436439,0.7097,8.928368,0.010709,860,1,0,860,1
3,3,21,212,212,211,0.780223,1.139251,-0.359027,0.911057,0.218341,0.6267,7.038585,0.009090,553,0,0,553,0
3,3,22,823,-201,822,-0.434898,1.104693,-2.609154,1.000000,0.047374,0.4563,7.084030,0.005953,823,1,0,629,0
3,3,23,759,-265,758,1.585699,1.070135,2.502409,1.000000,0.309843,0.7154,9.084693,0.010261,759,1,0,759,1
3,3,24,874,-150,873,1.655715,1.035577,0.551827,0.851568,0.101257,0.4580,9.121258,0.010775,874,1,0,874,1
3,3,25,631,-393,630,1.086421,1.001020,0.085401,0.920730,0.025292,0.3738,4.990411,0.006470,524,0,0,720,0
3,3,26,361,361,360,1.017014,0.966462,0.050553,0.965931,0.032933,0.4433,6.385812,0.006878,314,0,0,314,0
3,3,27,203,203,202,0.799915,0.931904,-0.131989,0.898931,0.230647,0.6440,5.475664,0.010350,602,0,0,602,0
3,3,28,643,-381,642,0.820091,0.897346,-0.077256,0.919319,-0.224930,0.1572,6.932834,0.012479,7,0,0,7,0
3,3,29,250,250,249,0.953448,0.862789,0.090660,0.881468,-0.025032,0.1943,4.779468,0.012460,610,0,0,610,0
3,3,30,778,-246,777,-1.066512,0.828231,-0.065042,0.997886,0.187398,0.6014,8.923663,0.009868,778,1,0,778,1
3,3,31,448,448,447,0.708049,0.793673,-0.085624,0.914980,0.190425,0.6047,5.902553,0.009872,431,0,0,897,0
3,3,32,343,343,342,-2.821083,0.759115,-1.301595,1.000000,0.164942,0.5755,7.307346,0.007064,343,1,0,740,0
3,3,33,48,48,47,0.817665,0.724558,0.093107,0.899883,0.289616,0.6613,5.237227,0.009829,590,0,0,590,0
3,3,34,966,-58,965,0.612136,0.690000,-0.077864,0.883180,0.225779,0.5511,5.015601,0.013761,930,0,0,930,0
