packet_index,event_index,symbol_index,selected_bin,signed_bin,symbol_value,phase_at_bin,phase_predicted,phase_residual_rad,phase_score,margin,confidence,amplitude,energy_ratio,argmax_bin,argmax_is_selected,rank_by_amp,gt_bin,is_correct
1,1,0,222,222,221,-0.290347,-0.451125,0.160777,0.987103,-0.008537,0.4056,13.180850,0.007181,222,1,0,222,1
1,1,1,1007,-17,1006,-1.868881,-0.223140,-1.645741,1.000000,0.112301,0.5231,13.091924,0.007173,1007,1,0,826,0
1,1,2,637,-387,636,-0.238525,-3.447415,-3.074296,1.000000,0.102044,0.5149,14.659594,0.008600,637,1,0,922,0
1,1,3,841,-183,840,0.435867,-0.279371,0.715238,0.754937,-0.198253,0.3120,12.439450,0.006708,841,1,0,718,0
1,1,4,989,-35,988,-1.435489,1.110259,-2.545749,1.000000,0.263774,0.6755,13.850984,0.007801,989,1,0,107,0
1,1,5,880,-144,879,1.030513,-0.761097,1.791610,1.000000,0.092389,0.5036,13.377249,0.007486,880,1,0,468,0
1,1,6,921,-103,920,1.336362,1.704906,-0.368544,0.932853,0.039940,0.4240,13.098110,0.007307,921,1,0,89,0
1,1,7,909,-115,908,1.036252,1.642211,-0.605959,0.821956,-0.170565,0.3384,12.693031,0.006426,909,1,0,713,0
1,1,8,434,434,433,-0.298261,1.342101,-1.640362,1.000000,0.015686,0.4261,12.572315,0.006910,434,1,0,865,0
1,1,9,615,-409,614,-2.656180,-0.598371,-2.057809,1.000000,0.134783,0.5441,11.980129,0.006183,615,1,0,492,0
1,1,10,858,-166,857,-1.961415,-3.990694,2.029279,1.000000,0.056060,0.4674,13.296575,0.007547,858,1,0,765,0
1,1,11,975,-49,974,2.336872,-3.295928,-0.650385,0.795851,0.015448,0.3445,12.750262,0.007161,975,1,0,1023,0
1,1,12,607,-417,606,0.313856,0.351974,-0.038118,0.999274,0.096795,0.5076,13.193747,0.007386,607,1,0,597,0
1,1,13,34,34,33,2.829796,-1.671042,-1.782347,1.000000,0.056089,0.4657,12.524781,0.006387,34,1,0,562,0
1,1,14,288,288,287,-1.746725,0.844898,-2.591623,1.000000,0.056303,0.4660,12.331704,0.006458,288,1,0,478,0
1,1,15,615,-409,614,-2.835838,-0.040061,-2.795777,1.000000,0.068087,0.4791,13.145490,0.007356,615,1,0,267,0
1,1,16,950,-74,949,0.078930,-1.129174,1.208104,0.354793,-0.570512,0.1519,12.900212,0.006625,950,1,0,917,0
