stage,symbol_index,phase,amp,raw_bin,start_sample,sample_offset,reference,front_grid,phase_unwrap,target_snr_db,packet_index,dataset
preamble,0.0,2.812922128761732,5.52269302922527,0,15938527,2,downchirp_cfo_corrected,fine_payload_backtrack,2.812922128761732,-22.0,10,0_0_0_10_14_16
preamble,1.0,2.852629611143557,9.814045585118519,0,15942623,2,downchirp_cfo_corrected,fine_payload_backtrack,2.852629611143557,-22.0,10,0_0_0_10_14_16
preamble,2.0,-3.110730205308469,4.031335836878072,0,15946719,2,downchirp_cfo_corrected,fine_payload_backtrack,3.172455101871117,-22.0,10,0_0_0_10_14_16
preamble,3.0,3.0048239824531398,11.434874457705176,0,15950815,2,downchirp_cfo_corrected,fine_payload_backtrack,3.0048239824531398,-22.0,10,0_0_0_10_14_16
preamble,4.0,2.843018944737341,6.3377501909257195,0,15954911,2,downchirp_cfo_corrected,fine_payload_backtrack,2.843018944737341,-22.0,10,0_0_0_10_14_16
preamble,5.0,2.893825933826081,10.651129076461434,0,15959007,2,downchirp_cfo_corrected,fine_payload_backtrack,2.893825933826081,-22.0,10,0_0_0_10_14_16
preamble,6.0,2.749263585878628,8.396670426458545,0,15963103,2,downchirp_cfo_corrected,fine_payload_backtrack,2.749263585878628,-22.0,10,0_0_0_10_14_16
preamble,7.0,2.7728245597155765,7.160568090992589,0,15967199,2,downchirp_cfo_corrected,fine_payload_backtrack,2.7728245597155765,-22.0,10,0_0_0_10_14_16
preamble,8.0,2.8724294134860346,7.553174295407011,0,15971295,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8724294134860346,-22.0,10,0_0_0_10_14_16
preamble,9.0,2.8487884878671355,8.904338604397017,0,15975391,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8487884878671355,-22.0,10,0_0_0_10_14_16
preamble,10.0,-2.8002277583654567,9.00016659732922,0,15979487,2,downchirp_cfo_corrected,fine_payload_backtrack,3.4829575488141296,-22.0,10,0_0_0_10_14_16
preamble,11.0,2.6260269790886572,9.586343641201083,0,15983583,2,downchirp_cfo_corrected,fine_payload_backtrack,2.6260269790886572,-22.0,10,0_0_0_10_14_16
preamble,12.0,2.699426236447672,7.650090565080036,0,15987679,2,downchirp_cfo_corrected,fine_payload_backtrack,2.699426236447672,-22.0,10,0_0_0_10_14_16
preamble,13.0,3.1143467938060523,7.356866934869545,0,15991775,2,downchirp_cfo_corrected,fine_payload_backtrack,3.1143467938060523,-22.0,10,0_0_0_10_14_16
preamble,14.0,2.5026358084941833,7.658862705451239,0,15995871,2,downchirp_cfo_corrected,fine_payload_backtrack,2.5026358084941833,-22.0,10,0_0_0_10_14_16
preamble,15.0,2.559326674005331,6.476716695406472,0,15999967,2,downchirp_cfo_corrected,fine_payload_backtrack,2.559326674005331,-22.0,10,0_0_0_10_14_16
sync_word,16.0,2.8887156442257114,3.718891406157883,24,16004063,2,downchirp_cfo_corrected,fine_payload_backtrack,2.8887156442257114,-22.0,10,0_0_0_10_14_16
sync_word,17.0,2.282764481493629,7.163581781101517,32,16008159,2,downchirp_cfo_corrected,fine_payload_backtrack,2.282764481493629,-22.0,10,0_0_0_10_14_16
sfd,18.0,-3.101426613487773,9.500202718984083,977,16012255,2,sfd_cfo_corrected_upchirp_clean_locked_bin,fine_payload_backtrack,3.181758693691813,-22.0,10,0_0_0_10_14_16
sfd,19.0,-3.1244814889224637,6.075489148364721,977,16016351,2,sfd_cfo_corrected_upchirp_clean_locked_bin,fine_payload_backtrack,3.1587038182571225,-22.0,10,0_0_0_10_14_16
header,20.25,-1.2179239753441822,12.242465242476449,301,16021471,2,downchirp_cfo_corrected,fine_payload_backtrack,5.065261331835404,-22.0,10,0_0_0_10_14_16
header,21.25,-1.1951540831262641,6.455564477656291,653,16025567,2,downchirp_cfo_corrected,fine_payload_backtrack,5.0880312240533225,-22.0,10,0_0_0_10_14_16
header,22.25,-0.6813355749827814,9.018575522404275,61,16029663,2,downchirp_cfo_corrected,fine_payload_backtrack,5.601849732196805,-22.0,10,0_0_0_10_14_16
header,23.25,-1.5983552895077708,13.533521306594025,81,16033759,2,downchirp_cfo_corrected,fine_payload_backtrack,4.684830017671816,-22.0,10,0_0_0_10_14_16
header,24.25,-1.3043253579406826,11.910189727248753,845,16037855,2,downchirp_cfo_corrected,fine_payload_backtrack,4.978859949238903,-22.0,10,0_0_0_10_14_16
