stage,symbol_index,phase,amp,raw_bin,start_sample,sample_offset,reference,front_grid,phase_unwrap,target_snr_db,packet_index,dataset
preamble,0.0,-1.120567914460166,26.699658297021692,0,15938627,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-1.120567914460166,-22.0,10,0_0_0_10_14_16
preamble,1.0,2.5965696699170113,28.131276048852033,0,15942723,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-3.686615637262575,-22.0,10,0_0_0_10_14_16
preamble,2.0,-0.22034503629099766,26.35548990291149,0,15946819,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-6.503530343470584,-22.0,10,0_0_0_10_14_16
preamble,3.0,-2.9939450103589644,37.94321870514052,0,15950915,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-9.27713031753855,-22.0,10,0_0_0_10_14_16
preamble,4.0,0.3479181237894484,28.833200384302835,0,15955011,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-12.218452490569724,-22.0,10,0_0_0_10_14_16
preamble,5.0,-2.2850393862899714,32.722789116686535,0,15959107,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-14.851410000649144,-22.0,10,0_0_0_10_14_16
preamble,6.0,1.334844574074208,31.67282954568183,0,15963203,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-17.51471134746455,-22.0,10,0_0_0_10_14_16
preamble,7.0,-1.501592752286717,30.994147982051967,0,15967299,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-20.351148673825477,-22.0,10,0_0_0_10_14_16
preamble,8.0,2.2392877233165014,27.527138344335228,0,15971395,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-22.893453505401844,-22.0,10,0_0_0_10_14_16
preamble,9.0,-0.8904560406369715,29.458294986447207,0,15975491,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-26.023197269355315,-22.0,10,0_0_0_10_14_16
preamble,10.0,2.847087490242214,28.2145759634944,0,15979587,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-28.568839045655718,-22.0,10,0_0_0_10_14_16
preamble,11.0,-0.14896347845887947,32.42597882162664,0,15983683,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-31.56489001435681,-22.0,10,0_0_0_10_14_16
preamble,12.0,-2.9769110526535947,34.972682463380664,0,15987779,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-34.39283758855153,-22.0,10,0_0_0_10_14_16
preamble,13.0,0.8110069218169594,30.64000087607415,0,15991875,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-36.888104921260556,-22.0,10,0_0_0_10_14_16
preamble,14.0,-2.3892390369858996,32.239422888836096,0,15995971,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-33.80516557288383,-22.0,10,0_0_0_10_14_16
preamble,15.0,1.0934743232708235,36.24483075527218,0,16000067,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-36.60563751980669,-22.0,10,0_0_0_10_14_16
sync_word,16.0,1.8422992613665077,25.33557229774042,24,16004163,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-35.85681258171101,-22.0,10,0_0_0_10_14_16
sync_word,17.0,0.11512284919953777,25.16824844719772,32,16008259,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-37.58398899387798,-22.0,10,0_0_0_10_14_16
sfd,18.0,-0.8502364799896907,33.74577960996267,4049,16012355,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-32.26616301588762,-22.0,10,0_0_0_10_14_16
sfd,19.0,2.404293663370784,30.625505232978504,4049,16016451,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-35.29481817970673,-22.0,10,0_0_0_10_14_16
preamble,0.0,-1.116135150328062,26.390585092833295,0,15938627,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-1.116135150328062,-23.0,10,0_0_0_10_14_16
preamble,1.0,2.6190734273467626,28.073251093566526,0,15942723,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-3.6641118798328236,-23.0,10,0_0_0_10_14_16
preamble,2.0,-0.20771875143333962,26.07529285602687,0,15946819,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-6.490904058612926,-23.0,10,0_0_0_10_14_16
preamble,3.0,-2.9872403171252193,39.04114391037649,0,15950915,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-9.270425624304806,-23.0,10,0_0_0_10_14_16
preamble,4.0,0.33451652685543065,28.847308484622605,0,15955011,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-12.231854087503741,-23.0,10,0_0_0_10_14_16
preamble,5.0,-2.2822162760521607,33.10512578522608,0,15959107,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-14.848586890411333,-23.0,10,0_0_0_10_14_16
preamble,6.0,1.3486204174752037,31.90605628744005,0,15963203,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-17.500935504063555,-23.0,10,0_0_0_10_14_16
preamble,7.0,-1.4969072443754607,31.269717936214434,0,15967299,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-20.34646316591422,-23.0,10,0_0_0_10_14_16
preamble,8.0,2.275319903696762,27.61532271073029,0,15971395,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-22.857421325021583,-23.0,10,0_0_0_10_14_16
preamble,9.0,-0.9005774161350859,29.4023847867117,0,15975491,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-19.750133337673844,-23.0,10,0_0_0_10_14_16
preamble,10.0,2.867250095152609,28.024163321161097,0,15979587,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-22.265491133565735,-23.0,10,0_0_0_10_14_16
preamble,11.0,-0.154533009435443,32.68305378285687,0,15983683,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-25.28727423815379,-23.0,10,0_0_0_10_14_16
preamble,12.0,-2.9848504103964624,35.491546121817564,0,15987779,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-28.117591639114806,-23.0,10,0_0_0_10_14_16
preamble,13.0,0.8373696087525409,30.77527513642835,0,15991875,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-30.57855692714539,-23.0,10,0_0_0_10_14_16
preamble,14.0,-2.41161792539704,32.52497584955943,0,15995971,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-27.544359154115384,-23.0,10,0_0_0_10_14_16
preamble,15.0,1.0751360775601126,36.99387155677323,0,16000067,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-30.340790458337818,-23.0,10,0_0_0_10_14_16
sync_word,16.0,1.8302297392195737,24.795436987852963,24,16004163,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-29.585696796678356,-23.0,10,0_0_0_10_14_16
sync_word,17.0,0.09628347002740224,24.625010820052243,32,16008259,0,frame_sync_raw_downchirp_ref,frame_sync_raw,-31.31964306587053,-23.0,10,0_0_0_10_14_16
sfd,18.0,-0.8352897792854533,34.10009426455467,4049,16012355,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-25.9680310080038,-23.0,10,0_0_0_10_14_16
sfd,19.0,2.3953495313008433,30.720129994820617,4049,16016451,0,frame_sync_raw_upchirp_ref,frame_sync_raw,-29.020577004597087,-23.0,10,0_0_0_10_14_16
