stage,symbol_index,phase,amp,raw_bin,start_sample,sample_offset,reference,front_grid,phase_unwrap,target_snr_db,packet_index,dataset
preamble,0.0,0.17039775606295682,1.524379754725867,0,15938627,2,downchirp_cfo_corrected,synced_preamble,0.17039775606295682,-22.0,10,0_0_0_10_14_16
preamble,1.0,2.9083328615975264,2.3047242977443836,0,15942723,2,downchirp_cfo_corrected,synced_preamble,2.9083328615975264,-22.0,10,0_0_0_10_14_16
preamble,2.0,0.6608238082016535,3.2711944405799196,0,15946819,2,downchirp_cfo_corrected,synced_preamble,0.6608238082016535,-22.0,10,0_0_0_10_14_16
preamble,3.0,-1.241061752925516,5.361519799132427,0,15950915,2,downchirp_cfo_corrected,synced_preamble,-1.241061752925516,-22.0,10,0_0_0_10_14_16
preamble,4.0,-0.14686494079369314,4.5762194320667895,0,15955011,2,downchirp_cfo_corrected,synced_preamble,-0.14686494079369314,-22.0,10,0_0_0_10_14_16
preamble,5.0,-1.3091396218231586,3.079952478739048,0,15959107,2,downchirp_cfo_corrected,synced_preamble,-1.3091396218231586,-22.0,10,0_0_0_10_14_16
preamble,6.0,-0.9167853817299053,2.114424989272172,0,15963203,2,downchirp_cfo_corrected,synced_preamble,-0.9167853817299053,-22.0,10,0_0_0_10_14_16
preamble,7.0,-1.9016726053341102,4.309391524793173,0,15967299,2,downchirp_cfo_corrected,synced_preamble,-1.9016726053341102,-22.0,10,0_0_0_10_14_16
preamble,8.0,-1.181932743169405,2.421573549536925,0,15971395,2,downchirp_cfo_corrected,synced_preamble,-1.181932743169405,-22.0,10,0_0_0_10_14_16
preamble,9.0,2.348319999012184,2.643787631265964,0,15975491,2,downchirp_cfo_corrected,synced_preamble,-3.934865308167402,-22.0,10,0_0_0_10_14_16
preamble,10.0,0.25796965514920805,5.5168174859868415,0,15979587,2,downchirp_cfo_corrected,synced_preamble,-6.025215652030378,-22.0,10,0_0_0_10_14_16
preamble,11.0,-1.1265846263498664,3.870726260763225,0,15983683,2,downchirp_cfo_corrected,synced_preamble,-7.409769933529453,-22.0,10,0_0_0_10_14_16
preamble,12.0,0.8669173940926199,2.5890240695146387,0,15987779,2,downchirp_cfo_corrected,synced_preamble,-5.416267913086966,-22.0,10,0_0_0_10_14_16
preamble,13.0,-2.692865406600431,1.4366164565019839,0,15991875,2,downchirp_cfo_corrected,synced_preamble,-2.692865406600431,-22.0,10,0_0_0_10_14_16
preamble,14.0,2.795291444593523,4.072439800120095,0,15995971,2,downchirp_cfo_corrected,synced_preamble,-3.487893862586063,-22.0,10,0_0_0_10_14_16
preamble,15.0,-1.0361195636976839,2.5334515780705984,0,16000067,2,downchirp_cfo_corrected,synced_preamble,-1.0361195636976839,-22.0,10,0_0_0_10_14_16
sync_word,16.0,0.7186076154122432,2.6116876278252685,24,16004163,2,downchirp_cfo_corrected,synced_preamble,0.7186076154122432,-22.0,10,0_0_0_10_14_16
sync_word,17.0,1.8651569302015865,3.694249380978023,32,16008259,2,downchirp_cfo_corrected,synced_preamble,1.8651569302015865,-22.0,10,0_0_0_10_14_16
sfd,18.0,1.1185571557486833,10.379332063973383,736,16012355,2,upchirp_peak_for_sfd_downchirp,synced_preamble,1.1185571557486833,-22.0,10,0_0_0_10_14_16
sfd,19.0,-1.9005101049627275,9.34298790400438,960,16016451,2,upchirp_peak_for_sfd_downchirp,synced_preamble,-1.9005101049627275,-22.0,10,0_0_0_10_14_16
header,20.25,-1.2179239753441822,12.242465242476449,301,16021471,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.2179239753441822,-22.0,10,0_0_0_10_14_16
header,21.25,-1.1951540831262641,6.455564477656291,653,16025567,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.1951540831262641,-22.0,10,0_0_0_10_14_16
header,22.25,-0.6813355749827814,9.018575522404275,61,16029663,2,downchirp_cfo_corrected,header_first_symbol_csv,-0.6813355749827814,-22.0,10,0_0_0_10_14_16
header,23.25,-1.5983552895077708,13.533521306594025,81,16033759,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.5983552895077708,-22.0,10,0_0_0_10_14_16
header,24.25,-1.3043253579406826,11.910189727248753,845,16037855,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.3043253579406826,-22.0,10,0_0_0_10_14_16
header,25.25,-0.9315689493169075,8.397171603423915,825,16041951,2,downchirp_cfo_corrected,header_first_symbol_csv,-0.9315689493169075,-22.0,10,0_0_0_10_14_16
header,26.25,-1.600918646577582,10.504924746790188,729,16046047,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.600918646577582,-22.0,10,0_0_0_10_14_16
header,27.25,-1.7448598898408878,8.620586516464389,345,16050143,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.7448598898408878,-22.0,10,0_0_0_10_14_16
payload_gt,28.25,-1.775146788814446,8.614255327814663,803,16054239,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.775146788814446,-22.0,10,0_0_0_10_14_16
payload_gt,29.25,-2.19848874073122,11.961321570972665,826,16058335,2,downchirp_cfo_corrected,header_first_symbol_csv,-2.19848874073122,-22.0,10,0_0_0_10_14_16
payload_gt,30.25,-1.9892971234510448,9.874956736263995,922,16062431,2,downchirp_cfo_corrected,header_first_symbol_csv,-1.9892971234510448,-22.0,10,0_0_0_10_14_16
