file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,anchor_grid,payload_cfo_correction_mode,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count,payload_phase_offset_rad,payload_phase_offset_pi,payload_residual_direct_rmse_pi,payload_residual_direct_std_pi,payload_residual_aligned_rmse_pi,payload_residual_aligned_std_pi,payload_residual_aligned_peak_to_peak_pi,payload_own_slope_pi_per_symbol,payload_own_fit_r2,payload_own_fit_rmse_pi,preamble_payload_slope_delta_pi_per_symbol,payload_argmax_correct_rate,payload_gt_top8_recall,payload_gt_top16_recall,payload_gt_top32_recall,payload_mean_gt_rank,payload_mean_gt_er
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,1,1,16,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,payload_backtrack,continuous,-0.004264119327609106,0.9489970630847226,0.016796933045700957,0.1503887790555863,0.1503887790555863,0.5678160772307695,bin0,0,0,0.125,0.003422899336734578,0.6487888175291217,35,2.371001397949216,0.7547131851228235,0.6541018566819525,0.6427785972342913,0.48432752001183926,0.48430211725005523,1.8504823527464758,-0.05011118063400525,0.799513584789619,0.25343364649924854,-0.045847061306396146,0.08571428571428572,0.2571428571428571,0.3142857142857143,0.4,215.94285714285715,0.003184016538254998
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,2,2,16,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,payload_backtrack,continuous,-0.01226065942404641,0.5577506478997052,0.13101005958841572,0.14556211204745548,0.14556211204745548,0.5329421909423573,bin0,0,0,0.0625,0.0027563859689545963,0.546657837021275,35,1.294054712851506,0.41191040836336085,0.5533720021801933,0.5393014676049539,0.4972968518785353,0.49425264793147966,1.8678491239068142,-0.09861430019401136,0.9509225631788927,0.22626029195825376,-0.08635364076996496,0.05714285714285714,0.2,0.34285714285714286,0.42857142857142855,222.88571428571427,0.0029638567683581674
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,3,3,16,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,payload_backtrack,continuous,-0.008380389775406796,-0.07655844956552052,0.10366351191153922,0.11359684370581158,0.11359684370581158,0.48142605027854757,bin0,0,0,0.0625,0.003426778297628297,0.5922970418964314,35,0.8856417739310265,0.2819085322595955,0.5223662562419124,0.516480012323214,0.5084886645616197,0.5074628920491201,1.9361505830971188,-0.08542458606260085,0.7312445208020873,0.5230344802347195,-0.07704419628719406,0.05714285714285714,0.2857142857142857,0.4857142857142857,0.5142857142857142,103.45714285714286,0.0036974491676794873
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,5,5,16,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,payload_backtrack,continuous,-0.01816208866595024,0.8681650964821633,0.08544037621763789,0.27391744670914664,0.27391744670914664,1.1753406976950638,bin0,0,0,0.1875,0.003989477015041881,0.5339060916462401,35,1.180784161275397,0.3758552719831944,0.5348411189111718,0.5249173104113226,0.49986979307988744,0.4978642790750657,1.7908088251916285,-0.11455204234167929,0.958856839208939,0.2396485821210084,-0.09638995367572906,0.02857142857142857,0.4,0.4,0.4857142857142857,134.8,0.0035089454300837
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,6,6,16,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,payload_backtrack,continuous,-0.009869577009074714,0.7703612754072499,0.06139818936148822,0.17788565166145046,0.17788565166145046,0.7550707235575341,bin0,0,0,0.1875,0.003509681924351566,0.704361721994086,35,0.9009115208800699,0.2867690436730008,0.5453932421877187,0.5355154704554987,0.511107911609845,0.5109667621196488,1.8565172834089483,-0.10519868400463316,0.8874474153256264,0.37837010435803803,-0.09532910699555844,0.08571428571428572,0.2857142857142857,0.34285714285714286,0.6,131.74285714285713,0.0037483094424003638
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,8,8,16,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,payload_backtrack,continuous,0.0032593695910560446,0.6693297501813524,0.008720687466843513,0.16019012369777488,0.16019012369777488,0.6666516928724828,bin0,0,0,0.0625,0.003967289985247129,0.5853198782497117,35,0.48950380596399956,0.15581390076293306,0.5386669209366383,0.5308739553124555,0.526833571496588,0.5267819431134023,1.874182474298004,-0.11438622374517389,0.9692946450987041,0.2056141329209028,-0.11764559333622994,0.08571428571428572,0.2857142857142857,0.42857142857142855,0.4857142857142857,109.62857142857143,0.003676263476644928
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,9,9,16,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,payload_backtrack,continuous,0.004613930676809826,-0.8207776449743774,0.007289208010365256,0.24821140447677092,0.24821140447677092,1.104300973583518,bin0,0,0,0.125,0.003835971135856778,0.5325896651480219,35,0.11843659535294121,0.037699539186790386,0.5232617782701838,0.5211430164133872,0.521226730256497,0.5211430164133872,1.7544523324731842,-0.11725685095001422,0.9515010322974059,0.26736215185112994,-0.12187078162682405,0.02857142857142857,0.2,0.2857142857142857,0.34285714285714286,214.42857142857142,0.0029197640315339482
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,10,10,16,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,payload_backtrack,continuous,-0.006454976049537079,0.9788277021903747,0.07992270004467705,0.10096042886445526,0.10096042886445526,0.36706485782894177,bin0,0,0,0.0625,0.0030747132515458664,0.40382988170548995,35,1.0694131479581757,0.3404047774100162,0.5431533392555246,0.5382767155467766,0.5188712639471627,0.5169922841700315,1.8352244668099174,-0.12682081653259517,0.9584028921858819,0.2668382851859141,-0.12036584048305808,0.08571428571428572,0.2571428571428571,0.3142857142857143,0.4,170.42857142857142,0.0035051884670261957
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,11,11,16,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,payload_backtrack,continuous,-0.0027079793485374464,0.4600261132230255,0.003912835765431999,0.19917172159789587,0.19917172159789587,0.8315731099806087,bin0,0,0,0.125,0.004138486589831463,0.46507186142891677,35,-0.5138502838207426,-0.16356362535848912,0.5518969822181593,0.5507077622836658,0.5417730897391255,0.5416154887839204,1.8722789239985906,-0.06631265080688394,0.328128499247063,0.9583355713942228,-0.06360467145834649,0.2,0.4,0.5714285714285714,0.7142857142857143,66.77142857142857,0.004981429239398885
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m25dB.bin,12,12,16,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,payload_backtrack,continuous,-0.013728590104310183,-0.9113012959818972,0.2611994536604484,0.10643461106726974,0.10643461106726974,0.34426992913471394,bin0,0,0,0.125,0.003711760495443437,0.4278284935271996,35,-1.0941234567393712,-0.34827031298572486,0.5495289748491831,0.5463254558561172,0.4963252521133853,0.4963142428244399,1.911810796488775,-0.1119082256468207,0.5439833847986213,1.0348076045998444,-0.09817963554251051,0.17142857142857143,0.4857142857142857,0.7142857142857143,0.7714285714285715,51.02857142857143,0.004875795024188701
