dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,-28.0,-26.673076923076923,1.3269230769230766,ok
0_0_0_10_14_16,selected,center,accuracy>=90%,-28.0,-26.673076923076923,1.3269230769230766,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,-26.02,-24.275,1.745000000000001,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,-26.24,-24.55,1.6899999999999977,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,-26.9,-25.375,1.5249999999999986,ok
0_0_0_10_14_16,multi,center,SER<=10%,-28.0,-26.673076923076923,1.3269230769230766,ok
0_0_0_10_14_16,multi,center,accuracy>=90%,-28.0,-26.673076923076923,1.3269230769230766,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,-27.03333333333333,-24.275,2.758333333333333,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,-27.4,-24.55,2.849999999999998,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,-28.0,-25.375,2.625,ok
0_0_0_10_14_16,selected,multi,SER<=10%,-28.0,-28.0,0.0,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-28.0,-28.0,0.0,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,-26.02,-27.03333333333333,-1.0133333333333319,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-26.24,-27.4,-1.1600000000000001,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-26.9,-28.0,-1.1000000000000014,ok
mean_of_datasets,selected,center,SER<=10%,-28.0,-26.673076923076923,1.3269230769230766,ok
mean_of_datasets,selected,center,accuracy>=90%,-28.0,-26.673076923076923,1.3269230769230766,ok
mean_of_datasets,selected,center,CRC/PRR>=90%,-26.02,-24.275,1.745000000000001,ok
mean_of_datasets,selected,center,CRC/PRR>=80%,-26.24,-24.55,1.6899999999999977,ok
mean_of_datasets,selected,center,CRC/PRR>=50%,-26.9,-25.375,1.5249999999999986,ok
mean_of_datasets,multi,center,SER<=10%,-28.0,-26.673076923076923,1.3269230769230766,ok
mean_of_datasets,multi,center,accuracy>=90%,-28.0,-26.673076923076923,1.3269230769230766,ok
mean_of_datasets,multi,center,CRC/PRR>=90%,-27.03333333333333,-24.275,2.758333333333333,ok
mean_of_datasets,multi,center,CRC/PRR>=80%,-27.4,-24.55,2.849999999999998,ok
mean_of_datasets,multi,center,CRC/PRR>=50%,-28.0,-25.375,2.625,ok
mean_of_datasets,selected,multi,SER<=10%,-28.0,-28.0,0.0,ok
mean_of_datasets,selected,multi,accuracy>=90%,-28.0,-28.0,0.0,ok
mean_of_datasets,selected,multi,CRC/PRR>=90%,-26.02,-27.03333333333333,-1.0133333333333319,ok
mean_of_datasets,selected,multi,CRC/PRR>=80%,-26.24,-27.4,-1.1600000000000001,ok
mean_of_datasets,selected,multi,CRC/PRR>=50%,-26.9,-28.0,-1.1000000000000014,ok
