dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,center,accuracy>=90%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,multi,center,SER<=10%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,multi,center,accuracy>=90%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,multi,SER<=10%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-22.0,-22.0,0.0,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,center,SER<=10%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,center,accuracy>=90%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,center,CRC/PRR>=90%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,center,CRC/PRR>=80%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,center,CRC/PRR>=50%,-22.0,-22.0,0.0,ok
mean_of_datasets,multi,center,SER<=10%,-22.0,-22.0,0.0,ok
mean_of_datasets,multi,center,accuracy>=90%,-22.0,-22.0,0.0,ok
mean_of_datasets,multi,center,CRC/PRR>=90%,-22.0,-22.0,0.0,ok
mean_of_datasets,multi,center,CRC/PRR>=80%,-22.0,-22.0,0.0,ok
mean_of_datasets,multi,center,CRC/PRR>=50%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,multi,SER<=10%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,multi,accuracy>=90%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,multi,CRC/PRR>=90%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,multi,CRC/PRR>=80%,-22.0,-22.0,0.0,ok
mean_of_datasets,selected,multi,CRC/PRR>=50%,-22.0,-22.0,0.0,ok
