dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selection_variant,savaux_codec_base_crc_valid,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_accepted_crc_min_beam_rank,savaux_codec_accepted_crc_max_beam_rank,savaux_codec_accepted_crc_best_evidence_margin,savaux_codec_selected_evidence_margin,savaux_codec_selected_is_earliest_accepted_crc,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_8,-22.0,0,0,0,33,35,0.5142857142857142,0.02857142857142857,0.0,0.0,0.0,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.0,0.0,0.0,0,0,1,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,current_selected
0_0_0_10_14_8,-22.0,1,1,1,33,35,0.3142857142857143,0.02857142857142857,0.0,0.0,0.0,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.0,0.0,0,1,1,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,current_selected
0_0_0_10_14_8,-22.0,2,2,2,33,35,0.5428571428571428,0.0,0.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.0,0.0,0.0,0,1,1,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,multi_offset_argmax
0_0_0_10_14_8,-22.0,3,3,3,33,35,0.4,0.02857142857142857,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0,0,1,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,current_selected
0_0_0_10_14_8,-22.0,4,4,4,33,35,0.42857142857142855,0.08571428571428572,0.02857142857142857,0.0,0.0,0.39999999999999997,0.42857142857142855,0.42857142857142855,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
0_0_0_10_14_8,-22.0,5,5,5,33,35,0.9142857142857143,0.5428571428571428,0.3142857142857143,0.02857142857142857,0.0,0.6,0.8857142857142857,0.9142857142857143,0.2857142857142857,0.3142857142857143,0.02857142857142857,0,0,0,0,1,1,beam,savaux_codec,1,0,2048,9,1,0,0,4.1534126990217795,4.1534126990217795,1,0,1.0,1.0285714285714285,1,1,0,savaux_codec
0_0_0_10_14_8,-22.0,6,6,6,33,35,0.6571428571428571,0.34285714285714286,0.11428571428571428,0.05714285714285714,0.0,0.5428571428571428,0.6,0.6571428571428571,0.05714285714285714,0.11428571428571428,0.05714285714285714,0,0,0,0,1,1,beam,savaux_codec,1,2,2048,1,1,2,2,4.9558353792881595,4.9558353792881595,1,0,1.0,1.1142857142857143,2,2,0,savaux_codec
0_0_0_10_14_8,-22.0,7,7,7,33,35,0.8571428571428571,0.37142857142857144,0.14285714285714285,0.05714285714285714,0.0,0.7142857142857142,0.7999999999999999,0.8571428571428571,0.08571428571428572,0.14285714285714285,0.05714285714285714,0,0,0,0,1,1,beam,savaux_codec,1,2,2048,11,1,2,2,1.6734783020430637,1.6734783020430637,1,0,1.0,1.0571428571428572,2,2,0,savaux_codec
0_0_0_10_14_8,-22.0,8,8,8,33,35,0.8,0.34285714285714286,0.14285714285714285,0.05714285714285714,0.0,0.6571428571428573,0.7428571428571429,0.8,0.08571428571428572,0.14285714285714285,0.05714285714285714,0,0,0,0,1,1,beam,savaux_codec,1,2,2048,5,1,2,2,1.8009676841382696,1.8009676841382696,1,0,1.0,1.0857142857142856,2,2,0,savaux_codec
0_0_0_10_14_8,-22.0,9,9,9,33,35,0.8,0.34285714285714286,0.08571428571428572,0.0,0.0,0.7142857142857143,0.8,0.8,0.08571428571428572,0.08571428571428572,0.0,0,0,0,1,1,1,savaux_hard_crc_preserved,savaux_hard_crc_preserved,1,-1,0,0,0,-1,-1,0.0,0.0,0,1,0.0,0.0,0,0,0,savaux_paper
