dataset,method,metric,threshold_snr_db,status
0_0_0_10_14_16,traditional_fft,SER<=10%,-18.03846153846154,interpolated
0_0_0_10_14_16,traditional_fft,accuracy>=90%,-18.038461538461537,interpolated
0_0_0_10_14_16,traditional_fft,CRC/PRR>=90%,-15.033333333333333,interpolated
0_0_0_10_14_16,traditional_fft,CRC/PRR>=80%,-15.4,interpolated
0_0_0_10_14_16,traditional_fft,CRC/PRR>=50%,-16.5,interpolated
0_0_0_10_14_16,multi_offset_argmax,SER<=10%,-21.26388888888889,interpolated
0_0_0_10_14_16,multi_offset_argmax,accuracy>=90%,-21.26388888888889,interpolated
0_0_0_10_14_16,multi_offset_argmax,CRC/PRR>=90%,-19.366666666666667,interpolated
0_0_0_10_14_16,multi_offset_argmax,CRC/PRR>=80%,-19.733333333333334,interpolated
0_0_0_10_14_16,multi_offset_argmax,CRC/PRR>=50%,-20.625,interpolated
0_0_0_10_14_16,current_selected,SER<=10%,-22.544117647058822,interpolated
0_0_0_10_14_16,current_selected,accuracy>=90%,-22.544117647058822,interpolated
0_0_0_10_14_16,current_selected,CRC/PRR>=90%,-20.025,interpolated
0_0_0_10_14_16,current_selected,CRC/PRR>=80%,-20.3,interpolated
0_0_0_10_14_16,current_selected,CRC/PRR>=50%,-21.25,interpolated
0_0_0_10_14_16,savaux_paper,SER<=10%,-23.704545454545453,interpolated
0_0_0_10_14_16,savaux_paper,accuracy>=90%,-23.704545454545453,interpolated
0_0_0_10_14_16,savaux_paper,CRC/PRR>=90%,-21.275,interpolated
0_0_0_10_14_16,savaux_paper,CRC/PRR>=80%,-21.55,interpolated
0_0_0_10_14_16,savaux_paper,CRC/PRR>=50%,-22.3,interpolated
0_0_0_10_14_32,traditional_fft,SER<=10%,-13.25,interpolated
0_0_0_10_14_32,traditional_fft,accuracy>=90%,-13.25,interpolated
0_0_0_10_14_32,traditional_fft,CRC/PRR>=90%,,all_fail
0_0_0_10_14_32,traditional_fft,CRC/PRR>=80%,-14.4,interpolated
0_0_0_10_14_32,traditional_fft,CRC/PRR>=50%,-16.5,interpolated
0_0_0_10_14_32,multi_offset_argmax,SER<=10%,-15.9375,interpolated
0_0_0_10_14_32,multi_offset_argmax,accuracy>=90%,-15.9375,interpolated
