dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,savaux_codec_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_codec_gain_vs_traditional_fft,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,savaux_codec_crc_valid,savaux_codec_success,savaux_codec_selected_source,savaux_codec_selection_variant,savaux_codec_base_crc_valid,savaux_codec_selected_beam_rank,savaux_codec_candidate_payload_count,savaux_codec_observed_crc_valid_count,savaux_codec_accepted_crc_valid_count,savaux_codec_selected_source_is_argmax_fallback,savaux_codec_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_symbol_change_count,savaux_codec_symbol_fix_count,savaux_codec_symbol_break_count,winner_by_symbol_ser
0_0_0_10_14_16,-25.0,1,0,1,33,35,0.9142857142857143,0.8,0.5428571428571428,0.2,0.2,0.37142857142857144,0.7142857142857142,0.7142857142857142,0.3428571428571428,0.3428571428571428,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,1.0,4.4,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,2,1,2,33,35,0.9428571428571428,0.6285714285714286,0.45714285714285713,0.2857142857142857,0.2857142857142857,0.4857142857142857,0.6571428571428571,0.6571428571428571,0.17142857142857143,0.17142857142857143,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,0.9428571428571428,11.4,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,3,2,3,33,35,0.9428571428571428,0.7714285714285715,0.6285714285714286,0.4,0.4,0.3142857142857143,0.5428571428571428,0.5428571428571428,0.22857142857142854,0.22857142857142854,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,0.9714285714285714,5.4,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,5,3,5,33,35,0.9714285714285714,0.6857142857142857,0.45714285714285713,0.2571428571428571,0.2571428571428571,0.5142857142857142,0.7142857142857143,0.7142857142857143,0.2,0.2,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,0.9714285714285714,5.457142857142857,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,6,4,6,33,35,0.9142857142857143,0.8,0.5428571428571428,0.34285714285714286,0.34285714285714286,0.37142857142857144,0.5714285714285714,0.5714285714285714,0.19999999999999996,0.19999999999999996,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,1.0,3.5714285714285716,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,8,5,8,33,35,0.9142857142857143,0.5428571428571428,0.37142857142857144,0.17142857142857143,0.17142857142857143,0.5428571428571428,0.7428571428571429,0.7428571428571429,0.2,0.2,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,1.0,1.9142857142857144,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,9,6,9,33,35,0.9714285714285714,0.6,0.5142857142857142,0.2571428571428571,0.2571428571428571,0.4571428571428572,0.7142857142857143,0.7142857142857143,0.2571428571428571,0.2571428571428571,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,1.0,2.942857142857143,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,10,7,10,33,35,0.9142857142857143,0.7142857142857143,0.45714285714285713,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.6857142857142857,0.6857142857142857,0.22857142857142856,0.22857142857142856,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,1.0,2.257142857142857,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,11,8,11,33,35,0.8,0.6285714285714286,0.34285714285714286,0.08571428571428572,0.0,0.4571428571428572,0.7142857142857143,0.8,0.2571428571428571,0.34285714285714286,0.08571428571428572,0,0,0,0,1,1,beam,savaux_codec,1,5,2048,1,1,0,1.0,1.1142857142857143,3,3,0,savaux_codec
0_0_0_10_14_16,-25.0,12,9,12,33,35,0.8285714285714286,0.37142857142857144,0.22857142857142856,0.14285714285714285,0.14285714285714285,0.6000000000000001,0.6857142857142857,0.6857142857142857,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,1,argmax_fallback,savaux_codec,0,-1,2048,0,0,1,1.0,1.2857142857142858,0,0,0,savaux_paper
0_0_0_10_14_16,-25.0,13,10,13,33,35,0.9142857142857143,0.5428571428571428,0.2571428571428571,0.14285714285714285,0.0,0.6571428571428571,0.7714285714285714,0.9142857142857143,0.11428571428571427,0.2571428571428571,0.14285714285714285,0,0,0,0,1,1,beam,savaux_codec,1,606,2048,1,1,0,1.0,2.6,5,5,0,savaux_codec
