dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,structured_path_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,structured_gain_vs_traditional_fft,savaux_gain_vs_current,structured_gain_vs_current,structured_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,structured_path_crc_valid,path_override_count,path_fix_count,path_break_count,mean_path_ratio,mode_best_path_name,winner_by_symbol_ser
0_0_0_10_14_8,-22.0,0,0,0,33,35,0.5142857142857142,0.02857142857142857,0.0,0.0,0.0,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.0917334407325074,piece1of2_30,current_selected
0_0_0_10_14_8,-22.0,1,1,1,33,35,0.3142857142857143,0.02857142857142857,0.0,0.0,0.0,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.0,0.0,0,1,1,1,1,0,0,0,2.1482941711341894,linear_a1_b1,current_selected
0_0_0_10_14_8,-22.0,2,2,2,33,35,0.5428571428571428,0.0,0.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.0,0.0,0.0,0,1,1,1,1,0,0,0,2.126738453169822,piece1of2_30,multi_offset_argmax
0_0_0_10_14_8,-22.0,3,3,3,33,35,0.4,0.02857142857142857,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.06727211060211,linear_a2_b1,current_selected
0_0_0_10_14_8,-22.0,4,4,4,33,35,0.42857142857142855,0.08571428571428572,0.02857142857142857,0.0,0.0,0.39999999999999997,0.42857142857142855,0.42857142857142855,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,0,0,0,2.165655670485058,piece1of2_30,savaux_paper
0_0_0_10_14_8,-22.0,5,5,5,33,35,0.9142857142857143,0.5428571428571428,0.3142857142857143,0.02857142857142857,0.02857142857142857,0.6,0.8857142857142857,0.8857142857142857,0.2857142857142857,0.2857142857142857,0.0,0,0,0,0,0,0,0,0,2.465067818038743,piece3of4_31,savaux_paper
0_0_0_10_14_8,-22.0,6,6,6,33,35,0.6571428571428571,0.34285714285714286,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.5428571428571428,0.6,0.6,0.05714285714285714,0.05714285714285714,0.0,0,0,0,0,0,0,0,0,2.4603797644804692,linear_a3_b0,savaux_paper
0_0_0_10_14_8,-22.0,7,7,7,33,35,0.8571428571428571,0.37142857142857144,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.7142857142857142,0.7999999999999999,0.7999999999999999,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,0,0,0,2.628166772285051,piece1of2_23,savaux_paper
0_0_0_10_14_8,-22.0,8,8,8,33,35,0.8,0.34285714285714286,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.6571428571428573,0.7428571428571429,0.7428571428571429,0.08571428571428572,0.08571428571428572,0.0,0,0,0,0,0,0,0,0,2.533579989982052,period2_30,savaux_paper
0_0_0_10_14_8,-22.0,9,9,9,33,35,0.8,0.34285714285714286,0.08571428571428572,0.0,0.0,0.7142857142857143,0.8,0.8,0.08571428571428572,0.08571428571428572,0.0,0,0,0,1,1,0,0,0,2.32696793083642,linear_a3_b2,savaux_paper
0_0_0_10_14_8,-23.0,0,0,0,33,35,0.6571428571428571,0.17142857142857143,0.0,0.0,0.0,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.225326336367894,piece1of2_30,current_selected
0_0_0_10_14_8,-23.0,1,1,1,33,35,0.6,0.11428571428571428,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.2870588003005703,linear_a1_b1,current_selected
0_0_0_10_14_8,-23.0,2,2,2,33,35,0.6571428571428571,0.05714285714285714,0.0,0.0,0.0,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.0,0.0,0.0,0,0,1,1,1,0,0,0,2.256535602064988,linear_a1_b2,current_selected
0_0_0_10_14_8,-23.0,3,3,3,33,35,0.45714285714285713,0.02857142857142857,0.02857142857142857,0.0,0.0,0.42857142857142855,0.45714285714285713,0.45714285714285713,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,0,0,0,2.1901032487126,linear_a2_b1,savaux_paper
0_0_0_10_14_8,-23.0,4,4,4,33,35,0.6857142857142857,0.2,0.02857142857142857,0.0,0.0,0.6571428571428571,0.6857142857142857,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.0,0,0,0,1,1,0,0,0,2.2984224418455055,piece1of2_30,savaux_paper
0_0_0_10_14_8,-23.0,5,5,5,33,35,0.9714285714285714,0.7428571428571429,0.4,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.8285714285714285,0.8285714285714285,0.2571428571428572,0.2571428571428572,0.0,0,0,0,0,0,0,0,0,2.5666858356052664,piece1of4_03,savaux_paper
0_0_0_10_14_8,-23.0,6,6,6,33,35,0.7714285714285715,0.5714285714285714,0.2571428571428571,0.08571428571428572,0.08571428571428572,0.5142857142857143,0.6857142857142857,0.6857142857142857,0.1714285714285714,0.1714285714285714,0.0,0,0,0,0,0,0,0,0,2.58955123033106,linear_a3_b0,savaux_paper
0_0_0_10_14_8,-23.0,7,7,7,33,35,0.9428571428571428,0.6,0.34285714285714286,0.17142857142857143,0.17142857142857143,0.6,0.7714285714285714,0.7714285714285714,0.17142857142857143,0.17142857142857143,0.0,0,0,0,0,0,0,0,0,2.774307598032858,piece1of2_23,savaux_paper
0_0_0_10_14_8,-23.0,8,8,8,33,35,0.8285714285714286,0.45714285714285713,0.34285714285714286,0.08571428571428572,0.08571428571428572,0.48571428571428577,0.7428571428571429,0.7428571428571429,0.2571428571428571,0.2571428571428571,0.0,0,0,0,0,0,0,0,0,2.701646670004432,piece3of4_21,savaux_paper
0_0_0_10_14_8,-23.0,9,9,9,33,35,0.9142857142857143,0.45714285714285713,0.2,0.02857142857142857,0.02857142857142857,0.7142857142857142,0.8857142857142857,0.8857142857142857,0.17142857142857143,0.17142857142857143,0.0,0,0,0,0,0,0,0,0,2.49047447217461,linear_a3_b2,savaux_paper
0_0_0_10_14_8,-24.0,0,0,0,33,35,0.7714285714285715,0.37142857142857144,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.6857142857142857,0.7428571428571429,0.7428571428571429,0.05714285714285715,0.05714285714285715,0.0,0,0,0,1,1,0,0,0,2.376539423396052,piece1of2_30,savaux_paper
0_0_0_10_14_8,-24.0,1,1,1,33,35,0.8,0.2571428571428571,0.05714285714285714,0.0,0.0,0.7428571428571429,0.8,0.8,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,0,0,0,2.437744304351206,linear_a1_b1,savaux_paper
0_0_0_10_14_8,-24.0,2,2,2,33,35,0.7714285714285715,0.17142857142857143,0.05714285714285714,0.0,0.0,0.7142857142857143,0.7714285714285715,0.7714285714285715,0.05714285714285714,0.05714285714285714,0.0,0,0,0,1,1,0,0,0,2.395620266189792,linear_a1_b2,savaux_paper
0_0_0_10_14_8,-24.0,3,3,3,33,35,0.6,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.349589628894436,linear_a2_b1,current_selected
0_0_0_10_14_8,-24.0,4,4,4,33,35,0.6857142857142857,0.2571428571428571,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.5714285714285714,0.6285714285714286,0.6285714285714286,0.05714285714285714,0.05714285714285714,0.0,0,0,0,0,0,0,0,0,2.3814633637146225,piece1of2_30,savaux_paper
0_0_0_10_14_8,-24.0,5,5,5,33,35,0.9714285714285714,0.8285714285714286,0.6571428571428571,0.37142857142857144,0.37142857142857144,0.3142857142857143,0.6,0.6,0.2857142857142857,0.2857142857142857,0.0,0,0,0,0,0,0,0,0,2.736777919965993,period2_10,savaux_paper
0_0_0_10_14_8,-24.0,6,6,6,33,35,0.8,0.7428571428571429,0.45714285714285713,0.2857142857142857,0.2857142857142857,0.3428571428571429,0.5142857142857143,0.5142857142857143,0.17142857142857143,0.17142857142857143,0.0,0,0,0,0,0,0,0,0,2.658779723953622,linear_a3_b0,savaux_paper
0_0_0_10_14_8,-24.0,7,7,7,33,35,0.9428571428571428,0.7428571428571429,0.5142857142857142,0.3142857142857143,0.3142857142857143,0.4285714285714286,0.6285714285714286,0.6285714285714286,0.19999999999999996,0.19999999999999996,0.0,0,0,0,0,0,0,0,0,2.8702588967919427,piece1of2_23,savaux_paper
0_0_0_10_14_8,-24.0,8,8,8,33,35,0.9142857142857143,0.6285714285714286,0.5142857142857142,0.22857142857142856,0.22857142857142856,0.4,0.6857142857142857,0.6857142857142857,0.2857142857142857,0.2857142857142857,0.0,0,0,0,0,0,1,0,0,2.833193466673789,piece3of4_21,savaux_paper
