dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-18.0,10,0.12857142857142856,0.8714285714285716,0.4,0.002857142857142857,0.9971428571428571,0.9,0.0,1.0,1.0,0.12857142857142856,0.6,0.002857142857142857,0.09999999999999998,0.82,0.0,0.6,0.9773183079856249,0.780839608405113,0.3239991389909474
0_0_0_10_14_8,-19.0,10,0.22857142857142856,0.7714285714285715,0.0,0.011428571428571429,0.9885714285714287,0.8,0.002857142857142857,0.9971428571428571,0.9,0.2257142857142857,0.9,0.008571428571428572,0.09999999999999998,0.7857142857142858,0.0,0.6,0.9712938145016009,0.6868944582614618,0.3413554330302787
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.6342857142857143,0.0,0.04571428571428572,0.9542857142857143,0.6,0.005714285714285714,0.9942857142857143,0.9,0.36,0.9,0.04000000000000001,0.30000000000000004,0.72,0.0,0.9,0.9640169346251215,0.7065237053380007,0.31497399953411037
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.48285714285714293,0.0,0.13142857142857142,0.8685714285714285,0.5,0.037142857142857144,0.9628571428571429,0.6,0.48,0.6,0.09428571428571428,0.09999999999999998,0.6028571428571429,0.0,0.981304347826087,0.9546813839225827,0.7758892307652155,0.31836547099485946
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.33714285714285713,0.0,0.18857142857142856,0.8114285714285716,0.3,0.09428571428571428,0.9057142857142859,0.4,0.5685714285714285,0.4,0.09428571428571428,0.10000000000000003,0.4228571428571429,0.0,0.9459513546798031,0.9457574538005347,0.8087522448471312,0.26706696576670713
0_0_0_10_14_8,-23.0,10,0.7942857142857143,0.20571428571428568,0.0,0.33428571428571424,0.6657142857142857,0.0,0.17142857142857143,0.8285714285714286,0.2,0.6228571428571428,0.2,0.1628571428571428,0.2,0.29999999999999993,0.004545454545454545,0.8807691600262345,0.9335076605462301,0.7472196044590208,0.2851093477066903
0_0_0_10_14_16,-18.0,11,0.11948051948051944,0.8805194805194805,0.09090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.11948051948051944,0.9090909090909091,0.0025974025974025974,0.09090909090909094,0.9272727272727272,0.0,0.45454545454545453,0.9787190874927987,0.9651725450683784,0.2094083717832741
0_0_0_10_14_16,-19.0,11,0.2363636363636363,0.7636363636363637,0.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.2363636363636363,1.0,0.0025974025974025974,0.09090909090909094,0.8597402597402596,0.0,1.0,0.9733328579643192,0.9650496663912108,0.2084169011379503
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.005194805194805195,0.9948051948051948,0.8181818181818182,0.35324675324675325,0.8181818181818182,0.01038961038961039,0.18181818181818188,0.7688311688311689,0.0,1.0,0.9665751103540476,0.9639884510842488,0.2093752400374165
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.023376623376623374,0.9766233766233767,0.5454545454545454,0.4727272727272727,0.5454545454545454,0.04675324675324677,0.2727272727272727,0.6051948051948052,0.0,0.9935064935064936,0.9590994168205209,0.9634699064685197,0.2122787554644291
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.07012987012987014,0.9298701298701298,0.2727272727272727,0.5324675324675325,0.2727272727272727,0.10909090909090909,0.2727272727272727,0.41558441558441556,0.00505050505050505,0.9471396637067411,0.947920905740033,0.9362360660625847,0.22233741298572252
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.17402597402597403,0.8259740259740259,0.0,0.5584415584415585,0.0,0.1454545454545454,0.0,0.24675324675324675,0.009090909090909092,0.9035921685532365,0.9370421552752021,0.7942739088979807,0.30463803541625817
0_0_0_10_14_32,-18.0,7,0.18367346938775506,0.8163265306122449,0.0,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.09387755102040816,0.9061224489795919,0.8571428571428571,0.08979591836734689,0.8571428571428571,0.02040816326530613,0.0,0.7428571428571429,0.0,0.7877551020408163,0.969637576024476,0.8990634551634754,0.42057416008760845
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.11836734693877551,0.8816326530612244,0.8571428571428571,0.09795918367346938,0.9020408163265305,0.8571428571428571,0.1673469387755102,0.8571428571428571,0.02040816326530613,0.0,0.7183673469387755,0.0,0.9224489795918368,0.9651759729606287,0.8984188581242858,0.42206672573982146
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.12653061224489795,0.873469387755102,0.8571428571428571,0.2693877551020407,0.8571428571428571,0.0163265306122449,0.1428571428571428,0.6408163265306123,0.0,0.9183673469387755,0.9600668037207641,0.918038988623911,0.4090397445857733
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.13061224489795917,0.8693877551020408,0.8571428571428571,0.4122448979591836,0.8571428571428571,0.028571428571428553,0.42857142857142855,0.5428571428571429,0.0,0.8979591836734694,0.9536462843562293,0.9193885398469133,0.40845738498430934
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.14693877551020407,0.8530612244897959,0.42857142857142855,0.5265306122448979,0.42857142857142855,0.0979591836734694,0.42857142857142855,0.36326530612244895,0.0,0.8738095238095239,0.9451888931243628,0.8385853341692805,0.44155411474793993
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.22448979591836737,0.0,0.34285714285714286,0.6571428571428573,0.0,0.20816326530612242,0.7918367346938775,0.14285714285714285,0.5673469387755103,0.14285714285714285,0.13469387755102044,0.14285714285714285,0.22040816326530613,0.0,0.840775726736318,0.9359684373725433,0.828590868777969,0.491952333307275
mean_of_datasets,-18.0,28,0.14390847247990102,0.856091527520099,0.16363636363636366,0.03991341991341992,0.9600865800865801,0.8887445887445887,0.031292517006802724,0.9687074829931973,0.9523809523809524,0.11261595547309829,0.7887445887445886,0.008620902906617196,0.06363636363636364,0.83004329004329,0.0,0.6141001855287569,0.9752249905009664,0.8816918695456556,0.3179938902872767
mean_of_datasets,-19.0,28,0.24341372912801482,0.7565862708719852,0.0,0.044131106988249846,0.9558688930117502,0.8554112554112554,0.033605442176870746,0.9663945578231292,0.919047619047619,0.20980828695114406,0.919047619047619,0.0105256648113791,0.06363636363636364,0.7879406307977735,0.0,0.8408163265306122,0.969934215142183,0.8501209942589861,0.32394635330268345
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.04581323438466295,0.954186765615337,0.8584415584415584,0.32754483611626467,0.8584415584415584,0.0222387136672851,0.20822510822510823,0.709882498453927,0.0,0.9394557823129251,0.9635529495666444,0.8628503816820534,0.31112966138576675
mean_of_datasets,-21.0,28,0.5187012987012988,0.4812987012987013,0.0,0.12024737167594308,0.879752628324057,0.4004329004329004,0.06371057513914656,0.9362894248608535,0.6675324675324675,0.45499072356215214,0.6675324675324675,0.05653679653679653,0.26709956709956706,0.5836363636363636,0.0,0.95759000833535,0.9558090283664443,0.8862492256935495,0.3130338704811993
mean_of_datasets,-22.0,28,0.6463079777365492,0.3536920222634508,0.0,0.2042300556586271,0.795769944341373,0.09999999999999999,0.10378478664192949,0.8962152133580705,0.3670995670995671,0.5425231910946197,0.3670995670995671,0.10044526901669759,0.2670995670995671,0.40056895485466915,0.0016835016835016834,0.9223001807320227,0.9462890842216435,0.8611912150263321,0.3103194978334565
mean_of_datasets,-23.0,28,0.7674211502782932,0.23257884972170687,0.0,0.3322077922077922,0.6677922077922078,0.0,0.18453927025355596,0.815460729746444,0.11428571428571428,0.5828818800247372,0.11428571428571428,0.14766852195423621,0.11428571428571428,0.25572047000618425,0.004545454545454546,0.8750456851052629,0.9355060843979919,0.7900281273783234,0.36056657214340787
