dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-18.0,10,0.12857142857142856,0.8714285714285716,0.4,0.002857142857142857,0.9971428571428571,0.9,0.0,1.0,1.0,0.12857142857142856,0.6,0.002857142857142857,0.09999999999999998,0.82,0.0,0.6,0.9773183079856249,0.780839608405113,0.3239991389909474
0_0_0_10_14_8,-19.0,10,0.22857142857142856,0.7714285714285715,0.0,0.011428571428571429,0.9885714285714287,0.8,0.002857142857142857,0.9971428571428571,0.9,0.2257142857142857,0.9,0.008571428571428572,0.09999999999999998,0.7857142857142858,0.0,0.6,0.9712938145016009,0.6868944582614618,0.3413554330302787
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.6342857142857143,0.0,0.04571428571428572,0.9542857142857143,0.6,0.011428571428571429,0.9885714285714287,0.8,0.35428571428571426,0.8,0.034285714285714294,0.20000000000000007,0.72,0.0,0.8824110671936758,0.9623351351164089,0.7063078047506989,0.3142205389991381
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.48285714285714293,0.0,0.13142857142857142,0.8685714285714285,0.5,0.04285714285714286,0.9571428571428571,0.5,0.47428571428571425,0.5,0.08857142857142856,0.0,0.6028571428571429,0.0,0.958608695652174,0.9518770038533411,0.7778448071020504,0.31675039260444754
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.33714285714285713,0.0,0.18857142857142856,0.8114285714285716,0.3,0.11142857142857143,0.8885714285714286,0.4,0.5514285714285714,0.4,0.07714285714285712,0.10000000000000003,0.4228571428571429,0.0,0.8916399835796387,0.9363948479262086,0.8467677083344792,0.2952068651452585
0_0_0_10_14_16,-18.0,11,0.11948051948051944,0.8805194805194805,0.09090909090909091,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.11948051948051944,0.9090909090909091,0.0025974025974025974,0.09090909090909094,0.9272727272727272,0.0,0.45454545454545453,0.9787190874927987,0.9651725450683784,0.2094083717832741
0_0_0_10_14_16,-19.0,11,0.2363636363636363,0.7636363636363637,0.0,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.2363636363636363,1.0,0.0025974025974025974,0.09090909090909094,0.8597402597402596,0.0,1.0,0.9733328579643192,0.9650496663912108,0.2084169011379503
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.6415584415584417,0.0,0.015584415584415584,0.9844155844155845,0.6363636363636364,0.007792207792207792,0.9922077922077922,0.8181818181818182,0.35064935064935066,0.8181818181818182,0.007792207792207792,0.18181818181818188,0.7688311688311689,0.0,1.0,0.9669756889560142,0.9638098844860837,0.2105344707215597
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.5038961038961038,0.0,0.07012987012987014,0.92987012987013,0.2727272727272727,0.023376623376623374,0.9766233766233765,0.45454545454545453,0.4727272727272727,0.45454545454545453,0.04675324675324677,0.18181818181818182,0.6051948051948052,0.0,0.9597402597402597,0.9576422589136222,0.962388920413338,0.21384690097645337
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.07532467532467532,0.9246753246753247,0.18181818181818182,0.5272727272727273,0.18181818181818182,0.1038961038961039,0.18181818181818182,0.41558441558441556,0.00505050505050505,0.9246071777215696,0.9455032482059312,0.9008710175001533,0.25740549992435596
0_0_0_10_14_32,-18.0,7,0.18367346938775506,0.8163265306122449,0.0,0.1142857142857143,0.8857142857142858,0.8571428571428571,0.09387755102040816,0.9061224489795919,0.8571428571428571,0.08979591836734689,0.8571428571428571,0.02040816326530613,0.0,0.7428571428571429,0.0,0.7795918367346939,0.9633194009337512,0.906789967947679,0.4501930179863612
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.11836734693877551,0.8816326530612244,0.8571428571428571,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.163265306122449,0.8571428571428571,0.0163265306122449,0.0,0.7183673469387755,0.0,0.9142857142857144,0.9589458104919633,0.9062506291838309,0.4520946696155369
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.6040816326530614,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.12653061224489795,0.873469387755102,0.8571428571428571,0.2693877551020407,0.8571428571428571,0.0163265306122449,0.1428571428571428,0.6408163265306123,0.0,0.889795918367347,0.9527476658433874,0.8913971202610134,0.4334922839371061
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.4571428571428572,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.13061224489795917,0.8693877551020408,0.7142857142857143,0.4122448979591836,0.7142857142857143,0.028571428571428553,0.28571428571428575,0.5428571428571429,0.0,0.8612244897959184,0.9446668490428595,0.8457543218253051,0.46767154098111774
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.32653061224489793,0.0,0.24489795918367346,0.7551020408163266,0.0,0.15918367346938772,0.8408163265306123,0.42857142857142855,0.5142857142857142,0.42857142857142855,0.08571428571428574,0.42857142857142855,0.36326530612244895,0.0,0.8450606329488316,0.9358125814542788,0.6985169160953774,0.5321840245654343
mean_of_datasets,-18.0,28,0.14390847247990102,0.856091527520099,0.16363636363636366,0.03991341991341992,0.9600865800865801,0.8887445887445887,0.031292517006802724,0.9687074829931973,0.9523809523809524,0.11261595547309829,0.7887445887445886,0.008620902906617196,0.06363636363636364,0.83004329004329,0.0,0.6113790970933828,0.9731189321373916,0.8842673738070568,0.32786684292019425
mean_of_datasets,-19.0,28,0.24341372912801482,0.7565862708719852,0.0,0.044131106988249846,0.9558688930117502,0.8554112554112554,0.03496598639455783,0.9650340136054422,0.919047619047619,0.208447742733457,0.919047619047619,0.009165120593692023,0.06363636363636364,0.7879406307977735,0.0,0.8380952380952381,0.9678574943192945,0.8527315846121678,0.33395566792792203
mean_of_datasets,-20.0,28,0.3733580705009276,0.6266419294990725,0.0,0.06805194805194804,0.931948051948052,0.6502164502164502,0.048583797155225726,0.9514162028447742,0.8251082251082251,0.3247742733457019,0.8251082251082251,0.01946815089672233,0.1748917748917749,0.709882498453927,0.0,0.9240689951870076,0.9606861633052701,0.8538382698325986,0.3194157645526013
mean_of_datasets,-21.0,28,0.5187012987012988,0.4812987012987013,0.0,0.12024737167594308,0.879752628324057,0.4004329004329004,0.06561533704390847,0.9343846629560915,0.5562770562770564,0.4530859616573902,0.5562770562770564,0.054632034632034636,0.15584415584415587,0.5836363636363636,0.0,0.9265244817294507,0.9513953706032742,0.8619960164468977,0.33275627818733955
mean_of_datasets,-22.0,28,0.6463079777365492,0.3536920222634508,0.0,0.2042300556586271,0.795769944341373,0.09999999999999999,0.11531230674087815,0.884687693259122,0.3367965367965368,0.530995670995671,0.3367965367965368,0.08891774891774891,0.23679653679653678,0.40056895485466915,0.0016835016835016834,0.8871025980833466,0.9392368925288063,0.8153852139766701,0.36159879654501625
