dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-12.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8371428571428572,0.0,0.5,0.9489527525735223,0.20918917234956438
0_0_0_10_14_8,-13.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8371428571428572,0.0,0.5,0.9489564335380696,0.2097541201198613
0_0_0_10_14_8,-14.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8485714285714285,0.0,0.6,0.9390288746128002,0.20635205308069943
0_0_0_10_14_8,-15.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8485714285714285,0.0,0.6,0.9384982925633192,0.20780249871063247
0_0_0_10_14_8,-16.0,10,0.017142857142857144,0.9828571428571429,0.7,0.0,1.0,1.0,0.0,1.0,1.0,0.017142857142857144,0.30000000000000004,0.0,0.0,0.8428571428571429,0.0,0.6,0.9230152298724923,0.21278362735849693
0_0_0_10_14_8,-17.0,10,0.06285714285714286,0.9371428571428572,0.6,0.0,1.0,1.0,0.0,1.0,1.0,0.06285714285714286,0.4,0.0,0.0,0.8342857142857143,0.0,0.6,0.8849428700842678,0.227202806080489
0_0_0_10_14_8,-18.0,10,0.12857142857142856,0.8714285714285716,0.4,0.002857142857142857,0.9971428571428571,0.9,0.002857142857142857,0.9971428571428571,0.9,0.1257142857142857,0.5,0.0,0.0,0.82,0.0,0.6,0.8691055085838478,0.24556138350787968
0_0_0_10_14_8,-19.0,10,0.22857142857142856,0.7714285714285715,0.0,0.011428571428571429,0.9885714285714287,0.8,0.014285714285714285,0.9857142857142858,0.8,0.21428571428571427,0.8,-0.0028571428571428567,0.0,0.8114285714285716,0.0,0.6,0.83718254786434,0.23867589700789793
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.6342857142857143,0.0,0.04571428571428572,0.9542857142857143,0.6,0.048571428571428564,0.9514285714285714,0.6,0.31714285714285717,0.6,-0.002857142857142843,0.0,0.7342857142857142,0.0,0.8818181818181818,0.8978370847636743,0.21473393098804147
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.48285714285714293,0.0,0.13142857142857142,0.8685714285714285,0.5,0.1285714285714286,0.8714285714285713,0.5,0.38857142857142857,0.5,0.002857142857142836,0.0,0.6057142857142856,0.0,0.9587878787878787,0.9121812557990598,0.18161129332724277
