dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,selected,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,multi,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_16,multi,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_16,selected,multi,SER<=10%,-21.166666666666668,-21.273809523809526,-0.10714285714285765,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-21.166666666666668,-21.273809523809526,-0.10714285714285765,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-19.066666666666666,-19.4,-0.33333333333333215,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-20.125,-20.375,-0.25,ok
0_0_0_10_14_32,selected,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,selected,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,multi,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,multi,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,SER<=10%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=80%,-18.4,-19.4,-1.0,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=50%,-19.5,-20.75,-1.25,ok
0_0_0_10_14_8,selected,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_8,selected,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_8,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_8,selected,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,selected,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_8,multi,center,SER<=10%,,,,missing_threshold
0_0_0_10_14_8,multi,center,accuracy>=90%,,,,missing_threshold
0_0_0_10_14_8,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_8,multi,center,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,multi,center,CRC/PRR>=50%,,,,missing_threshold
0_0_0_10_14_8,selected,multi,SER<=10%,-19.714285714285715,-20.633333333333333,-0.9190476190476176,ok
0_0_0_10_14_8,selected,multi,accuracy>=90%,-19.714285714285715,-20.633333333333333,-0.9190476190476176,ok
0_0_0_10_14_8,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_8,selected,multi,CRC/PRR>=80%,,,,missing_threshold
0_0_0_10_14_8,selected,multi,CRC/PRR>=50%,-21.0,-21.0,0.0,ok
mean_of_datasets,selected,center,SER<=10%,,,,missing_threshold
mean_of_datasets,selected,center,accuracy>=90%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,selected,center,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,multi,center,SER<=10%,,,,missing_threshold
mean_of_datasets,multi,center,accuracy>=90%,,,,missing_threshold
mean_of_datasets,multi,center,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,multi,center,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,multi,center,CRC/PRR>=50%,,,,missing_threshold
mean_of_datasets,selected,multi,SER<=10%,-19.870479394449116,-20.612085308056873,-0.7416059136077564,ok
mean_of_datasets,selected,multi,accuracy>=90%,-19.870479394449116,-20.612085308056873,-0.7416059136077564,ok
mean_of_datasets,selected,multi,CRC/PRR>=90%,,,,missing_threshold
mean_of_datasets,selected,multi,CRC/PRR>=80%,,,,missing_threshold
mean_of_datasets,selected,multi,CRC/PRR>=50%,-19.75925925925926,-20.601386481802425,-0.8421272225431657,ok
