payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index
0,803,803,803,1,1,0,1,1,1,1,1,0.10062537591443427,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
1,826,826,826,1,1,0,1,1,1,1,1,0.06763461785024537,tau0_slope0.5,timing,0_0_0_10_14_8,-25.0,0
2,922,922,922,1,1,0,1,1,1,1,1,0.10881387298672225,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
3,718,718,718,1,1,0,1,1,1,1,1,0.11615849142139008,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
4,86,86,86,1,1,0,1,1,1,1,1,0.14540413704267122,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
5,467,467,467,1,1,0,1,1,1,1,1,0.09036829276990146,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
6,89,89,89,1,1,0,1,1,1,1,1,0.08705263656124708,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
7,713,713,713,1,1,0,1,1,1,1,1,0.10012062921056113,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
8,865,865,865,1,1,0,1,1,1,1,1,0.0775839910320991,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
9,405,405,405,1,1,0,1,1,1,1,1,0.06858216270282866,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
10,765,765,765,1,1,0,1,1,1,1,1,0.09550936115817373,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
11,1023,482,482,4,37,-33,1,0,0,0,1,0.1319846447514117,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
12,597,597,597,1,1,0,1,1,1,1,1,0.07821702625563041,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
13,562,946,946,5,2,3,1,1,0,0,1,0.22777224154388745,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
14,478,677,677,24,10,14,0,0,0,0,0,nan,,timing,0_0_0_10_14_8,-25.0,0
15,267,267,267,1,1,0,1,1,1,1,1,0.06339842656391623,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
16,917,917,234,1,2,-1,1,1,1,0,1,0.08749199289029148,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
17,656,656,656,1,1,0,1,1,1,1,1,0.12575202823305331,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
18,889,889,889,1,1,0,1,1,1,1,1,0.10010971120390241,tau-0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
19,510,510,510,1,1,0,1,1,1,1,1,0.08612501147214624,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
20,860,860,860,1,1,0,1,1,1,1,1,0.11078427030793529,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
21,553,553,553,1,1,0,1,1,1,1,1,0.11442846473584169,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
22,629,154,154,2,38,-36,1,0,0,0,1,0.036676832876930784,tau0_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
23,759,759,759,1,1,0,1,1,1,1,1,0.09800574337292002,tau-0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
24,874,874,874,1,1,0,1,1,1,1,1,0.0860567829005808,tau0_slope0,timing,0_0_0_10_14_8,-25.0,0
25,720,720,720,1,1,0,1,1,1,1,1,0.07208003613595332,tau0.5_slope-0.5,timing,0_0_0_10_14_8,-25.0,0
26,314,314,314,1,1,0,1,1,1,1,1,0.04864952105579912,tau0.5_slope0.5,timing,0_0_0_10_14_8,-25.0,0
