dataset,snr_db,seed,signal_reference_mode,signal_reference_power,signal_reference_sample_count,signal_reference_packet_count,whole_capture_power,reference_vs_whole_db,savaux_oversampled_err,loratrimmer_err,symfec_err,unichirp_err,symbol_count,packet_count,symfec_crc_valid_count,savaux_oversampled_ser,loratrimmer_ser,symfec_ser,unichirp_ser
0_0_0_10_14_8,-22.0,1,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,0,2,10,13,105,3,0,0.0,0.01904761904761905,0.09523809523809523,0.12380952380952381
0_0_0_10_14_8,-23.0,1,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,2,11,42,20,105,3,0,0.01904761904761905,0.10476190476190476,0.4,0.19047619047619047
0_0_0_10_14_8,-24.0,1,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,15,19,55,34,105,3,0,0.14285714285714285,0.18095238095238095,0.5238095238095238,0.3238095238095238
0_0_0_10_14_8,-22.0,2,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,0,3,10,15,105,3,1,0.0,0.02857142857142857,0.09523809523809523,0.14285714285714285
0_0_0_10_14_8,-23.0,2,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,3,8,38,21,105,3,0,0.02857142857142857,0.0761904761904762,0.3619047619047619,0.2
0_0_0_10_14_8,-24.0,2,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,9,18,57,28,105,3,0,0.08571428571428572,0.17142857142857143,0.5428571428571428,0.26666666666666666
0_0_0_10_14_8,-22.0,42,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,0,3,9,13,105,3,0,0.0,0.02857142857142857,0.08571428571428572,0.12380952380952381
0_0_0_10_14_8,-23.0,42,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,2,12,43,15,105,3,0,0.01904761904761905,0.11428571428571428,0.4095238095238095,0.14285714285714285
0_0_0_10_14_8,-24.0,42,packet,0.00012825235315121864,528384,3,7.504825459917008e-06,12.327247459250719,9,22,57,24,105,3,0,0.08571428571428572,0.20952380952380953,0.5428571428571428,0.22857142857142856
0_0_0_10_14_16,-22.0,1,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,0,2,25,12,105,3,0,0.0,0.01904761904761905,0.23809523809523808,0.11428571428571428
0_0_0_10_14_16,-23.0,1,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,4,13,42,24,105,3,0,0.0380952380952381,0.12380952380952381,0.4,0.22857142857142856
0_0_0_10_14_16,-24.0,1,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,15,27,64,33,105,3,0,0.14285714285714285,0.2571428571428571,0.6095238095238096,0.3142857142857143
0_0_0_10_14_16,-22.0,2,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,0,1,21,15,105,3,0,0.0,0.009523809523809525,0.2,0.14285714285714285
0_0_0_10_14_16,-23.0,2,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,1,9,42,32,105,3,0,0.009523809523809525,0.08571428571428572,0.4,0.3047619047619048
0_0_0_10_14_16,-24.0,2,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,13,27,67,38,105,3,0,0.12380952380952381,0.2571428571428571,0.638095238095238,0.3619047619047619
0_0_0_10_14_16,-22.0,42,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,0,3,15,17,105,3,1,0.0,0.02857142857142857,0.14285714285714285,0.1619047619047619
0_0_0_10_14_16,-23.0,42,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,4,13,44,21,105,3,0,0.0380952380952381,0.12380952380952381,0.41904761904761906,0.2
0_0_0_10_14_16,-24.0,42,packet,6.422488987071513e-05,528384,3,9.769139123554605e-06,8.178470737446371,14,28,65,28,105,3,0,0.13333333333333333,0.26666666666666666,0.6190476190476191,0.26666666666666666
0_0_0_10_14_32,-22.0,1,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,29,31,33,38,105,3,2,0.2761904761904762,0.29523809523809524,0.3142857142857143,0.3619047619047619
0_0_0_10_14_32,-23.0,1,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,34,31,38,42,105,3,1,0.3238095238095238,0.29523809523809524,0.3619047619047619,0.4
0_0_0_10_14_32,-24.0,1,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,35,37,51,47,105,3,0,0.3333333333333333,0.3523809523809524,0.4857142857142857,0.44761904761904764
0_0_0_10_14_32,-22.0,2,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,30,31,36,28,105,3,1,0.2857142857142857,0.29523809523809524,0.34285714285714286,0.26666666666666666
0_0_0_10_14_32,-23.0,2,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,33,35,48,33,105,3,0,0.3142857142857143,0.3333333333333333,0.45714285714285713,0.3142857142857143
0_0_0_10_14_32,-24.0,2,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,37,41,60,36,105,3,0,0.3523809523809524,0.3904761904761905,0.5714285714285714,0.34285714285714286
0_0_0_10_14_32,-22.0,42,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,29,29,40,29,105,3,0,0.2761904761904762,0.2761904761904762,0.38095238095238093,0.2761904761904762
0_0_0_10_14_32,-23.0,42,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,32,31,45,30,105,3,0,0.3047619047619048,0.29523809523809524,0.42857142857142855,0.2857142857142857
0_0_0_10_14_32,-24.0,42,packet,5.600726783406058e-05,528384,3,1.0802098314551583e-05,7.147362616172371,34,35,53,32,105,3,0,0.3238095238095238,0.3333333333333333,0.5047619047619047,0.3047619047619048
