packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,dataset,snr_db,seed
0,0,0,35,0.9714285714285714,2.6285714285714286,32,balanced_random_only,balanced_random_014,0.19367065314270998,0.06362346019685157,0.23385051848981603,0.8089443452961103,7,0.2,22,0.6285714285714286,22,1,16,9,0.2571428571428571,5,1,3,9,0.2571428571428571,4,1,3,9,0.2571428571428571,4,1,3,8,0.22857142857142856,1,0,1,7,0.2,2,1,1,7,0.2,0,0,0,7,0.2,0,0,0,0_0_0_10_14_8,-25.0,1
0,0,0,35,0.9142857142857143,7.942857142857143,32,balanced_random_only,balanced_random_014,0.21003899974407098,0.06332830457696605,0.23302929352492882,0.7867797540580556,11,0.3142857142857143,26,0.7428571428571429,24,0,15,13,0.37142857142857144,9,2,4,12,0.34285714285714286,5,1,2,12,0.34285714285714286,5,1,2,12,0.34285714285714286,2,0,1,11,0.3142857142857143,4,1,1,12,0.34285714285714286,1,0,1,12,0.34285714285714286,1,0,1,0_0_0_10_14_8,-26.0,1
0,0,0,35,0.9714285714285714,2.342857142857143,32,balanced_random_only,balanced_random_024,0.2210773088256374,0.06408319468060908,0.23485282567790464,0.7879929668860813,8,0.22857142857142856,27,0.7714285714285715,24,0,19,11,0.3142857142857143,8,1,4,10,0.2857142857142857,7,1,3,12,0.34285714285714286,9,1,5,9,0.2571428571428571,2,0,1,9,0.2571428571428571,5,1,2,9,0.2571428571428571,1,0,1,9,0.2571428571428571,1,0,1,0_0_0_10_14_8,-25.0,2
0,0,0,35,0.9428571428571428,6.4,32,balanced_random_only,balanced_random_015,0.23918167233471102,0.06387905808006816,0.2348922726466302,0.7633996130017269,14,0.4,28,0.8,22,0,14,16,0.45714285714285713,11,2,4,17,0.4857142857142857,13,2,5,16,0.45714285714285713,13,3,5,17,0.4857142857142857,5,0,3,14,0.4,7,2,2,14,0.4,1,0,0,14,0.4,0,0,0,0_0_0_10_14_8,-26.0,2
0,0,0,35,0.9714285714285714,2.142857142857143,32,balanced_random_only,balanced_random_019,0.2167577383767308,0.06294399790720824,0.23040906060085084,0.775950259819871,8,0.22857142857142856,16,0.45714285714285713,15,0,8,11,0.3142857142857143,9,1,4,10,0.2857142857142857,8,1,3,10,0.2857142857142857,8,1,3,10,0.2857142857142857,2,0,2,9,0.2571428571428571,6,1,2,9,0.2571428571428571,1,0,1,9,0.2571428571428571,1,0,1,0_0_0_10_14_8,-25.0,42
0,0,0,35,0.8857142857142857,6.171428571428572,32,balanced_random_only,balanced_random_014,0.22501548342786112,0.062387250674326086,0.2290780517673824,0.7598070095208526,14,0.4,20,0.5714285714285714,20,1,7,16,0.45714285714285713,14,3,5,14,0.4,12,3,3,14,0.4,11,3,3,13,0.37142857142857144,1,1,0,12,0.34285714285714286,7,2,0,13,0.37142857142857144,1,1,0,13,0.37142857142857144,1,1,0,0_0_0_10_14_8,-26.0,42
1,0,1,35,1.0,1.2,32,balanced_random_only,balanced_random_029,0.20295019154961305,0.06268190204999158,0.2292255014086099,0.7982329970879851,5,0.14285714285714285,22,0.6285714285714286,21,0,17,8,0.22857142857142856,8,1,4,8,0.22857142857142856,6,1,4,8,0.22857142857142856,6,1,4,5,0.14285714285714285,2,1,1,6,0.17142857142857143,4,1,2,5,0.14285714285714285,0,0,0,5,0.14285714285714285,0,0,0,0_0_0_10_14_16,-25.0,1
1,0,1,35,1.0,2.3714285714285714,32,balanced_random_only,balanced_random_028,0.2219768235153374,0.06287545845591021,0.2290428051438614,0.7712695668199954,13,0.37142857142857144,26,0.7428571428571429,24,0,13,13,0.37142857142857144,9,2,2,10,0.2857142857142857,6,3,0,11,0.3142857142857143,8,3,1,12,0.34285714285714286,3,1,0,12,0.34285714285714286,4,1,0,13,0.37142857142857144,0,0,0,13,0.37142857142857144,0,0,0,0_0_0_10_14_16,-26.0,1
1,0,1,35,0.9428571428571428,2.6,32,balanced_random_only,balanced_random_029,0.2195081874356284,0.0637217732335109,0.2324175657118907,0.77596141692331,9,0.2571428571428571,20,0.5714285714285714,19,0,11,14,0.4,9,0,5,13,0.37142857142857144,7,0,4,12,0.34285714285714286,8,1,4,10,0.2857142857142857,3,0,1,12,0.34285714285714286,5,0,3,9,0.2571428571428571,0,0,0,9,0.2571428571428571,0,0,0,0_0_0_10_14_16,-25.0,2
1,0,1,35,0.9142857142857143,6.685714285714286,32,balanced_random_only,balanced_random_021,0.2316719454559413,0.06386745670767609,0.23383842648801909,0.7547043960595752,16,0.45714285714285713,24,0.6857142857142857,25,2,10,21,0.6,16,1,6,20,0.5714285714285714,12,0,4,19,0.5428571428571428,10,0,3,17,0.4857142857142857,6,0,1,17,0.4857142857142857,6,0,1,16,0.45714285714285713,1,0,0,16,0.45714285714285713,0,0,0,0_0_0_10_14_16,-26.0,2
