dataset,snr_db,seed,symbol_count,gt_in_topk,savaux_ser,mean_pattern_ser,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_ser,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_ser,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_ser,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux
0_0_0_10_14_16,-25.0,1,35,35,0.14285714285714285,0.2571428571428571,0,4,5,0.2571428571428571,0,4,5,0.2571428571428571,0,4,5,0.17142857142857143,0,1,1
0_0_0_10_14_16,-25.0,2,35,33,0.2571428571428571,0.37142857142857144,2,6,11,0.37142857142857144,1,5,10,0.34285714285714286,1,4,9,0.2571428571428571,0,0,2
0_0_0_10_14_16,-25.0,42,35,33,0.2857142857142857,0.2,4,1,7,0.2857142857142857,3,3,9,0.2857142857142857,3,3,10,0.2,3,0,6
0_0_0_10_14_16,-26.0,1,35,35,0.37142857142857144,0.42857142857142855,0,2,7,0.34285714285714286,2,1,7,0.34285714285714286,2,1,7,0.37142857142857144,0,0,2
0_0_0_10_14_16,-26.0,2,35,32,0.45714285714285713,0.5428571428571428,1,4,16,0.4857142857142857,2,3,15,0.5142857142857142,1,3,15,0.4857142857142857,0,1,6
0_0_0_10_14_16,-26.0,42,35,31,0.4857142857142857,0.45714285714285713,2,1,10,0.45714285714285713,2,1,12,0.45714285714285713,3,2,14,0.5142857142857142,0,1,7
0_0_0_10_14_32,-25.0,1,35,17,0.8285714285714286,0.8571428571428571,1,2,10,0.8285714285714286,1,1,10,0.8285714285714286,1,1,10,0.8,1,0,4
0_0_0_10_14_32,-25.0,2,35,20,0.8,0.8,1,1,12,0.8,1,1,12,0.8285714285714286,0,1,12,0.8285714285714286,0,1,9
0_0_0_10_14_32,-25.0,42,35,14,0.8,0.8285714285714286,0,1,17,0.8285714285714286,0,1,15,0.8285714285714286,0,1,14,0.8285714285714286,0,1,7
0_0_0_10_14_32,-26.0,1,35,11,0.8571428571428571,0.8857142857142857,1,2,11,0.8857142857142857,1,2,12,0.8857142857142857,1,2,12,0.8571428571428571,0,0,3
0_0_0_10_14_32,-26.0,2,35,16,0.8857142857142857,0.8857142857142857,0,0,11,0.8857142857142857,0,0,12,0.8857142857142857,0,0,12,0.8857142857142857,0,0,8
0_0_0_10_14_32,-26.0,42,35,12,0.8857142857142857,0.8571428571428571,2,1,19,0.8857142857142857,1,1,16,0.8857142857142857,1,1,15,0.8857142857142857,0,0,5
0_0_0_10_14_8,-25.0,1,35,34,0.2,0.2,0,0,2,0.17142857142857143,1,0,2,0.2,1,1,3,0.14285714285714285,2,0,2
0_0_0_10_14_8,-25.0,2,35,34,0.22857142857142856,0.2571428571428571,1,2,5,0.2857142857142857,1,3,8,0.2857142857142857,1,3,8,0.2,1,0,2
0_0_0_10_14_8,-25.0,42,35,34,0.22857142857142856,0.2571428571428571,1,2,5,0.2857142857142857,0,2,2,0.2857142857142857,0,2,2,0.22857142857142856,0,0,0
0_0_0_10_14_8,-26.0,1,35,32,0.3142857142857143,0.4,0,3,8,0.37142857142857144,1,3,7,0.4,0,3,6,0.34285714285714286,0,1,2
0_0_0_10_14_8,-26.0,2,35,33,0.4,0.42857142857142855,1,2,6,0.45714285714285713,0,2,8,0.42857142857142855,0,1,7,0.4,0,0,2
0_0_0_10_14_8,-26.0,42,35,31,0.4,0.37142857142857144,1,0,4,0.37142857142857144,1,0,2,0.37142857142857144,1,0,2,0.37142857142857144,1,0,2
