dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_16,-25.0,42,1,0,222,265,0,1,0,1,4,0.07305381783186349,43,0,0.6823631050004941,-0.38219335079548555,0.11872436056676705,0.05467922415155342,0.04091808473427892,0.11902953255960036,0.5106325443200835,0.10277101409407251,0.748329651146238,0.0801321521501574,0.05996526546412455,0.1744372339115758,0.748329651146238,0.15061044968719123
0_0_0_10_14_16,-25.0,42,1,0,222,500,0,0,0,2,4,0.07305381783186349,278,235,0.670980895574985,-0.39901461398808075,0.05715586015941947,0.032053978870903846,0.023003700281965543,0.06647340510891254,0.48153283805719754,0.06856287155919284,0.7176550647460039,0.04777182045315279,0.03428368890034184,0.09906899815970074,0.7176550647460039,0.10218304576382779
0_0_0_10_14_16,-25.0,42,1,0,222,664,0,0,0,3,4,0.07305381783186349,442,399,0.6709155703785861,-0.39911197648676516,0.1159060139380611,0.05324197666922524,0.04301805052264509,0.12535458844488592,0.542081299540813,0.10031308708750925,0.8079724535755308,0.07935719339347232,0.06411842625499174,0.1868410780422796,0.8079724535755309,0.14951670749108462
0_0_0_10_14_16,-25.0,42,1,0,222,222,1,0,0,4,4,0.07305381783186349,0,43,0.5819769327829363,-0.5413244664297429,0.11809408807472023,0.059142373347276976,0.04894908004624521,0.14176612197709515,0.48167217268381435,0.10474914920294026,0.8276482203178089,0.1016232259661324,0.08410828211382403,0.24359405672521833,0.8276482203178089,0.1799884897534405
0_0_0_10_14_16,-25.0,42,1,0,222,674,0,0,0,5,4,0.07305381783186349,452,409,0.5671027497091927,-0.5672147752537674,0.06159166312340587,0.03505742462285975,0.020547903664663022,0.059553861158282186,0.3323910068793708,0.07030730402233842,0.5861213105558369,0.06181847053437319,0.036233122966164204,0.10501423452596745,0.5861213105558369,0.12397630598404193
0_0_0_10_14_16,-25.0,42,1,0,222,549,0,0,0,6,4,0.07305381783186349,327,284,0.5522884827890984,-0.5936847554716791,0.1035580990839733,0.058230597528144974,0.05222633899741563,0.1517845299037255,0.49534105351693225,0.10218918409159099,0.8968882548761884,0.10543511107469791,0.0945635127744629,0.2748283453915284,0.8968882548761884,0.18502863499077135
0_0_0_10_14_16,-25.0,42,1,0,222,435,0,0,0,7,4,0.07305381783186349,213,170,0.527173557717461,-0.6402254531263163,0.1507174837434073,0.051972290710853714,0.03957093835290202,0.11473937982571077,0.4013821994065233,0.09275072198587664,0.7613853038160999,0.09858667975662827,0.07506244911872095,0.21765010430816298,0.7613853038160999,0.17593963245703315
0_0_0_10_14_16,-25.0,42,1,0,222,547,0,0,0,8,4,0.07305381783186349,325,282,0.4993011796020852,-0.6945457989666775,0.12170315362156621,0.05794958333282982,0.03737532309561078,0.10868262050311124,0.3220306659060189,0.09928379890682633,0.6449627580745135,0.11606137878346764,0.07485526696611612,0.2176694647301357,0.6449627580745135,0.1988455124138699
0_0_0_10_14_16,-25.0,42,1,1,826,826,1,1,1,1,1,2.6213344724044236,0,0,1.0663891530967362,0.06427831831594318,0.1880108815087829,0.08650615568907415,0.07673123592819882,0.22695902485025604,0.9458905790662994,0.16209297346806006,0.8870031885822212,0.08112062602837339,0.07195425394695311,0.21282945741822237,0.8870031885822212,0.15200170875458632
0_0_0_10_14_16,-25.0,42,1,1,826,1008,0,0,1,2,1,2.6213344724044236,182,182,0.5831526744311901,-0.5393062496750406,0.11908447258984167,0.05401211106344744,0.045073190899342745,0.1320471627988271,0.4866418160775668,0.0979070425006475,0.8345015592224446,0.09262087516983629,0.07729226474577579,0.22643669246244397,0.8345015592224446,0.16789264080139302
0_0_0_10_14_16,-25.0,42,1,1,826,376,0,0,1,3,1,2.6213344724044236,450,450,0.46814275646562464,-0.7589819943953044,0.08155482898760051,0.044791741665554705,0.030686474704391155,0.08878653856570913,0.3207209704322274,0.0805365532982526,0.6850922416350101,0.09567966404889515,0.06554939552214227,0.1896569739453582,0.6850922416350101,0.17203417587038183
0_0_0_10_14_16,-25.0,42,1,1,826,789,0,0,1,4,1,2.6213344724044236,37,37,0.4672907176930643,-0.7608036931728834,0.10084879730771287,0.048190974319587965,0.032501289967966834,0.09432887290302482,0.3151534354620508,0.08503957258790923,0.6744269114051962,0.10312846477562983,0.06955261197658759,0.20186335685996631,0.6744269114051962,0.18198429664457128
0_0_0_10_14_16,-25.0,42,1,1,826,548,0,0,1,5,1,2.6213344724044236,278,278,0.4636332212871963,-0.7686615107069097,0.1446823247024304,0.06075358688564707,0.03970803311516569,0.11539729757568308,0.303026771716622,0.10097702694366563,0.6535915844755933,0.13103803631020097,0.08564535777855457,0.2488978189597862,0.6535915844755933,0.21779506365682905
0_0_0_10_14_16,-25.0,42,1,1,826,387,0,0,1,6,1,2.6213344724044236,439,439,0.4552495573837092,-0.7869095326237464,0.1864333267532405,0.062496405719906424,0.04777825738783023,0.14143921902927747,0.3480365035048165,0.10267238815601061,0.7644960832141399,0.13727944312361196,0.10494959657381964,0.3106850226107189,0.76449608321414,0.22552990220586358
