dataset,snr_db,seed,packet_index,payload_symbol_index,gt_bin,raw_fft_bin,is_gt,is_savaux,savaux_ok,candidate_rank,gt_savaux_rank,savaux_margin_db,distance_to_gt,distance_to_savaux,savaux_power,log_savaux_power,best_pattern_power,mean_pattern_power,coherent_pattern_power,whitened_pattern_power,stable_pattern_power,hybrid_mean_power,pattern_consistency,mean_gain_vs_savaux,coherent_gain_vs_savaux,whitened_gain_vs_savaux,stable_gain_vs_savaux,hybrid_gain_vs_savaux
0_0_0_10_14_8,-24.0,1,0,0,803,803,1,1,1,1,1,3.18099468038547,0,0,1.7704878564618554,0.571255133727805,0.33040946593275516,0.12831910297296503,0.10353220717966014,0.38719988157929375,1.4284896895117818,0.2473100266874559,0.80683393805732,0.07247669194941447,0.058476654782913334,0.21869671693375767,0.80683393805732,0.13968467831328732
0_0_0_10_14_8,-24.0,1,0,0,803,271,0,0,1,2,1,3.18099468038547,492,492,0.8511252687103479,-0.1611959594670892,0.17529579340911822,0.06921742684109343,0.048857046341652305,0.17540510107924523,0.6007658561390671,0.12961640112360964,0.7058489252109348,0.08132460565525669,0.05740288549496604,0.20608611625997736,0.7058489252109348,0.15228827751760743
0_0_0_10_14_8,-24.0,1,0,0,803,580,0,0,1,3,1,3.18099468038547,223,223,0.7066954659407862,-0.3471554471248058,0.1264972237270732,0.05904777712692804,0.040635905664290886,0.14819588803833372,0.486338549639589,0.1098274097647148,0.688186882580536,0.08355477001443735,0.05750129670096929,0.20970261616302913,0.688186882580536,0.1554098123701804
0_0_0_10_14_8,-24.0,1,0,0,803,24,0,0,1,4,1,3.18099468038547,245,245,0.6844942484466543,-0.37907503685043364,0.15971173155868154,0.05094956121472086,0.024724620022266268,0.09242624479746282,0.33216890973695834,0.09754337698276479,0.48527640734857946,0.07443387775769103,0.036121004783275644,0.13502851924206638,0.4852764073485794,0.14250430475365314
0_0_0_10_14_8,-24.0,1,0,0,803,912,0,0,1,5,1,3.18099468038547,109,109,0.636656333325746,-0.45152527711969465,0.15954193382665116,0.06003626868015999,0.038003239389245436,0.14206527296454413,0.4030064422050469,0.10833942725527909,0.6330046857459724,0.0942993347235617,0.059691920742742426,0.2231427938876032,0.6330046857459724,0.170169401581759
0_0_0_10_14_8,-24.0,1,0,0,803,645,0,0,1,6,1,3.18099468038547,158,158,0.6243720419203704,-0.47100886725561425,0.20407555078574538,0.0739133255296414,0.046217368345467344,0.16927061365736817,0.39041448127608475,0.12600939283776266,0.6252914209215608,0.11838026139400389,0.07402216185612247,0.2711053703441708,0.6252914209215608,0.20181780153095535
0_0_0_10_14_8,-24.0,1,0,0,803,832,0,0,1,7,1,3.18099468038547,29,29,0.6109715150196315,-0.49270494115976876,0.16984867370848095,0.061192605818104616,0.035718240695636935,0.12795592755360932,0.356625238292967,0.10877509001557678,0.5837019067599379,0.10015623366031785,0.05846138456142141,0.20943026705508175,0.5837019067599379,0.17803627066325942
0_0_0_10_14_8,-24.0,1,0,0,803,16,0,0,1,8,1,3.18099468038547,237,237,0.5963174926007611,-0.5169820480481275,0.1571965281780792,0.05052544023936689,0.03206700410926089,0.11831227521330286,0.3784650939222051,0.09364874615246963,0.6346704542769305,0.08472909291828212,0.05377505189291836,0.19840483749235543,0.6346704542769305,0.1570451098860656
0_0_0_10_14_8,-24.0,1,0,0,803,472,0,0,1,9,1,3.18099468038547,331,331,0.5781306554254684,-0.5479553884057274,0.11021287773953234,0.04635166068517393,0.03248974386645106,0.11985874812907207,0.4052350366407689,0.08710748475851293,0.7009402335576566,0.08017506120837335,0.05619792612889662,0.2073212119168174,0.7009402335576566,0.15067093215184588
0_0_0_10_14_8,-24.0,1,0,0,803,727,0,0,1,10,1,3.18099468038547,76,76,0.57224969362602,-0.5581798555344536,0.23853109149181234,0.06362017403605671,0.039448714609880364,0.1449239865390643,0.3548326484716976,0.11017740311247556,0.620066122225991,0.11117554931822148,0.06893619175209402,0.25325306095100486,0.620066122225991,0.19253379134961907
0_0_0_10_14_8,-24.0,1,0,0,803,146,0,0,1,11,1,3.18099468038547,367,367,0.5612651635638919,-0.5775618228048625,0.14916267026193084,0.04954332720494,0.02891755411052471,0.11019863007221328,0.3276004389162825,0.09089309647144425,0.5836821170872294,0.08827080392866786,0.05152208971407659,0.19633969329662265,0.5836821170872294,0.16194323534048696
0_0_0_10_14_8,-24.0,1,0,0,803,90,0,0,1,12,1,3.18099468038547,311,311,0.560536551250209,-0.5788608267313441,0.18030340411171975,0.06571976145742037,0.038084242219625065,0.14050970178046754,0.3248278648211054,0.11231117428574972,0.5794945291196733,0.11724438185313767,0.06794247785391117,0.2506700079898049,0.5794945291196733,0.20036369445534502
0_0_0_10_14_8,-24.0,1,0,0,803,647,0,0,1,13,1,3.18099468038547,156,156,0.558641576237747,-0.5822471988857089,0.11996156776381872,0.04811100536696364,0.029006285835452884,0.1088183387475379,0.3368068722805553,0.08881097498951647,0.6029033401860817,0.08612141919506637,0.05192289129427125,0.1947909775716853,0.6029033401860817,0.1589766654813394
0_0_0_10_14_8,-24.0,1,0,0,803,400,0,0,1,14,1,3.18099468038547,403,403,0.5556659628427987,-0.5875879515298914,0.1691564955569282,0.05468142042492722,0.03518736356536762,0.12682114174009942,0.35756972118698643,0.09763000000482851,0.643497613849969,0.09840700003501372,0.06332466970866514,0.22823269773674784,0.643497613849969,0.17569908278230933
0_0_0_10_14_8,-24.0,1,0,0,803,949,0,0,1,15,1,3.18099468038547,146,146,0.5460998022744121,-0.604953531892558,0.1935699246183147,0.05908567282899563,0.03480449684450109,0.1304322199477158,0.32168083961828237,0.10302192103301068,0.5890513753686355,0.108195741113463,0.06373285011191421,0.23884319204015084,0.5890513753686355,0.18865035402675853
0_0_0_10_14_8,-24.0,1,0,0,803,352,0,0,1,16,1,3.18099468038547,451,451,0.5452510827490755,-0.6065088881177293,0.19989797294906428,0.05841949946369062,0.036963511016573906,0.1347698014799658,0.34499430137228126,0.10210981935951013,0.632725568618536,0.10714238139454602,0.06779172419100818,0.24717016755010618,0.632725568618536,0.18727119044805465
0_0_0_10_14_8,-24.0,1,0,1,826,826,1,1,1,1,1,2.7901325879503935,0,0,1.9605593985052252,0.6732298399221066,0.2680224373000752,0.137715057935084,0.11521906284186458,0.42390494078439755,1.6402985986330076,0.2675044881804607,0.8366482545153227,0.07024273686381606,0.05876846318949081,0.21621632127422014,0.8366482545153227,0.13644293989991435
0_0_0_10_14_8,-24.0,1,0,1,826,825,0,0,1,2,1,2.7901325879503935,1,1,1.031256611165091,0.030778069472959267,0.27672363924649335,0.0837641957694337,0.06098417538533072,0.21856862141990538,0.7508020994516962,0.15690453775863408,0.7280458533045976,0.08122536608497352,0.05913579096131286,0.2119439711256458,0.7280458533045976,0.1521488793961445
0_0_0_10_14_8,-24.0,1,0,1,826,448,0,0,1,3,1,2.7901325879503935,378,378,0.8931071122447207,-0.11304875877600339,0.2985301100634823,0.08460266015393632,0.05685388832289287,0.20633472612234005,0.6001774876529129,0.1524979132831812,0.6720106462308162,0.09472845865183784,0.0636585327150707,0.23103021271854138,0.6720106462308162,0.17074985877102183
0_0_0_10_14_8,-24.0,1,0,1,826,763,0,0,1,4,1,2.7901325879503935,63,63,0.8830812490082316,-0.12433806787941369,0.2544917154260639,0.09360180770220324,0.06483883442596089,0.23453382230384548,0.6117185158569081,0.16404513035214158,0.6927092116879564,0.10599455917258496,0.07342340752765378,0.26558577998031896,0.6927092116879564,0.1857644815087818
0_0_0_10_14_8,-24.0,1,0,1,826,59,0,0,1,5,1,2.7901325879503935,257,257,0.7475650132423795,-0.29093400326203833,0.1947979894316426,0.06583124559104696,0.042117335808553105,0.15165924233248437,0.47827511721480725,0.12084711761110181,0.6397772885871243,0.08806089694529726,0.05633936187821246,0.20287097395676623,0.6397772885871243,0.16165432500239296
0_0_0_10_14_8,-24.0,1,0,1,826,981,0,0,1,6,1,2.7901325879503935,155,155,0.7235728929924932,-0.323553987477652,0.2556725674156288,0.07486697957538249,0.051546344060968446,0.18698073427135503,0.4981840793754341,0.13200436929478632,0.688505725131694,0.1034684691762758,0.07123863339847811,0.25841312752617845,0.688505725131694,0.18243409969222799
0_0_0_10_14_8,-24.0,1,0,1,826,5,0,0,1,7,1,2.7901325879503935,203,203,0.7038246649125348,-0.35122600936553927,0.20838745675178924,0.05383626116140882,0.03230725612972215,0.12014950765652072,0.4223666954057492,0.10236990234251257,0.6001021510921861,0.0764910123860168,0.04590242107206773,0.1707094304111264,0.6001021510921861,0.14544801773213534
0_0_0_10_14_8,-24.0,1,0,1,826,143,0,0,1,8,1,2.7901325879503935,341,341,0.686901771035199,-0.3755639794642725,0.21929764615278885,0.06402249335435448,0.036057808244022924,0.12937172935614089,0.3868667251895203,0.115870557576616,0.5632053104281428,0.09320472890595265,0.05249339827684796,0.18834094598587295,0.5632053104281428,0.16868577497186046
0_0_0_10_14_8,-24.0,1,0,1,826,995,0,0,1,9,1,2.7901325879503935,169,169,0.6290029764014129,-0.463619290335161,0.1522594000619584,0.06873776646950008,0.04667452389215537,0.16818997108047373,0.4271074833848628,0.11955279596000415,0.6790229925912056,0.10928051066269276,0.07420397938207679,0.2673913755427755,0.6790229925912056,0.19006713870255004
0_0_0_10_14_8,-24.0,1,0,1,826,1012,0,0,1,10,1,2.7901325879503935,186,186,0.6199981143564379,-0.47803884230820876,0.23127788386531925,0.07308678574224212,0.04338312946591013,0.15326157336550475,0.36802081512526447,0.12473167060016564,0.5935837651817255,0.11788227100997989,0.06997300227427643,0.247196837888114,0.5935837651817255,0.2011807257343644
0_0_0_10_14_8,-24.0,1,0,1,826,509,0,0,1,11,1,2.7901325879503935,317,317,0.5838112145090832,-0.5381776112415129,0.19912711314976972,0.05353474281408574,0.029287369446986716,0.10735740966639223,0.3193868846255619,0.09728477947052223,0.5470721984916457,0.09169872294951062,0.0501658219628651,0.1838906259391869,0.5470721984916457,0.16663739416572756
0_0_0_10_14_8,-24.0,1,0,1,826,39,0,0,1,12,1,2.7901325879503935,237,237,0.5818809932620219,-0.5414893310906,0.16865045381133775,0.059560207294706166,0.04232261574636442,0.15248326629306383,0.413476158101456,0.10529935072393784,0.7105854339450249,0.10235805600181568,0.07273414364181935,0.26205232351420077,0.7105854339450249,0.1809637227255529
0_0_0_10_14_8,-24.0,1,0,1,826,393,0,0,1,13,1,2.7901325879503935,433,433,0.5716754009017819,-0.5591839296215311,0.25189729365666697,0.048561197566607005,0.025022309610005147,0.09782479419389459,0.29456931860397023,0.08995067309551977,0.5152737342542738,0.08494540344049224,0.043770135238518276,0.17111947451225318,0.5152737342542738,0.15734571218846963
0_0_0_10_14_8,-24.0,1,0,1,826,253,0,0,1,14,1,2.7901325879503935,451,451,0.5493841994727724,-0.5989572653399668,0.2401411923340967,0.07129847013602861,0.04296902580134705,0.15656025891738448,0.3310941145996496,0.11878981325791485,0.6026640644514181,0.12977888735142296,0.0782130717311913,0.28497408383355527,0.6026640644514181,0.2162235706303783
0_0_0_10_14_8,-24.0,1,0,1,826,442,0,0,1,15,1,2.7901325879503935,384,384,0.5420141869395287,-0.6124631027198724,0.13511616724169856,0.05151942044882145,0.029417103525104946,0.11138109280043856,0.30948499246249667,0.09278566617824172,0.5709905753758899,0.09505179327449846,0.05427367813231602,0.20549479235838727,0.5709905753758899,0.17118678516913727
0_0_0_10_14_8,-24.0,1,0,1,826,340,0,0,1,16,1,2.7901325879503935,486,486,0.5415033465085095,-0.613406032489072,0.17202427719728347,0.06533527248297374,0.041428006769206875,0.1531423937908498,0.34335824206670007,0.11085647535871837,0.6340833242870907,0.12065534387597183,0.0765055415378783,0.2828096904262497,0.6340833242870907,0.20471983427894902
0_0_0_10_14_8,-24.0,1,0,2,922,922,1,1,1,1,1,5.653455069994192,0,0,2.646426463202772,0.9732102254959885,0.437164422713955,0.17199418260809474,0.15005000527451615,0.5540226239825323,2.308777533871696,0.34064363315651147,0.8724132583973465,0.06499110593080415,0.056699102491939955,0.2093474470898542,0.8724132583973465,0.12871834448944255
0_0_0_10_14_8,-24.0,1,0,2,922,974,0,0,1,2,1,5.653455069994192,52,52,0.7199698727055335,-0.3285459113120351,0.19226300794291593,0.06374697586723665,0.0414498938465034,0.14933009762598934,0.46814259641864586,0.11686198826637899,0.6502252582589875,0.08854117135163664,0.057571706008671196,0.20741159218903193,0.6502252582589875,0.162315108863139
0_0_0_10_14_8,-24.0,1,0,2,922,440,0,0,1,3,1,5.653455069994192,482,482,0.7048906721329331,-0.3497125631839851,0.21509338804864636,0.07007316582897792,0.04483871727590493,0.1646630266590301,0.45104846033830454,0.12479415509718222,0.6398842801728021,0.09940997746067924,0.06361088186942122,0.23360080246313264,0.6398842801728021,0.177040440497768
0_0_0_10_14_8,-24.0,1,0,2,922,366,0,0,1,4,1,5.653455069994192,468,468,0.7019656127852159,-0.3538708607925571,0.18484626870941703,0.054690696469799925,0.03425579097522081,0.12434892683742504,0.4396796686734736,0.10351756553866194,0.6263549961214477,0.07791079145999981,0.048799813482747104,0.17714390074471176,0.6263549961214477,0.1474681432441275
