packet_index,frame_index,event_index,symbol_count,gt_topk_recall,mean_gt_savaux_rank,pattern_count,bank_kind,mode_best_pattern_on_savaux,mean_best_pattern_gain_vs_savaux,mean_coherent_gain_vs_savaux,mean_whitened_gain_vs_savaux,mean_stable_gain_vs_savaux,mean_hybrid_gain_vs_savaux,savaux_err,savaux_ser,best_pattern_err,best_pattern_ser,best_pattern_changes_vs_savaux,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,mean_pattern_err,mean_pattern_ser,mean_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,coherent_pattern_err,coherent_pattern_ser,coherent_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,whitened_pattern_err,whitened_pattern_ser,whitened_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,stable_pattern_err,stable_pattern_ser,stable_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,hybrid_mean_pattern_err,hybrid_mean_pattern_ser,hybrid_mean_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,gated_mean_pattern_err,gated_mean_pattern_ser,gated_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_stable_pattern_err,gated_stable_pattern_ser,gated_stable_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_consensus_pattern_err,gated_consensus_pattern_ser,gated_consensus_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_hybrid_pattern_err,gated_hybrid_pattern_ser,gated_hybrid_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,dataset,snr_db,seed
0,0,0,35,0.9142857142857143,3.742857142857143,32,random_only,random_017,0.20262040337883866,0.06120222659263866,0.2238837687499556,0.7882743022918822,0.14748975017583602,9,0.2571428571428571,20,0.5714285714285714,19,1,12,8,0.22857142857142856,4,1,0,9,0.2571428571428571,4,1,1,9,0.2571428571428571,4,1,1,9,0.2571428571428571,0,0,0,8,0.22857142857142856,1,1,0,8,0.22857142857142856,2,1,0,9,0.2571428571428571,0,0,0,9,0.2571428571428571,0,0,0,9,0.2571428571428571,0,0,0,0_0_0_10_14_8,-25.0,1
1,1,1,35,0.9714285714285714,2.4,32,random_only,random_000,0.18922708063557764,0.061408014952174114,0.22468736223232627,0.8081598089931401,0.14479081191558832,6,0.17142857142857143,16,0.45714285714285713,19,3,13,6,0.17142857142857143,6,1,1,8,0.22857142857142856,6,0,2,7,0.2,7,1,2,7,0.2,1,0,1,7,0.2,3,0,1,6,0.17142857142857143,5,1,1,6,0.17142857142857143,0,0,0,6,0.17142857142857143,0,0,0,6,0.17142857142857143,1,0,0,0_0_0_10_14_8,-25.0,1
0,0,0,35,0.8571428571428571,11.17142857142857,32,random_only,random_017,0.21122676290361875,0.059904880951886987,0.21997912336476122,0.7629299393880687,0.14858090462587675,13,0.37142857142857144,26,0.7428571428571429,23,1,14,16,0.45714285714285713,11,1,4,15,0.42857142857142855,8,1,3,15,0.42857142857142855,8,1,3,12,0.34285714285714286,2,1,0,14,0.4,6,2,3,15,0.42857142857142855,6,1,3,13,0.37142857142857144,1,0,0,13,0.37142857142857144,0,0,0,12,0.34285714285714286,1,1,0,0_0_0_10_14_8,-26.0,1
1,1,1,35,0.9142857142857143,5.6,32,random_only,random_000,0.20059657258103247,0.06134596528028169,0.2245496627788451,0.7852549768635088,0.14779179452213004,8,0.22857142857142856,22,0.6285714285714286,22,1,15,13,0.37142857142857144,11,0,5,13,0.37142857142857144,11,0,5,11,0.3142857142857143,9,0,3,9,0.2571428571428571,2,0,1,10,0.2857142857142857,6,0,2,8,0.22857142857142856,5,0,0,9,0.2571428571428571,1,0,1,8,0.22857142857142856,0,0,0,8,0.22857142857142856,2,0,0,0_0_0_10_14_8,-26.0,1
0,0,0,35,0.9714285714285714,3.142857142857143,32,random_only,random_024,0.22997943736435614,0.0644986968374395,0.23648498002167478,0.7728964759691628,0.15530642356986435,11,0.3142857142857143,22,0.6285714285714286,21,1,12,11,0.3142857142857143,6,2,2,10,0.2857142857142857,9,3,2,10,0.2857142857142857,9,3,2,11,0.3142857142857143,3,1,1,11,0.3142857142857143,6,2,2,11,0.3142857142857143,4,1,1,11,0.3142857142857143,0,0,0,11,0.3142857142857143,0,0,0,11,0.3142857142857143,3,1,1,0_0_0_10_14_8,-25.0,2
1,1,1,35,1.0,1.2571428571428571,32,random_only,random_021,0.19032121503132143,0.06338182655131731,0.232329524751469,0.8157533736964584,0.14746452974387342,3,0.08571428571428572,20,0.5714285714285714,18,0,17,4,0.11428571428571428,1,0,1,4,0.11428571428571428,1,0,1,4,0.11428571428571428,1,0,1,3,0.08571428571428572,0,0,0,4,0.11428571428571428,1,0,1,4,0.11428571428571428,1,0,1,3,0.08571428571428572,0,0,0,3,0.08571428571428572,0,0,0,4,0.11428571428571428,1,0,1,0_0_0_10_14_8,-25.0,2
0,0,0,35,0.8857142857142857,8.571428571428571,32,random_only,random_024,0.24065183507856724,0.06437961266573079,0.2364538305013786,0.7534424122141659,0.15775840832442495,15,0.42857142857142855,26,0.7428571428571429,23,1,12,21,0.6,12,1,7,18,0.5142857142857142,11,1,4,20,0.5714285714285714,13,1,6,15,0.42857142857142855,2,0,0,16,0.45714285714285713,8,2,3,16,0.45714285714285713,7,1,2,15,0.42857142857142855,1,0,0,15,0.42857142857142855,1,0,0,14,0.4,3,1,0,0_0_0_10_14_8,-26.0,2
1,1,1,35,0.9428571428571428,2.4571428571428573,32,random_only,random_024,0.20609995169358497,0.06315502844999776,0.23134045098612818,0.7839130243257296,0.1514717068689904,6,0.17142857142857143,23,0.6571428571428571,21,0,17,9,0.2571428571428571,6,1,4,8,0.22857142857142856,6,2,4,8,0.22857142857142856,6,2,4,5,0.14285714285714285,3,2,1,7,0.2,4,1,2,6,0.17142857142857143,3,1,1,5,0.14285714285714285,1,1,0,6,0.17142857142857143,0,0,0,5,0.14285714285714285,2,1,0,0_0_0_10_14_8,-26.0,2
0,0,0,35,0.9714285714285714,2.857142857142857,32,random_only,random_009,0.20699608461124724,0.06311075755703598,0.23069692823361082,0.7818815213011804,0.15172143949208192,11,0.3142857142857143,23,0.6571428571428571,23,2,14,10,0.2857142857142857,5,2,1,12,0.34285714285714286,1,0,1,12,0.34285714285714286,1,0,1,12,0.34285714285714286,1,0,1,11,0.3142857142857143,3,1,1,12,0.34285714285714286,2,0,1,12,0.34285714285714286,1,0,1,11,0.3142857142857143,0,0,0,11,0.3142857142857143,0,0,0,0_0_0_10_14_8,-25.0,42
1,1,1,35,1.0,1.1142857142857143,32,random_only,random_017,0.19092010078482446,0.06246221068009487,0.22950796910687865,0.8063728377569618,0.14691154214495403,4,0.11428571428571428,21,0.6,20,0,17,6,0.17142857142857143,5,0,2,6,0.17142857142857143,4,0,2,6,0.17142857142857143,4,0,2,5,0.14285714285714285,2,0,1,5,0.14285714285714285,3,0,1,5,0.14285714285714285,3,0,1,4,0.11428571428571428,0,0,0,4,0.11428571428571428,0,0,0,4,0.11428571428571428,1,0,0,0_0_0_10_14_8,-25.0,42
