dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux
0_0_0_10_14_16,-24.0,1,2,70,1.0,1.1714285714285713,0.11428571428571428,0.5,0.18571428571428572,0.14285714285714285,0.14285714285714285,0.11428571428571428,0.12857142857142856,0.11428571428571428,0.11428571428571428,0,27,34,0,5,10,1,3,7,1,3,7,0,0,2,0,1,2,0,0,0,0,0,0
0_0_0_10_14_16,-25.0,1,2,70,0.9714285714285714,2.4857142857142858,0.22857142857142856,0.6571428571428571,0.3142857142857143,0.35714285714285715,0.37142857142857144,0.22857142857142856,0.24285714285714285,0.22857142857142856,0.22857142857142856,2,32,45,2,8,16,1,10,16,1,11,17,1,1,5,0,1,2,0,0,0,0,0,0
0_0_0_10_14_16,-26.0,1,2,70,0.9285714285714286,6.371428571428572,0.4857142857142857,0.7571428571428571,0.5,0.45714285714285713,0.45714285714285713,0.4857142857142857,0.5142857142857142,0.5,0.4714285714285714,4,23,51,4,5,22,5,3,18,5,3,19,2,2,9,2,4,12,1,2,3,1,0,1
0_0_0_10_14_16,-24.0,2,2,70,1.0,1.3142857142857143,0.15714285714285714,0.5142857142857142,0.14285714285714285,0.14285714285714285,0.15714285714285714,0.12857142857142856,0.14285714285714285,0.14285714285714285,0.15714285714285714,1,26,36,3,2,10,3,2,9,2,2,9,2,0,5,1,0,5,1,0,2,0,0,0
0_0_0_10_14_16,-25.0,2,2,70,0.9714285714285714,2.4714285714285715,0.24285714285714285,0.6285714285714286,0.3142857142857143,0.3142857142857143,0.3,0.21428571428571427,0.24285714285714285,0.22857142857142856,0.24285714285714285,0,27,40,3,8,18,2,7,17,2,6,16,2,0,5,3,3,12,1,0,2,0,0,0
0_0_0_10_14_16,-26.0,2,2,70,0.8714285714285714,6.757142857142857,0.4142857142857143,0.7857142857142857,0.5285714285714286,0.45714285714285713,0.4714285714285714,0.44285714285714284,0.45714285714285713,0.4142857142857143,0.4142857142857143,2,28,53,1,9,29,3,6,25,3,7,26,1,3,12,1,4,21,0,0,4,0,0,1
0_0_0_10_14_16,-24.0,3,2,70,0.9428571428571428,4.3428571428571425,0.18571428571428572,0.5571428571428572,0.24285714285714285,0.22857142857142856,0.21428571428571427,0.17142857142857143,0.18571428571428572,0.17142857142857143,0.17142857142857143,1,27,39,1,5,11,1,4,9,1,3,8,1,0,2,1,1,5,1,0,2,1,0,1
0_0_0_10_14_16,-25.0,3,2,70,0.9428571428571428,10.314285714285713,0.2857142857142857,0.6285714285714286,0.4142857142857143,0.37142857142857144,0.4,0.2857142857142857,0.34285714285714286,0.2857142857142857,0.2857142857142857,1,25,43,1,10,21,0,6,16,0,8,18,1,1,5,0,4,12,0,0,2,0,0,0
0_0_0_10_14_16,-26.0,3,2,70,0.8285714285714285,21.47142857142857,0.4714285714285714,0.7714285714285715,0.5571428571428572,0.5714285714285714,0.5571428571428572,0.5,0.5285714285714286,0.4857142857142857,0.4714285714285714,1,22,50,1,7,24,1,8,26,1,7,24,0,2,7,1,5,18,0,1,4,0,0,0
0_0_0_10_14_16,-24.0,42,2,70,1.0,1.2142857142857144,0.11428571428571428,0.42857142857142855,0.12857142857142856,0.11428571428571428,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.11428571428571428,0.11428571428571428,0,22,29,0,1,5,1,1,5,0,1,4,0,1,3,0,1,2,0,0,0,0,0,0
0_0_0_10_14_16,-25.0,42,2,70,0.9714285714285714,2.6857142857142855,0.22857142857142856,0.6142857142857143,0.22857142857142856,0.21428571428571427,0.21428571428571427,0.18571428571428572,0.2,0.21428571428571427,0.21428571428571427,2,29,43,5,5,15,5,4,13,5,4,13,3,0,6,3,1,6,1,0,1,1,0,1
0_0_0_10_14_16,-26.0,42,2,70,0.8857142857142857,7.257142857142857,0.44285714285714284,0.7,0.42857142857142855,0.4142857142857143,0.4142857142857143,0.44285714285714284,0.4142857142857143,0.44285714285714284,0.44285714285714284,4,22,48,4,3,19,5,3,19,5,3,19,2,2,10,3,1,8,0,0,1,0,0,1
