packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4d14,0x4d14,64,4,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.004700156,0.941169767,49.346,159.670,1.339,38.479,249.504,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,1,2,1,,33,1,1,0,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x08a0,0x08a0,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.027561481,0.989955757,53.182,175.942,1.143,44.130,274.819,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,2,3,1,,33,1,1,0,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xc08d,0xc08d,64,4,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.028512750,0.986672769,61.997,157.921,1.127,37.168,258.639,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,3,5,1,,33,1,1,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4be5,0x4be5,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.035361898,0.988687599,55.289,145.768,1.344,36.928,239.751,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,4,6,1,,33,1,1,0,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.037312995,0.993851758,46.166,157.962,1.234,37.162,242.947,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,5,8,1,,33,1,1,0,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.036452600,0.988748553,53.481,157.994,1.134,39.416,252.776,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,6,9,1,,33,1,1,0,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,64,4,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.035038221,0.994135610,46.083,158.621,1.093,38.913,245.130,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,7,10,1,,33,1,1,0,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,64,4,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.036854941,0.993488228,55.957,184.956,1.227,44.590,287.154,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,8,11,1,,33,1,1,0,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.076106160,0.089294681,61.680,165.913,1.729,38.324,268.089,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.059702353,0.057791567,55.218,163.160,1.106,39.592,259.498,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,10,13,1,,33,1,1,0,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4607,0x4607,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.040728820,0.991665307,49.724,160.874,1.117,37.199,249.335,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
