packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4d14,0x4d14,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.004700156,0.941169767,58.230,157.943,1.136,40.608,258.372,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,1,2,1,,33,1,1,0,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x08a0,0x08a0,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.027561481,0.989955757,48.502,194.869,1.003,45.286,290.471,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,2,3,1,,33,1,1,0,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xc08d,0xc08d,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.028512750,0.986672769,76.829,176.934,1.020,78.964,334.500,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,3,5,1,,33,1,1,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4be5,0x4be5,64,3,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.035361898,0.988687599,125.226,337.332,1.906,46.042,511.222,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,4,6,1,,33,1,1,0,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.037312995,0.993851758,48.772,169.938,1.215,46.565,266.909,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,5,8,1,,33,1,1,0,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.036452600,0.988748553,50.904,163.840,1.438,39.919,256.530,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,6,9,1,,33,1,1,0,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,64,3,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.035038221,0.994135610,53.638,185.038,1.431,40.227,280.766,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,7,10,1,,33,1,1,0,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,64,4,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.036854941,0.993488228,48.155,182.746,1.144,43.718,276.210,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,8,11,1,,33,1,1,0,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,64,2,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.076106160,0.089294681,53.305,206.542,1.038,40.984,302.477,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,64,1,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.059702353,0.057791567,50.488,192.109,7.784,56.711,307.885,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,10,13,1,,33,1,1,0,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4607,0x4607,64,4,64.000,0,2.000000000,0.000000000,-2.000000000,beam,0,-0.040728820,0.991665307,49.994,180.753,1.037,43.442,275.651,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
