packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4d14,0x4d14,64,1,64.000,0,4.000000000,0.000000000,0.000000000,0.002692001,0.082522733,53.776,174.575,100.762,47.625,376.747,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,1,2,1,,33,1,1,0,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x08a0,0x08a0,64,1,64.000,0,4.000000000,0.000000000,0.000000000,-0.030750110,0.823858761,51.475,168.178,77.984,36.939,334.582,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,2,3,1,,33,1,1,0,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xc08d,0xc08d,64,2,64.000,0,4.000000000,0.000000000,0.000000000,-0.017692355,0.675180584,47.552,159.154,83.279,36.544,326.534,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,3,5,1,,33,1,1,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4be5,0x4be5,64,3,64.000,0,4.000000000,0.000000000,0.000000000,-0.051149064,0.902373467,48.234,159.783,77.058,41.374,326.455,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6,4,6,1,,33,1,1,0,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,64,3,64.000,0,4.000000000,0.000000000,0.000000000,-0.038475535,0.695036576,52.005,181.109,81.457,41.363,355.940,35,0.02857142857142857,0.0,0.02857142857142857,0.0,1.0,1.0285714285714285,0.02857142857142857,0.02857142857142857
8,5,8,1,,33,1,1,0,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,64,1,64.000,0,4.000000000,0.000000000,0.000000000,-0.037030129,0.922047685,53.291,179.133,80.194,44.124,356.747,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,6,9,1,,33,1,1,0,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,64,4,64.000,0,4.000000000,0.000000000,0.000000000,-0.025611433,0.762349670,47.423,162.936,75.145,39.059,324.569,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,7,10,1,,33,1,1,0,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,64,2,64.000,0,4.000000000,0.000000000,0.000000000,-0.029885673,0.662415490,46.524,157.907,75.918,37.349,317.704,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,8,11,1,,33,1,1,0,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,64,1,64.000,0,4.000000000,0.000000000,0.000000000,-0.064669523,0.062343355,48.306,155.531,78.885,43.820,326.549,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,64,3,64.000,0,4.000000000,0.000000000,0.000000000,-0.058943763,0.061021151,48.051,174.259,86.878,38.751,347.946,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,10,13,1,,33,1,1,0,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4607,0x4607,64,3,64.000,0,4.000000000,0.000000000,0.000000000,-0.048049690,0.885533619,53.304,167.534,91.117,39.019,350.984,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
