packet_index,frame_index,event_index,success,error,payload_len,cr,has_crc,ldro,payload_hex,observed_crc_valid,crc_computed,crc_received,candidate_payload_count,observed_crc_valid_count,avg_block_candidates,selected_beam_rank,selected_total_score,selected_block_score,selected_projection_score,selected_source,selected_source_is_argmax_fallback,phase_line_slope_pi,phase_line_r2,likelihood_ms,block_search_ms,global_beam_ms,final_projection_ms,total_ms,gt_compared_symbols,argmax_raw_ser,two_stage_raw_ser,argmax_symbol_ser,two_stage_symbol_ser,topk_recall,mean_gt_rank,ser_delta_raw_argmax_minus_two_stage,ser_delta_symbol_argmax_minus_two_stage
1,0,1,1,,33,1,1,0,40047344732002035803026165266203f2cbf99cf8bc24b73fd018428ae4533117,1,0x4d44,0x4d44,8192,1,4096.000,7141,1.114053223,-0.051730493,-2.834216284,beam,0,0.009813279,0.211792225,79.509,4778.816,478.904,4605.311,9943.011,35,0.5714285714285714,0.6,0.5714285714285714,0.6,0.8285714285714286,27.942857142857143,-0.02857142857142857,-0.02857142857142857
2,1,2,1,,33,1,1,0,40447762154453166c02633406643063773d796e2ead34f26689c4eacb62dc3f21,1,0x08a0,0x08a0,8192,1,4096.000,7465,1.078888934,-0.038082024,-2.883029042,beam,0,-0.034590212,0.659879301,45.814,4723.314,486.654,4646.860,9903.063,35,0.4857142857142857,0.6,0.4857142857142857,0.6,0.8285714285714286,21.571428571428573,-0.11428571428571428,-0.11428571428571428
3,2,3,1,,33,1,1,0,4064765050140000583031f2d17abfd63328382a3a5d5d0a2f3444534379571454,0,0x1981,0xe6e9,8192,0,4096.000,-1,-3.145381796,0.000000000,-3.145381796,argmax_fallback,1,-0.011000071,0.251169748,45.363,4891.758,522.816,4547.877,10008.236,35,0.4,0.4,0.4,0.4,0.9428571428571428,6.857142857142857,0.0,0.0
5,3,5,1,,33,1,1,0,40d4ae2e090d0f005830312222253436573f292e79383536bf400160537b373412,0,0x9757,0x4be5,8192,0,4096.000,-1,-3.224391232,0.000000000,-3.224391232,argmax_fallback,1,-0.062578458,0.777229089,44.945,4789.493,527.676,4492.668,9855.193,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.9714285714285714,5.228571428571429,0.0,0.0
6,4,6,1,,33,1,1,0,40443102312017226b303022232525372729383b2b3d1d3e3f620313427c463452,0,0x7659,0x0e51,8192,0,4096.000,-1,-4.054216282,0.000000000,-4.054216282,argmax_fallback,1,-0.038839014,0.383894326,44.655,4641.323,478.120,4568.331,9732.844,35,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.34285714285714286,0.9142857142857143,48.34285714285714,0.0,0.0
8,5,8,1,,33,1,1,0,4044332211000940186071266771213677783d3a7f0ca73ea6da0240673856301e,1,0x8ee6,0x8ee6,8192,1,4096.000,1672,0.238929990,-0.043937367,-3.717132642,beam,0,-0.037712986,0.771144910,43.617,5174.771,458.216,4586.767,10263.786,35,0.37142857142857144,0.45714285714285713,0.37142857142857144,0.45714285714285713,0.9714285714285714,4.0,-0.08571428571428572,-0.08571428571428572
9,6,9,1,,33,1,1,0,40047b2a51c80200583031323237343734a8293aba3db1f27fc4e15bd9535dff1e,0,0x64e6,0x84fe,8192,0,4096.000,-1,-2.280434817,0.000000000,-2.280434817,argmax_fallback,1,-0.018318309,0.372410835,45.661,4605.078,465.851,4503.674,9620.696,35,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,17.02857142857143,0.0,0.0
10,7,10,1,,33,1,1,0,4054332210101b885028b13366646072121a21123bbf353ebfc829242138721022,0,0xa071,0x1562,8192,0,4096.000,-1,-2.928513825,0.000000000,-2.928513825,argmax_fallback,1,-0.025642330,0.362715017,43.892,4647.732,510.298,4578.912,9781.252,35,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.9428571428571428,8.457142857142857,0.0,0.0
11,8,11,1,,33,1,1,0,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,8192,1,4096.000,1114,2.938967818,-0.053222281,-1.007809901,beam,0,0.112395762,0.243206611,44.883,4638.303,497.011,4534.327,9715.068,35,0.14285714285714285,0.0,0.14285714285714285,0.0,0.9714285714285714,2.6285714285714286,0.14285714285714285,0.14285714285714285
12,9,12,1,,33,1,1,0,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,8192,5,4096.000,0,2.889661612,0.000000000,-1.110338388,beam,0,-0.060017486,0.066933434,44.329,4645.255,454.879,4529.361,9674.237,35,0.08571428571428572,0.0,0.08571428571428572,0.0,1.0,1.457142857142857,0.08571428571428572,0.08571428571428572
13,10,13,1,,33,1,1,0,40c43b221108060058303122b2343c3e3e38393a3b3c3d3e3f4001027629103002,0,0x28ed,0x4716,8192,0,4096.000,-1,-2.391856422,0.000000000,-2.391856422,argmax_fallback,1,-0.054620073,0.756487841,43.645,4928.862,536.664,4767.940,10277.523,35,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.9714285714285714,5.771428571428571,0.0,0.0
